Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,31.134,0.996,0.15,300,0.112102
2,21.755,0.992,0.26,600,0.075219
3,28.98,0.988,0.25,900,0.097849
4,17.169,0.984,0.37,1200,0.062258
5,19.739,0.98,0.41,1500,0.074901
6,5.411,0.976,0.54,1800,0.047146
7,28.388,0.972,0.13,2100,0.101214
8,11.521,0.968,0.33,2400,0.05151
9,26.094,0.965,0.19,2700,0.090376
10,31.845,0.961,0.1,3000,0.112679
11,21.714,0.957,0.35,3300,0.075548
12,18.422,0.953,0.43,3600,0.064708
13,30.384,0.949,0.12,3900,0.10619
14,12.447,0.945,0.52,4200,0.063055
15,28.874,0.942,0.12,4500,0.103443
16,26.294,0.938,0.31,4800,0.102834
17,17.905,0.934,0.29,5100,0.063137
18,29.578,0.93,0.16,5400,0.101897
19,23.462,0.927,0.52,5699,0.093854
20,25.8,0.923,0.3,5999,0.094851
21,31.357,0.919,0.17,6298,0.109482
22,27.258,0.916,0.22,6598,0.103648
23,31.624,0.912,0.24,6898,0.111177
24,11.416,0.908,0.5,7198,0.067848
25,31.435,0.905,0.25,7498,0.107282
26,24.161,0.901,0.32,7798,0.085823
27,23.043,0.897,0.62,8097,0.078658
28,22.459,0.894,0.4,8396,0.082029
29,30.127,0.89,0.2,8695,0.104612
30,15.367,0.887,0.3,8995,0.073803
31,21.403,0.883,0.33,9295,0.072055
32,13.467,0.88,0.66,9595,0.051727
33,33.69,0.876,0.19,9895,0.11481
34,33.58,0.873,0.23,10195,0.115508
35,34.96,0.869,0.26,10495,0.117664
36,34.474,0.866,0.21,10795,0.117253
37,34.441,0.862,0.26,11095,0.120374
38,34.353,0.859,0.19,11395,0.115767
39,25.451,0.855,0.29,11695,0.094719
40,24.622,0.852,0.34,11995,0.087362
41,19.914,0.848,0.37,12294,0.079447
42,27.733,0.845,0.36,12593,0.094175
43,21.037,0.842,0.39,12892,0.071167
44,34.016,0.838,0.16,13191,0.115319
45,26.76,0.835,0.26,13490,0.094695
46,28.374,0.832,0.26,13790,0.106223
47,34.839,0.828,0.19,14089,0.12003
48,16.317,0.825,0.65,14388,0.061222
49,12.951,0.822,0.88,14688,0.064714
50,19.2,0.818,0.66,14988,0.069684
51,35.829,0.815,0.37,15288,0.121642
52,17.884,0.812,0.82,15587,0.06375
53,14.278,0.809,0.91,15887,0.058707
54,36.125,0.805,0.34,16186,0.122753
55,22.096,0.802,0.67,16485,0.074502
56,21.728,0.799,0.93,16784,0.074743
57,17.453,0.796,0.76,17083,0.074352
58,27.597,0.793,0.88,17383,0.094546
59,32.694,0.789,0.51,17683,0.110047
60,35.525,0.786,0.36,17983,0.121452
61,35.689,0.783,0.45,18282,0.122142
62,37.179,0.78,0.55,18582,0.12974
63,32.616,0.777,0.56,18881,0.110455
64,24.793,0.774,0.76,19181,0.089283
65,27.702,0.771,0.85,19480,0.096194
66,18.868,0.768,1.16,19780,0.066307
67,26.619,0.764,0.8,20079,0.089245
68,35.348,0.761,0.55,20378,0.124678
69,31.749,0.758,0.95,20678,0.108244
70,17.35,0.755,1.15,20978,0.069004
71,24.298,0.752,1.1,21277,0.082669
72,26.884,0.749,1.14,21576,0.094529
73,31.079,0.746,0.88,21875,0.104055
74,36.643,0.743,0.56,22174,0.123888
75,29.817,0.74,0.72,22474,0.101282
76,19.073,0.737,1.06,22774,0.067792
77,23.26,0.734,0.85,23074,0.082504
78,39.28,0.732,0.55,23374,0.132954
79,26.156,0.729,0.91,23674,0.090008
80,36.151,0.726,0.59,23974,0.122072
81,29.024,0.723,0.83,24273,0.098559
82,13.032,0.72,1.11,24573,0.058061
83,14.288,0.717,1.16,24872,0.062231
84,37.366,0.714,0.61,25171,0.127632
85,16.36,0.711,1.03,25471,0.060353
86,13.174,0.708,1.39,25771,0.056205
87,16.702,0.706,1.3,26070,0.074861
88,19.553,0.703,1.66,26370,0.069728
89,13.84,0.7,1.64,26669,0.068018
90,30.245,0.697,1.16,26968,0.10398
91,30.474,0.694,1.09,27267,0.106189
92,33.651,0.692,0.87,27567,0.114972
93,13.428,0.689,1.37,27866,0.057525
94,14.473,0.686,1.59,28165,0.065099
95,29.773,0.683,1.13,28465,0.103294
96,28.953,0.681,1.2,28765,0.099251
97,26.385,0.678,1.05,29065,0.094407
98,38.251,0.675,0.85,29365,0.130681
99,38.07,0.672,0.9,29665,0.128509
100,27.33,0.67,0.87,29964,0.108374
101,39.113,0.667,0.91,30264,0.137714
102,26.71,0.664,1.28,30563,0.097697
103,28.256,0.662,0.91,30862,0.106768
104,11.966,0.659,1.28,31162,0.066295
105,21.24,0.656,1.48,31462,0.084397
106,36.504,0.654,0.83,31762,0.123153
107,30.968,0.651,1.09,32061,0.116376
108,38.293,0.649,0.8,32360,0.128696
109,23.282,0.646,1.46,32660,0.08043
110,39.7,0.643,0.96,32959,0.13376
111,20.186,0.641,1.45,33258,0.078517
