Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,21.672,0.996,0.16,300,0.081518
2,23.3,0.992,0.23,600,0.083874
3,14.743,0.988,0.38,900,0.059391
4,32.018,0.984,0.06,1200,0.110215
5,36.503,0.98,0.06,1500,0.126331
6,17.381,0.976,0.27,1800,0.061555
7,36.077,0.972,0.05,2100,0.12253
8,22.417,0.968,0.32,2400,0.076567
9,21.782,0.965,0.25,2700,0.077687
10,30.29,0.961,0.06,3000,0.111352
11,19.809,0.957,0.23,3300,0.076661
12,25.1,0.953,0.15,3599,0.09106
13,18.754,0.949,0.32,3899,0.066258
14,14.117,0.945,0.38,4198,0.062462
15,30.258,0.942,0.07,4498,0.107668
16,17.938,0.938,0.21,4798,0.088191
17,26.513,0.934,0.17,5098,0.09465
18,27.091,0.93,0.13,5398,0.09691
19,19.159,0.927,0.34,5698,0.067936
20,6.513,0.923,0.4,5998,0.061504
21,26.85,0.919,0.11,6298,0.10174
22,19.354,0.916,0.31,6597,0.072708
23,30.483,0.912,0.15,6897,0.108752
24,33.014,0.908,0.08,7197,0.112785
25,8.139,0.905,0.28,7497,0.069448
26,33.745,0.901,0.14,7797,0.114378
27,22.801,0.897,0.28,8097,0.078558
28,18.594,0.894,0.3,8397,0.072418
29,30.983,0.89,0.09,8696,0.108854
30,29.951,0.887,0.09,8996,0.109391
31,17.418,0.883,0.32,9295,0.077135
32,36.875,0.88,0.11,9594,0.125405
33,25.152,0.876,0.41,9894,0.088479
34,24.644,0.873,0.22,10194,0.102198
35,28.581,0.869,0.24,10494,0.097835
36,28.008,0.866,0.21,10793,0.095273
37,23.063,0.862,0.31,11093,0.092467
38,19.917,0.859,0.43,11392,0.077019
39,31.209,0.855,0.25,11691,0.108284
40,10.288,0.852,0.44,11991,0.060861
41,22.494,0.848,0.21,12291,0.087565
42,33.198,0.845,0.18,12590,0.114406
43,33.586,0.842,0.17,12889,0.116247
44,22.657,0.838,0.47,13189,0.084006
45,14.577,0.835,0.48,13489,0.058146
46,23.33,0.832,0.39,13789,0.081778
47,7.541,0.828,0.53,14088,0.060715
48,33.164,0.825,0.18,14387,0.11448
49,17.146,0.822,0.42,14687,0.06911
50,30.356,0.818,0.28,14986,0.111198
51,27.939,0.815,0.33,15286,0.097701
52,29.208,0.812,0.28,15586,0.106115
53,11.678,0.809,0.57,15886,0.054565
54,18.66,0.805,0.56,16185,0.072099
55,28.011,0.802,0.37,16485,0.095623
56,9.608,0.799,0.62,16784,0.05238
57,34.675,0.796,0.2,17084,0.116928
58,15.12,0.793,0.53,17384,0.063079
59,27.488,0.789,0.31,17684,0.094699
60,31.805,0.786,0.2,17984,0.110213
61,33.702,0.783,0.27,18284,0.113725
62,18.879,0.78,0.63,18584,0.067976
63,21.142,0.777,0.45,18883,0.082357
64,18.109,0.774,0.58,19182,0.067144
65,23.845,0.771,0.49,19481,0.080729
66,21.248,0.768,0.5,19781,0.079798
67,34.173,0.764,0.33,20081,0.119907
68,22.079,0.761,0.64,20380,0.087403
69,29.999,0.758,0.42,20679,0.101605
70,25.19,0.755,0.48,20979,0.089972
71,36.722,0.752,0.4,21279,0.124829
72,22.569,0.749,0.44,21579,0.086752
73,27.71,0.746,0.51,21878,0.095877
74,25.316,0.743,0.4,22178,0.095176
75,32.152,0.74,0.38,22477,0.109369
76,19.247,0.737,0.62,22777,0.067154
77,28.02,0.734,0.53,23077,0.094803
78,29.275,0.732,0.49,23377,0.099667
79,19.993,0.729,0.69,23677,0.069504
80,25.59,0.726,0.45,23976,0.08706
81,16.452,0.723,0.76,24276,0.063408
82,37.491,0.72,0.34,24575,0.128086
83,35.723,0.717,0.35,24874,0.127831
84,32.969,0.714,0.38,25174,0.118451
85,20.708,0.711,0.62,25474,0.074207
86,32.903,0.708,0.47,25774,0.111219
87,34.523,0.706,0.44,26074,0.119245
88,24.611,0.703,0.66,26373,0.085482
89,29.469,0.7,0.55,26672,0.109063
90,22.926,0.697,0.74,26971,0.085956
91,22.325,0.694,0.67,27270,0.081638
92,16.724,0.692,0.86,27569,0.06416
