Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,31.777,0.996,0.04,300,0.108645
2,20.657,0.992,0.17,600,0.081052
3,31.908,0.988,0.05,900,0.115117
4,16.913,0.984,0.31,1200,0.069415
5,23.52,0.98,0.15,1500,0.094058
6,28.504,0.976,0.14,1800,0.100575
7,38.674,0.972,0.06,2100,0.131723
8,24.891,0.968,0.2,2400,0.08521
9,17.962,0.965,0.31,2700,0.063164
10,21.876,0.961,0.24,3000,0.075372
11,13.8,0.957,0.44,3300,0.062333
12,35.338,0.953,0.06,3600,0.122534
13,29.48,0.949,0.1,3900,0.099773
14,25.326,0.945,0.21,4200,0.085715
15,6.743,0.942,0.37,4500,0.058796
16,15.15,0.938,0.43,4800,0.063247
17,22.63,0.934,0.26,5100,0.078773
18,29.789,0.93,0.13,5400,0.101467
19,17.741,0.927,0.3,5700,0.062008
20,18.969,0.923,0.31,6000,0.070362
21,26.763,0.919,0.16,6300,0.096274
22,15.691,0.916,0.33,6599,0.057879
23,30.923,0.912,0.09,6899,0.116552
24,34.035,0.908,0.09,7199,0.114507
25,21.395,0.905,0.21,7499,0.082468
26,31.846,0.901,0.1,7799,0.108709
27,24.459,0.897,0.21,8098,0.085424
28,22.842,0.894,0.27,8398,0.08431
29,8.156,0.89,0.35,8698,0.058817
30,20.617,0.887,0.22,8998,0.080176
31,27.189,0.883,0.15,9297,0.097606
32,20.658,0.88,0.42,9597,0.070883
33,35.609,0.876,0.1,9896,0.123441
34,21.783,0.873,0.33,10195,0.076167
35,20.208,0.869,0.3,10495,0.080592
36,20.122,0.866,0.37,10795,0.069861
37,22.726,0.862,0.24,11095,0.0859
38,12.8,0.859,0.5,11395,0.058001
39,28.522,0.855,0.19,11694,0.103205
40,35.939,0.852,0.12,11994,0.123856
41,14.313,0.848,0.4,12294,0.061301
42,24.064,0.845,0.38,12594,0.089095
43,32.537,0.842,0.14,12894,0.116342
44,21.758,0.838,0.51,13194,0.083278
45,26.981,0.835,0.32,13494,0.093233
46,34.53,0.832,0.17,13793,0.117055
47,34.725,0.828,0.19,14093,0.117146
48,13.758,0.825,0.48,14393,0.058337
49,23.575,0.822,0.34,14692,0.08089
50,27.184,0.818,0.35,14991,0.097177
51,18.519,0.815,0.36,15291,0.064551
52,15.45,0.812,0.45,15591,0.056965
53,30.422,0.809,0.24,15890,0.102973
54,34.757,0.805,0.18,16190,0.119497
55,34.721,0.802,0.17,16489,0.120039
56,19.156,0.799,0.35,16788,0.081344
57,34.456,0.796,0.25,17087,0.120173
58,36.055,0.793,0.18,17386,0.127182
59,14.511,0.789,0.52,17685,0.062962
60,8.911,0.786,0.52,17985,0.063056
61,17.507,0.783,0.47,18285,0.063691
62,36.306,0.78,0.26,18585,0.123147
63,34.631,0.777,0.32,18885,0.117685
64,34.324,0.774,0.26,19185,0.116904
65,22.395,0.771,0.44,19484,0.079335
66,36.789,0.768,0.27,19784,0.128254
67,19.365,0.764,0.47,20083,0.069828
68,37.214,0.761,0.26,20382,0.1287
69,26.491,0.758,0.42,20681,0.096333
70,26.62,0.755,0.4,20981,0.098285
71,37.909,0.752,0.42,21281,0.129189
72,29.511,0.749,0.49,21581,0.104202
73,38.754,0.746,0.3,21881,0.130577
74,20.157,0.743,0.59,22181,0.069433
75,34.107,0.74,0.28,22481,0.119761
76,36.523,0.737,0.32,22780,0.123936
77,33.647,0.734,0.29,23080,0.117355
78,22.68,0.732,0.51,23380,0.082204
79,36.355,0.729,0.43,23680,0.123146
80,36.096,0.726,0.34,23979,0.123876
81,27.043,0.723,0.51,24278,0.091205
82,29.208,0.72,0.56,24577,0.103893
83,23.277,0.717,0.63,24877,0.082827
84,29.554,0.714,0.53,25176,0.102974
85,18.191,0.711,0.67,25476,0.06786
86,32.815,0.708,0.5,25775,0.115133
87,37.221,0.706,0.35,26074,0.128946
88,18.911,0.703,0.66,26373,0.064991
89,25.565,0.7,0.59,26672,0.090161
90,26.086,0.697,0.66,26972,0.090091
91,21.917,0.694,0.85,27271,0.076622
92,23.051,0.692,0.76,27569,0.081635
93,21.43,0.689,0.75,27868,0.084145
94,14.178,0.686,0.88,28168,0.057419
95,29.226,0.683,0.57,28467,0.099294
96,19.525,0.681,0.79,28767,0.069525
97,32.834,0.678,0.54,29066,0.117607
98,26.067,0.675,0.6,29365,0.104144
99,18.956,0.672,0.64,29664,0.081479
100,16.621,0.67,0.81,29964,0.066773
101,24.361,0.667,0.69,30263,0.086404
102,15.221,0.664,0.85,30563,0.062522
103,30.267,0.662,0.6,30862,0.109744
104,32.538,0.659,0.65,31162,0.109709
105,35.108,0.656,0.49,31461,0.124832
106,29.773,0.654,0.71,31760,0.100888
107,38.924,0.651,0.55,32060,0.133184
108,36.524,0.649,0.44,32360,0.128824
109,31.157,0.646,0.7,32659,0.109935
110,27.197,0.643,0.81,32958,0.091535
111,34.966,0.641,0.62,33258,0.123432
112,15.597,0.638,0.9,33557,0.061438
113,33.389,0.636,0.74,33857,0.117092
114,14.263,0.633,0.92,34156,0.06076
115,13.27,0.631,0.92,34455,0.070388
116,18.736,0.628,1.01,34754,0.066804
117,21.825,0.626,1.01,35053,0.074592
118,29.73,0.623,0.73,35353,0.111363
119,27.109,0.621,0.84,35652,0.097823
120,22.123,0.618,0.86,35951,0.081152
121,25.495,0.616,0.68,36250,0.087982
122,13.636,0.613,0.98,36549,0.05993
123,22.093,0.611,0.89,36848,0.080127
124,20.158,0.608,1.02,37148,0.075248
125,38.915,0.606,0.6,37447,0.131093
126,36.38,0.603,0.68,37746,0.125227
127,19.057,0.601,0.96,38045,0.07196
128,18.359,0.599,0.98,38345,0.069287
129,31.132,0.596,0.7,38644,0.112118
130,32.501,0.594,0.76,38943,0.113519
131,38.911,0.592,0.74,39242,0.132017
132,23.376,0.589,0.88,39541,0.085184
133,16.074,0.587,1.06,39840,0.061175
134,19.738,0.584,1.04,40140,0.068879
135,17.045,0.582,0.94,40440,0.063586
136,24.964,0.58,0.88,40739,0.08646
137,37.03,0.577,0.64,41039,0.12531
138,24.371,0.575,0.91,41339,0.090195
139,36.494,0.573,0.64,41639,0.131488
140,23.512,0.571,1.02,41938,0.079659
141,38.598,0.568,0.85,42237,0.129377
142,28.816,0.566,0.88,42536,0.100324
143,28.586,0.564,0.93,42835,0.096838
144,35.149,0.561,0.67,43135,0.124565
145,32.084,0.559,0.84,43435,0.10815
146,32.498,0.557,0.81,43734,0.112875
147,34.471,0.555,0.74,44033,0.128633
148,36.098,0.553,0.87,44332,0.12116
149,19.864,0.55,1.04,44631,0.069678
150,29.412,0.548,0.98,44930,0.101204
151,39.032,0.546,0.85,45229,0.131489
152,38.337,0.544,0.8,45528,0.130349
153,40.065,0.542,0.78,45828,0.135105
154,22.069,0.539,1.07,46127,0.07993
155,39.033,0.537,0.79,46426,0.131893
156,29.989,0.535,0.98,46725,0.10296
157,38.159,0.533,0.84,47024,0.132304
158,29.338,0.531,0.97,47323,0.10302
159,31.002,0.529,0.97,47623,0.111399
160,39.121,0.527,0.87,47922,0.138596
161,26.927,0.525,1.13,48222,0.091351
162,39.832,0.522,0.88,48521,0.133163
163,18.558,0.52,1.18,48820,0.065497
164,23.115,0.518,1.15,49119,0.079583
165,35.787,0.516,0.93,49419,0.120481
166,36.716,0.514,0.92,49718,0.127543
167,21.983,0.512,1.14,50017,0.079151
168,40.815,0.51,0.84,50317,0.136839
169,32.867,0.508,1.01,50616,0.111967
170,34.873,0.506,0.89,50915,0.121675
171,34.217,0.504,1.0,51214,0.114898
172,27.096,0.502,1.11,51514,0.09469
173,35.553,0.5,0.95,51813,0.124589
174,37.246,0.498,1.01,52112,0.124709
175,23.59,0.496,1.2,52412,0.083483
176,29.642,0.494,1.18,52711,0.099225
177,37.511,0.492,0.97,53010,0.129231
178,40.391,0.49,0.97,53309,0.135663
