Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
145,34.82,0.559,0.89,43436,0.116864
146,24.378,0.557,0.81,43735,0.094409
147,33.239,0.555,0.72,44034,0.11797
148,38.481,0.553,0.71,44333,0.134703
149,39.75,0.55,0.69,44632,0.132818
150,29.944,0.548,0.74,44932,0.1069
151,17.072,0.546,1.05,45231,0.073411
152,29.78,0.544,0.87,45530,0.104741
153,20.355,0.542,1.29,45829,0.071145
154,20.462,0.539,1.24,46128,0.073898
155,27.032,0.537,1.01,46427,0.091821
156,36.316,0.535,0.68,46726,0.123132
157,37.796,0.533,0.65,47025,0.130355
158,37.333,0.531,0.67,47324,0.126676
159,27.719,0.529,0.84,47623,0.095949
160,37.117,0.527,0.97,47922,0.127864
161,39.026,0.525,0.83,48221,0.132786
162,24.199,0.522,1.22,48521,0.08222
163,24.865,0.52,0.93,48820,0.083519
164,40.639,0.518,0.69,49119,0.13776
165,16.748,0.516,1.17,49418,0.06462
166,21.619,0.514,1.0,49717,0.073293
167,37.765,0.512,0.74,50016,0.132114
168,36.18,0.51,0.81,50315,0.126228
169,24.602,0.508,0.99,50614,0.084539
170,29.213,0.506,1.64,50913,0.101424
171,31.858,0.504,1.3,51212,0.10711
172,24.93,0.502,1.34,51511,0.090411
173,40.139,0.5,1.03,51810,0.136038
174,36.571,0.498,0.77,52109,0.123953
175,19.92,0.496,1.25,52408,0.069858
176,30.316,0.494,0.86,52707,0.103458
177,26.155,0.492,0.93,53006,0.087461
178,22.091,0.49,1.02,53305,0.079668
179,38.058,0.488,0.87,53604,0.130952
180,33.637,0.486,0.86,53903,0.112741
181,21.656,0.484,1.31,54202,0.074975
182,21.191,0.482,1.14,54501,0.076784
183,39.135,0.48,0.88,54800,0.131383
184,25.282,0.478,1.09,55099,0.087759
185,35.341,0.476,1.15,55398,0.126616
186,25.173,0.475,1.16,55697,0.08657
187,35.554,0.473,1.0,55996,0.120279
188,22.237,0.471,1.33,56295,0.076223
189,39.451,0.469,0.95,56594,0.137841
190,21.871,0.467,1.7,56893,0.074853
191,38.47,0.465,0.95,57192,0.132054
192,29.438,0.463,0.98,57491,0.098889
193,33.671,0.461,0.86,57790,0.113381
194,31.702,0.46,1.01,58089,0.107462
195,25.017,0.458,1.12,58389,0.084946
196,38.813,0.456,0.91,58688,0.130251
197,31.639,0.454,1.03,58987,0.113723
198,39.405,0.452,0.9,59287,0.131897
199,38.227,0.45,0.86,59586,0.132202
200,27.225,0.449,1.35,59885,0.094834
201,35.986,0.447,0.97,60184,0.125093
202,30.8,0.445,1.4,60483,0.10534
203,36.373,0.443,1.19,60782,0.12369
204,31.583,0.441,1.21,61082,0.106008
205,25.467,0.44,1.2,61381,0.086505
206,39.068,0.438,1.12,61680,0.131522
207,29.848,0.436,2.72,61979,0.100917
208,40.561,0.434,2.22,62278,0.140218
209,28.709,0.433,2.73,62577,0.096554
210,36.656,0.431,2.28,62876,0.126155
211,36.074,0.429,2.41,63175,0.125249
212,25.019,0.428,3.08,63475,0.090602
213,28.875,0.426,2.69,63774,0.096996
214,40.794,0.424,2.15,64073,0.138545
215,28.937,0.422,2.76,64372,0.097555
216,39.124,0.421,2.15,64671,0.131694
217,41.392,0.419,2.36,64970,0.139951
218,32.815,0.417,2.91,65269,0.110709
219,27.204,0.416,2.92,65568,0.092082
220,35.829,0.414,2.48,65867,0.120261
221,37.706,0.412,2.29,66166,0.131768
222,33.42,0.411,2.52,66465,0.11867
223,37.286,0.409,2.28,66764,0.12674
224,23.743,0.407,2.93,67063,0.084407
225,40.439,0.406,2.13,67362,0.137405
226,33.407,0.404,2.7,67661,0.111899
227,37.102,0.403,2.17,67961,0.127768
228,33.589,0.401,2.52,68260,0.114681
229,32.974,0.399,2.69,68560,0.110981
230,27.574,0.398,3.07,68859,0.095738
231,30.113,0.396,2.66,69158,0.10364
232,38.989,0.395,2.41,69457,0.130805
233,26.902,0.393,3.18,69756,0.0932
234,35.864,0.391,1.88,70055,0.120282
235,26.94,0.39,1.62,70355,0.10268
236,19.275,0.388,1.72,70654,0.075383
237,24.087,0.387,2.04,70953,0.082626
238,30.179,0.385,1.69,71252,0.103142
239,31.561,0.384,2.5,71551,0.105366
240,39.17,0.382,2.98,71850,0.131052
241,28.241,0.381,1.69,72149,0.094641
242,27.8,0.379,1.52,72448,0.092995
243,33.558,0.378,2.67,72747,0.111949
244,32.989,0.376,3.76,73046,0.110892
245,33.73,0.375,3.68,73345,0.116501
246,34.788,0.373,3.57,73644,0.122887
247,32.837,0.372,3.54,73942,0.115718
248,23.487,0.37,3.39,74241,0.082667
249,37.975,0.369,3.24,74540,0.127652
250,14.242,0.367,3.9,74839,0.068541
251,37.742,0.366,3.03,75138,0.127038
252,31.698,0.364,2.95,75437,0.106201
253,22.127,0.363,3.18,75737,0.085072
254,22.072,0.361,3.54,76036,0.076973
255,27.797,0.36,3.22,76335,0.098016
256,39.708,0.358,2.92,76634,0.133047
257,23.884,0.357,3.43,76933,0.082317
258,23.253,0.356,3.34,77232,0.080791
259,21.456,0.354,3.56,77531,0.080413
260,27.124,0.353,3.12,77830,0.09779
261,37.834,0.351,3.08,78129,0.13176
262,33.569,0.35,3.31,78428,0.112952
263,41.784,0.349,2.8,78727,0.140826
264,24.495,0.347,3.38,79026,0.085002
265,33.314,0.346,2.56,79325,0.114109
266,40.161,0.344,1.16,79624,0.134492
267,23.487,0.343,1.37,79923,0.085435
268,40.693,0.342,1.38,80222,0.13684
269,21.602,0.34,1.8,80521,0.07559
270,27.886,0.339,1.5,80820,0.093823
271,41.469,0.338,1.19,81119,0.140669
272,36.75,0.336,1.5,81418,0.12291
273,42.725,0.335,1.21,81717,0.143386
274,40.633,0.333,1.17,82016,0.136839
275,20.035,0.332,1.49,82315,0.072292
276,25.161,0.331,1.54,82614,0.086334
277,39.642,0.329,1.23,82913,0.136058
278,20.443,0.328,1.47,83212,0.075764
279,40.918,0.327,1.16,83511,0.140531
280,30.029,0.326,1.63,83810,0.107391
281,38.463,0.324,1.22,84109,0.129038
282,39.3,0.323,1.21,84408,0.132739
283,40.737,0.322,1.27,84707,0.136364
284,21.341,0.32,1.65,85006,0.082082
285,43.19,0.319,1.24,85305,0.145217
286,41.38,0.318,1.21,85604,0.138868
287,31.938,0.317,1.5,85903,0.109288
288,42.598,0.315,1.34,86202,0.142056
289,41.354,0.314,1.23,86501,0.139283
290,40.362,0.313,1.25,86800,0.135236
291,22.979,0.312,1.67,87099,0.085588
292,31.689,0.31,1.41,87398,0.106281
293,41.901,0.309,1.25,87697,0.14189
294,22.434,0.308,1.53,87996,0.080989
295,25.462,0.307,1.65,88295,0.085767
296,34.775,0.305,1.34,88594,0.122535
297,26.957,0.304,1.5,88893,0.092518
298,42.316,0.303,1.38,89192,0.141771
299,37.136,0.302,1.48,89491,0.125761
300,41.801,0.3,1.27,89790,0.13985
301,39.803,0.299,1.38,90089,0.133074
302,27.349,0.298,1.74,90388,0.097705
303,23.069,0.297,1.61,90687,0.079256
304,43.593,0.296,1.28,90986,0.148275
305,31.126,0.295,1.65,91285,0.107141
306,20.951,0.293,1.6,91584,0.080852
307,30.997,0.292,1.5,91883,0.105792
308,34.272,0.291,1.51,92182,0.117274
309,42.092,0.29,1.51,92481,0.141284
310,24.897,0.289,1.63,92780,0.085215
311,28.931,0.288,1.62,93079,0.102016
312,22.762,0.286,1.79,93378,0.080552
313,33.641,0.285,1.5,93677,0.115926
314,41.208,0.284,1.34,93976,0.13775
315,38.285,0.283,1.65,94275,0.128836
316,28.689,0.282,1.58,94574,0.096395
317,39.252,0.281,1.42,94873,0.132309
318,41.164,0.28,1.49,95172,0.13859
319,24.392,0.278,1.68,95471,0.092614
320,38.827,0.277,1.42,95770,0.135607
321,42.407,0.276,1.49,96069,0.146373
322,35.847,0.275,1.63,96368,0.120271
323,21.174,0.274,1.7,96667,0.080074
324,26.485,0.273,1.66,96966,0.092293
325,37.25,0.272,1.65,97265,0.127353
326,41.394,0.271,1.38,97564,0.138521
327,24.684,0.27,1.83,97863,0.08721
328,32.114,0.269,1.75,98162,0.109892
329,30.217,0.267,1.63,98461,0.101145
330,20.826,0.266,1.76,98760,0.075315
331,26.248,0.265,1.89,99059,0.091746
332,28.011,0.264,1.63,99358,0.09644
333,40.422,0.263,1.45,99657,0.135782
334,18.155,0.262,2.01,99956,0.06835
335,31.096,0.261,1.62,100255,0.10701
336,27.259,0.26,1.7,100554,0.091693
337,38.798,0.259,1.74,100853,0.131167
338,24.222,0.258,1.68,101152,0.081879
339,40.139,0.257,1.52,101451,0.134381
340,43.018,0.256,1.65,101750,0.144458
341,42.023,0.255,1.56,102049,0.140677
342,42.887,0.254,1.5,102348,0.143019
343,39.019,0.253,1.71,102647,0.131997
344,31.256,0.252,1.8,102946,0.105514
345,24.959,0.251,1.8,103245,0.085598
346,37.741,0.25,1.79,103544,0.128577
