Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,11.19,0.996,0.22,300,0.061673
2,31.352,0.992,0.08,600,0.116864
3,25.22,0.988,0.19,900,0.093144
4,28.67,0.984,0.11,1200,0.101841
5,12.4,0.98,0.39,1500,0.060058
6,20.588,0.976,0.24,1800,0.072906
7,28.802,0.972,0.17,2100,0.097419
8,28.47,0.968,0.17,2400,0.098895
9,31.962,0.965,0.08,2699,0.107983
10,23.376,0.961,0.35,2999,0.079437
11,23.241,0.957,0.22,3299,0.085285
12,31.822,0.953,0.08,3599,0.110101
13,27.418,0.949,0.22,3899,0.093164
14,28.054,0.945,0.19,4199,0.095251
15,21.003,0.942,0.31,4499,0.071337
16,15.513,0.938,0.34,4798,0.063584
17,10.765,0.934,0.38,5098,0.05597
18,30.223,0.93,0.09,5397,0.110245
19,26.444,0.927,0.11,5697,0.095714
20,24.716,0.923,0.32,5997,0.083895
21,32.698,0.919,0.11,6297,0.110385
22,25.767,0.916,0.18,6597,0.099987
23,22.071,0.912,0.31,6897,0.084687
24,20.368,0.908,0.35,7197,0.077995
25,30.83,0.905,0.11,7497,0.106373
26,32.735,0.901,0.14,7797,0.115668
27,32.641,0.897,0.11,8096,0.117487
28,25.359,0.894,0.26,8396,0.091443
29,12.498,0.89,0.4,8696,0.056881
30,33.194,0.887,0.13,8996,0.112886
31,27.471,0.883,0.16,9296,0.096817
32,35.017,0.88,0.1,9596,0.121018
33,36.036,0.876,0.14,9896,0.122539
34,36.463,0.873,0.13,10196,0.12615
35,20.435,0.869,0.34,10496,0.069636
36,20.323,0.866,0.87,10796,0.07346
37,29.324,0.862,0.77,11096,0.101068
38,33.934,0.859,0.49,11396,0.11437
39,23.796,0.855,0.88,11696,0.091701
40,34.941,0.852,0.6,11996,0.119905
41,33.169,0.848,0.48,12296,0.1165
42,32.929,0.845,0.69,12595,0.114115
43,31.633,0.842,0.82,12895,0.108996
44,27.511,0.838,1.1,13195,0.097351
45,32.027,0.835,0.69,13495,0.112975
46,8.04,0.832,1.62,13795,0.061857
47,22.811,0.828,1.09,14095,0.084791
48,34.473,0.825,0.69,14395,0.120734
49,28.583,0.822,0.82,14694,0.101863
50,34.648,0.818,0.61,14994,0.117419
51,31.234,0.815,0.99,15293,0.107762
52,31.968,0.812,0.91,15593,0.111395
53,19.636,0.809,1.51,15892,0.066715
54,13.571,0.805,1.7,16191,0.063986
55,21.837,0.802,1.43,16491,0.080844
56,16.933,0.799,1.67,16790,0.071512
57,20.616,0.796,1.41,17089,0.075979
58,20.826,0.793,1.56,17388,0.071476
59,29.328,0.789,1.18,17687,0.098861
60,36.582,0.786,0.72,17987,0.123158
61,22.228,0.783,1.67,18287,0.086739
62,20.732,0.78,1.29,18587,0.07821
63,19.621,0.777,1.81,18887,0.07622
64,31.234,0.774,1.14,19187,0.108459
65,35.842,0.771,0.97,19487,0.123766
66,35.837,0.768,0.87,19787,0.123575
67,21.606,0.764,1.82,20086,0.078977
68,21.011,0.761,1.47,20385,0.074693
69,26.37,0.758,1.27,20684,0.092549
70,15.237,0.755,1.86,20983,0.057525
71,18.744,0.752,1.69,21283,0.06573
72,35.544,0.749,0.85,21582,0.120397
73,30.186,0.746,1.34,21882,0.1043
74,34.038,0.743,0.95,22182,0.118366
75,18.689,0.74,1.74,22482,0.074826
76,13.928,0.737,1.93,22781,0.065918
77,36.616,0.734,0.9,23081,0.125381
78,24.412,0.732,1.69,23381,0.087137
79,36.322,0.729,0.93,23681,0.123732
80,14.151,0.726,1.24,23981,0.060042
81,33.257,0.723,0.54,24280,0.112566
82,25.053,0.72,0.49,24580,0.092454
83,20.073,0.717,0.68,24880,0.071669
84,34.251,0.714,0.41,25179,0.117912
85,11.374,0.711,1.26,25479,0.058975
86,37.566,0.708,0.57,25778,0.129781
87,32.33,0.706,0.42,26078,0.11444
88,35.556,0.703,0.71,26377,0.122997
89,17.287,0.7,2.07,26677,0.072074
90,33.309,0.697,1.3,26976,0.112675
91,20.752,0.694,1.98,27275,0.071037
92,35.909,0.692,1.11,27575,0.120757
93,40.929,0.689,1.11,27874,0.137264
94,15.913,0.686,2.22,28173,0.062874
95,17.974,0.683,1.98,28472,0.067659
96,24.749,0.681,1.72,28771,0.083591
97,36.296,0.678,1.36,29070,0.12466
98,26.682,0.675,1.59,29369,0.091789
99,26.095,0.672,1.97,29668,0.090954
100,27.858,0.67,1.66,29968,0.093719
101,31.494,0.667,1.49,30267,0.111567
102,25.451,0.664,1.76,30567,0.098395
103,28.767,0.662,1.53,30866,0.098701
104,21.533,0.659,2.08,31166,0.084991
105,26.753,0.656,1.88,31465,0.091331
106,19.141,0.654,1.99,31764,0.075162
107,30.122,0.651,1.82,32063,0.10146
108,22.055,0.649,1.98,32362,0.080173
109,33.223,0.646,1.32,32661,0.121308
110,27.214,0.643,1.81,32960,0.092825
111,24.8,0.641,2.38,33259,0.083961
112,26.097,0.638,2.04,33558,0.092102
113,31.082,0.636,1.55,33857,0.112134
114,20.624,0.633,1.87,34157,0.081374
115,25.63,0.631,1.68,34456,0.09461
116,36.272,0.628,1.43,34755,0.123682
117,21.133,0.626,2.42,35054,0.077471
118,20.479,0.623,2.24,35354,0.072654
119,33.706,0.621,1.78,35654,0.120506
120,25.146,0.618,2.53,35954,0.086215
121,38.411,0.616,0.92,36253,0.131878
122,27.975,0.613,1.26,36553,0.095795
123,23.074,0.611,2.45,36852,0.077958
124,18.898,0.608,2.41,37152,0.076636
125,16.501,0.606,2.4,37452,0.068404
126,19.572,0.603,2.23,37751,0.074432
127,28.859,0.601,1.87,38051,0.100492
128,38.665,0.599,1.44,38350,0.130775
129,36.999,0.596,1.42,38649,0.129534
130,32.88,0.594,1.62,38948,0.115361
131,37.673,0.592,1.44,39247,0.129309
132,27.374,0.589,1.93,39546,0.098736
133,34.504,0.587,1.65,39845,0.118471
134,37.446,0.584,1.48,40144,0.125909
135,24.963,0.582,2.21,40444,0.086723
136,31.494,0.58,1.82,40743,0.108718
137,38.013,0.577,1.65,41042,0.132091
138,20.193,0.575,2.31,41341,0.080713
139,24.743,0.573,2.21,41640,0.083425
140,34.188,0.571,1.81,41939,0.1169
141,30.641,0.568,2.26,42238,0.111815
142,18.238,0.566,2.54,42538,0.069251
143,39.252,0.564,1.66,42837,0.132172
144,22.869,0.561,2.28,43137,0.077968
145,25.302,0.559,2.11,43437,0.088324
146,34.725,0.557,1.62,43736,0.128891
147,30.567,0.555,1.96,44035,0.107262
148,36.652,0.553,1.97,44334,0.123577
149,30.458,0.55,1.7,44633,0.11233
150,36.322,0.548,1.63,44932,0.126277
151,34.619,0.546,1.81,45231,0.120729
152,25.192,0.544,2.12,45531,0.102265
153,27.256,0.542,2.25,45831,0.093703
154,34.272,0.539,1.94,46130,0.119499
155,36.397,0.537,1.65,46429,0.126684
156,37.493,0.535,1.79,46728,0.130995
157,38.223,0.533,1.73,47027,0.130493
158,38.802,0.531,1.71,47326,0.131868
159,22.365,0.529,2.71,47625,0.078991
160,18.259,0.527,2.73,47924,0.071916
161,30.99,0.525,2.31,48224,0.105256
162,21.904,0.522,2.58,48523,0.075123
