Episode,TotalReward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,-65.91,-19.64,-35.11323547363281,408.8219909667969,1.8629584312438965,0,4.16
2,-54.03,-17.17,-31.36920738220215,337.227783203125,1.913636326789856,0,3.63
3,-40.04,-13.27,-24.45538330078125,209.89865112304688,1.9219443798065186,0,3.35
4,-35.83,-12.37,-22.208099365234375,195.97451782226562,1.9196386337280273,0,3.22
5,-65.4,-20.02,-35.04022216796875,405.747314453125,1.9174758195877075,0,3.96
6,-56.75,-18.15,-31.549604415893555,350.1556396484375,1.9188002347946167,0,4.06
7,-61.34,-19.26,-33.258766174316406,385.2705993652344,1.9206143617630005,0,4.17
8,-49.47,-15.91,-26.346784591674805,255.61758422851562,1.9218626022338867,0,4.09
9,-42.95,-14.22,-23.782310485839844,217.96363830566406,1.916456699371338,0,3.43
10,-36.28,-12.31,-19.556072235107422,160.47474670410156,1.9176181554794312,0,3.15
11,-49.09,-15.71,-25.17456817626953,232.6768798828125,1.9220771789550781,0,3.51
12,-39.82,-13.4,-20.862112045288086,186.20962524414062,1.9156402349472046,0,3.12
13,-41.92,-14.03,-19.486953735351562,178.75827026367188,1.9178558588027954,0,4.27
14,-39.76,-13.19,-19.375362396240234,166.1209716796875,1.913182020187378,0,3.0
15,-44.22,-14.65,-19.725326538085938,183.91854858398438,1.917928695678711,0,3.57
16,-57.79,-18.09,-26.557533264160156,275.9476623535156,1.9174367189407349,0,3.76
17,-35.63,-12.25,-15.451165199279785,138.92913818359375,1.9133044481277466,0,3.28
18,-49.45,-15.83,-21.233154296875,200.26148986816406,1.9178072214126587,0,3.19
19,-51.28,-16.51,-14.209632873535156,136.04290771484375,1.8696433305740356,0,4.06
20,-50.04,-16.22,-19.250118255615234,195.2715301513672,1.9177675247192383,0,4.0
21,-44.77,-14.5,-16.648744583129883,150.22695922851562,1.9178904294967651,0,3.73
22,-51.74,-16.64,-17.631093978881836,181.54689025878906,1.920351505279541,0,3.92
23,-41.64,-13.9,-12.020770072937012,131.51255798339844,1.9172896146774292,0,3.72
24,-44.33,-14.76,-13.62480640411377,152.57101440429688,1.914391040802002,0,4.03
25,-50.55,-16.35,-12.701132774353027,149.6115264892578,1.9171663522720337,0,4.3
26,-42.04,-13.89,-10.88020133972168,118.10661315917969,1.9136136770248413,0,3.17
27,-39.55,-13.39,-6.6921281814575195,112.069091796875,1.9111464023590088,0,4.0
28,-55.44,-17.67,-12.529394149780273,159.73487854003906,1.914513111114502,0,4.12
29,-44.28,-14.68,-8.536042213439941,127.1842041015625,1.9156408309936523,0,3.84
30,-34.96,-12.03,-4.54099702835083,89.19548797607422,1.9092389345169067,0,3.24
31,-45.43,-15.06,11.364108085632324,202.1257781982422,1.566270112991333,0,3.71
32,-34.19,-11.96,-1.3571248054504395,93.61373138427734,1.9130877256393433,0,3.8
