Step,Action,Reward,Done,Step_Count,Checkin,Security,Boarding,Services_to_be_Switched,Wait_Checkin_Queue,Buffer_Checkin_to_Security,Wait_Security_Queue,Buffer_Security_to_Boarding,Wait_Boarding_Queue,Reward_R1
223,0,0.024680622407895134,False,223.0,146.0,21.0,63.0,0.0,4095.0,137.0,2250.0,95.0,61.0,69.0
224,0,0.011757056075237901,False,224.0,146.0,21.0,63.0,0.0,4106.0,155.0,2252.0,93.0,65.0,61.0
225,0,0.017629466493102847,False,225.0,146.0,21.0,63.0,0.0,4132.0,144.0,2263.0,92.0,64.0,65.0
226,0,0.01584349993440902,False,226.0,146.0,21.0,63.0,0.0,4134.0,149.0,2278.0,93.0,62.0,64.0
227,0,0.01207290184562912,False,227.0,146.0,21.0,63.0,0.0,4164.0,132.0,2295.0,96.0,60.0,62.0
228,0,0.008580434716798355,False,228.0,146.0,21.0,63.0,0.0,4179.0,150.0,2297.0,92.0,67.0,60.0
229,0,0.01924123855942038,False,229.0,146.0,21.0,63.0,0.0,4210.0,139.0,2308.0,96.0,59.0,67.0
230,0,0.006198473243927791,False,230.0,146.0,21.0,63.0,0.0,4221.0,153.0,2314.0,91.0,68.0,59.0
231,0,0.020139834912562188,False,231.0,146.0,21.0,63.0,0.0,4245.0,140.0,2327.0,97.0,57.0,68.0
232,0,0.0025338298065570725,False,232.0,146.0,21.0,63.0,0.0,4239.0,158.0,2329.0,88.0,72.0,57.0
233,0,0.02603873399327944,False,233.0,146.0,21.0,63.0,0.0,4256.0,134.0,2353.0,97.0,54.0,72.0
234,0,-0.00255918324100142,False,234.0,146.0,21.0,63.0,0.0,4245.0,158.0,2349.0,89.0,71.0,54.0
235,0,0.023815704497522683,False,235.0,146.0,21.0,63.0,0.0,4289.0,141.0,2366.0,96.0,56.0,71.0
236,0,-0.0003116832662287128,False,236.0,146.0,21.0,63.0,0.0,4302.0,159.0,2368.0,94.0,65.0,56.0
237,0,0.013470746425291877,False,237.0,146.0,21.0,63.0,0.0,4314.0,135.0,2392.0,90.0,67.0,65.0
238,0,0.016459928959928954,False,238.0,146.0,21.0,63.0,0.0,4338.0,153.0,2394.0,98.0,55.0,67.0
239,0,-0.0033161283161283195,False,239.0,146.0,21.0,63.0,0.0,4377.0,142.0,2405.0,101.0,60.0,55.0
240,0,0.004461447643265823,False,240.0,146.0,21.0,63.0,0.0,4382.0,166.0,2401.0,93.0,71.0,60.0
241,0,0.021537679492224945,False,241.0,146.0,21.0,63.0,0.0,4405.0,148.0,2419.0,97.0,59.0,71.0
242,0,0.002013264513264515,False,242.0,146.0,21.0,63.0,0.0,4410.0,151.0,2436.0,87.0,73.0,59.0
243,0,0.023891134118406848,False,243.0,146.0,21.0,63.0,0.0,4449.0,139.0,2448.0,102.0,48.0,73.0
244,0,-0.016122513849786566,False,244.0,146.0,21.0,63.0,0.0,4454.0,157.0,2450.0,99.0,66.0,48.0
245,0,0.011773453818908361,False,245.0,146.0,21.0,63.0,0.0,4484.0,140.0,2467.0,92.0,70.0,66.0
246,0,0.01822861481952391,False,246.0,146.0,21.0,63.0,0.0,4479.0,151.0,2476.0,97.0,58.0,70.0
247,0,-0.0012030898394534695,False,247.0,146.0,21.0,63.0,0.0,4497.0,137.0,2490.0,105.0,55.0,58.0
248,0,-0.006415301869847331,False,248.0,146.0,21.0,63.0,0.0,4509.0,158.0,2489.0,90.0,78.0,55.0
249,0,0.029960191323827698,False,249.0,146.0,21.0,63.0,0.0,4538.0,153.0,2494.0,99.0,54.0,78.0
250,0,-0.008784019011291735,False,250.0,146.0,21.0,63.0,0.0,4556.0,157.0,2510.0,93.0,69.0,54.0
251,0,0.014667907849726033,False,251.0,146.0,21.0,63.0,0.0,4576.0,143.0,2524.0,94.0,62.0,69.0
252,0,0.003040267812995087,False,252.0,146.0,21.0,63.0,0.0,4596.0,146.0,2541.0,93.0,64.0,62.0
253,0,0.005711586393404577,False,253.0,146.0,21.0,63.0,0.0,4628.0,137.0,2550.0,95.0,61.0,64.0
254,0,0.0010423919514828683,False,254.0,146.0,21.0,63.0,0.0,4626.0,159.0,2548.0,100.0,58.0,61.0
255,0,-0.004355240718877079,False,255.0,146.0,21.0,63.0,0.0,4650.0,147.0,2560.0,93.0,70.0,58.0
256,0,0.014387758705940515,False,256.0,146.0,21.0,63.0,0.0,4663.0,152.0,2575.0,91.0,65.0,70.0
257,0,0.005855255855255856,False,257.0,146.0,21.0,63.0,0.0,4692.0,139.0,2588.0,86.0,68.0,65.0
258,0,0.010405251314342223,False,258.0,146.0,21.0,63.0,0.0,4715.0,152.0,2595.0,95.0,54.0,68.0
259,0,-0.01239972149063058,False,259.0,146.0,21.0,63.0,0.0,4732.0,135.0,2612.0,94.0,64.0,54.0
260,0,0.0035130273766637438,False,260.0,146.0,21.0,63.0,0.0,4739.0,150.0,2617.0,108.0,49.0,64.0
261,0,-0.0210779119870029,False,261.0,146.0,21.0,63.0,0.0,4766.0,142.0,2625.0,98.0,73.0,49.0
262,0,0.01665972915972916,False,262.0,146.0,21.0,63.0,0.0,4788.0,155.0,2632.0,90.0,71.0,73.0
263,0,0.012995085722358454,False,263.0,146.0,21.0,63.0,0.0,4827.0,138.0,2649.0,101.0,52.0,71.0
264,0,-0.01760070737343465,False,264.0,146.0,21.0,63.0,0.0,4828.0,149.0,2658.0,89.0,75.0,52.0
265,0,0.018629098174552716,False,265.0,146.0,21.0,63.0,0.0,4847.0,138.0,2669.0,86.0,66.0,75.0
266,0,0.004144718917446194,False,266.0,146.0,21.0,63.0,0.0,4855.0,140.0,2687.0,94.0,55.0,66.0
267,0,-0.0139910594456049,False,267.0,146.0,21.0,63.0,0.0,4880.0,126.0,2701.0,90.0,67.0,55.0
268,0,0.005096292596292587,False,268.0,146.0,21.0,63.0,0.0,4891.0,146.0,2701.0,100.0,53.0,67.0
269,0,-0.01766894721440175,False,269.0,146.0,21.0,63.0,0.0,4905.0,142.0,2705.0,87.0,76.0,53.0
270,0,0.018693301647847105,False,270.0,146.0,21.0,63.0,0.0,4922.0,151.0,2716.0,91.0,59.0,76.0
271,0,-0.008714643941916664,False,271.0,146.0,21.0,63.0,0.0,4939.0,133.0,2734.0,98.0,56.0,59.0
272,0,-0.013556014692378326,False,272.0,146.0,21.0,63.0,0.0,4940.0,155.0,2732.0,98.0,63.0,56.0
273,0,-0.0028819665183301424,False,273.0,146.0,21.0,63.0,0.0,4961.0,144.0,2743.0,97.0,64.0,63.0
274,0,-0.0018244381880745536,False,274.0,146.0,21.0,63.0,0.0,4986.0,151.0,2756.0,94.0,66.0,64.0
275,0,0.0009793237065964383,False,275.0,146.0,21.0,63.0,0.0,4995.0,131.0,2776.0,92.0,65.0,66.0
276,0,-0.0008596201778020007,False,276.0,146.0,21.0,63.0,0.0,5004.0,146.0,2781.0,85.0,70.0,65.0
277,0,0.006891467118739836,False,277.0,146.0,21.0,63.0,0.0,5031.0,140.0,2787.0,97.0,51.0,70.0
278,0,-0.023426195017104107,False,278.0,146.0,21.0,63.0,0.0,5023.0,158.0,2789.0,91.0,69.0,51.0
279,0,0.0050790118971937165,False,279.0,146.0,21.0,63.0,0.0,5034.0,143.0,2804.0,106.0,48.0,69.0
280,0,-0.028784094693185602,False,280.0,146.0,21.0,63.0,0.0,5031.0,145.0,2822.0,96.0,73.0,48.0
281,0,0.010408404726586551,False,281.0,146.0,21.0,63.0,0.0,5073.0,145.0,2822.0,91.0,68.0,73.0
282,0,0.0026308287671924085,False,282.0,146.0,21.0,63.0,0.0,5077.0,164.0,2823.0,103.0,51.0,68.0
283,0,-0.0252671570853389,False,283.0,146.0,21.0,63.0,0.0,5104.0,143.0,2844.0,94.0,72.0,51.0
284,0,0.0077350679623406915,False,284.0,146.0,21.0,63.0,0.0,5113.0,144.0,2863.0,88.0,69.0,72.0
285,0,0.0026420549147821853,False,285.0,146.0,21.0,63.0,0.0,5152.0,140.0,2867.0,100.0,51.0,69.0
286,0,-0.02643265825084007,False,286.0,146.0,21.0,63.0,0.0,5160.0,148.0,2879.0,94.0,69.0,51.0
287,0,0.0016487300578209713,False,287.0,146.0,21.0,63.0,0.0,5192.0,135.0,2892.0,96.0,61.0,69.0
288,0,-0.011062926972017884,False,288.0,146.0,21.0,63.0,0.0,5195.0,156.0,2891.0,99.0,60.0,61.0
289,0,-0.013206490479217764,False,289.0,146.0,21.0,63.0,0.0,5217.0,145.0,2902.0,93.0,69.0,60.0
290,0,0.0009070474979565868,False,290.0,146.0,21.0,63.0,0.0,5229.0,154.0,2913.0,97.0,59.0,69.0
291,0,-0.015747383929202108,False,291.0,146.0,21.0,63.0,0.0,5272.0,142.0,2925.0,97.0,63.0,59.0
292,0,-0.00942466624284806,False,292.0,146.0,21.0,63.0,0.0,5269.0,156.0,2931.0,98.0,62.0,63.0
293,0,-0.011621207075752538,False,293.0,146.0,21.0,63.0,0.0,5301.0,151.0,2936.0,90.0,71.0,62.0
294,0,0.0023069102614557135,False,294.0,146.0,21.0,63.0,0.0,5321.0,156.0,2951.0,90.0,63.0,71.0
295,0,-0.010934520025429106,False,295.0,146.0,21.0,63.0,0.0,5359.0,143.0,2964.0,100.0,53.0,63.0
296,0,-0.02746975246975246,False,296.0,146.0,21.0,63.0,0.0,5381.0,153.0,2974.0,92.0,71.0,53.0
297,0,0.0007573234845962146,False,297.0,146.0,21.0,63.0,0.0,5403.0,139.0,2988.0,94.0,61.0,71.0
298,0,-0.015433556342647245,False,298.0,146.0,21.0,63.0,0.0,5408.0,153.0,2994.0,83.0,74.0,61.0
299,0,0.004870256006619639,False,299.0,146.0,21.0,63.0,0.0,5445.0,142.0,3005.0,95.0,51.0,74.0
300,0,-0.032035010444101356,True,300.0,146.0,21.0,63.0,0.0,5458.0,154.0,3013.0,98.0,60.0,51.0
