Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,-36.97,-12.33,-22.6200943,202.5765991,1.882569551,0,1.31
2,-26.08,-9.46,-17.76626015,130.6291351,1.919533134,0,0.98
3,-44,-14.4,-27.07912445,255.1377106,1.93395102,0,0.94
4,-22.17,-8.38,-14.91959858,103.3484039,1.929545879,0,0.8
5,-28.68,-10.34,-18.63364029,144.1494904,1.935372949,0,0.86
6,-22.33,-8.47,-14.69181538,106.4508743,1.937119126,0,0.83
7,-40.13,-13.28,-23.48456573,206.5176697,1.934090018,0,0.97
8,-41.52,-13.5,-23.3399086,198.1110992,1.934745073,0,0.84
9,-34.76,-11.99,-20.38656425,175.0544739,1.939166307,0,0.88
10,-43.68,-14.33,-24.1486969,220.1474152,1.939481378,0,0.91
11,-30.21,-10.58,-16.59253502,122.2960968,1.931093693,0,0.75
12,-46.76,-15.09,-24.43258858,229.3245239,1.93633306,0,0.81
13,-25.27,-9.44,-13.27479172,112.1975937,1.930997372,0,0.85
14,-53.52,-17.17,-27.55365562,289.7672119,1.933811903,0,2.35
15,-46.9,-15.13,-23.41881371,214.4718323,1.934948087,0,1.94
16,-32.02,-11.33,-15.42875004,133.6385345,1.930366993,0,1.58
17,-23.46,-8.9,-10.32701015,90.38803864,1.932372808,0,1.82
18,-44.26,-14.45,-20.02898979,179.1774292,1.935336113,0,2.25
19,-20.66,-8.05,-7.666829586,72.57776642,1.932953238,0,1.9
20,-37.83,-12.7,-15.4703331,132.9480438,1.929994345,0,2.07
21,-48.79,-15.82,-20.50294876,198.0371704,1.930187225,0,2.5
22,-30.58,-10.84,-10.90196323,93.47616577,1.931290865,0,1.97
23,-42.37,-14.26,-17.12366486,165.4137878,1.933275938,0,1.93
24,-40.78,-13.65,-14.77909851,135.6676025,1.934619904,0,1.85
25,-38.84,-13.17,-13.10806656,125.9471359,1.923858643,0,1.74
26,-37.99,-12.82,-11.60271645,108.9382401,1.934100747,0,1.68
27,-52.78,-16.95,-18.65406799,185.3418274,1.935333014,0,2.08
28,-50.59,-16.04,-15.44185162,148.5991211,1.934162855,0,1.79
29,-32.59,-11.47,-7.426608562,87.87367249,1.929563403,0,1.03
30,-42.34,-14.09,-9.75038147,111.9563675,1.918825626,0,1.08
31,-43.95,-14.51,-11.18092918,118.2369003,1.932077885,0,0.9
32,-34.99,-11.92,-6.143644333,81.57223511,1.932209492,0,0.91
33,-51.79,-16.68,-13.82716942,162.6318512,1.932461143,0,1.14
34,-46.21,-15.19,-9.163407326,126.0027771,1.932228446,0,0.99
35,-33.43,-11.72,-2.992936134,83.1802597,1.930735111,0,0.83
36,-36.81,-12.47,-2.574490547,79.62240601,1.930090785,0,0.99
37,-34.58,-11.83,-0.122670829,85.18049622,1.926714659,0,0.99
38,-28.23,-10.24,0.281617016,65.14498901,1.924153209,0,0.87
39,-39.05,-13.22,-4.162051201,84.80649567,1.929468751,0,1.3
40,-13.65,-6.31,7.44477272,64.61431122,1.926704884,0,0.85
41,-38.06,-12.86,-2.627283573,85.8884964,1.93010056,0,0.95
42,-37.21,-12.69,-3.513376474,75.88246918,1.930656314,0,1
43,-29.15,-10.31,1.055887341,54.63095093,1.926046371,0,1.32
44,-35.35,-12.32,-3.501085997,73.40840149,1.927855849,0,1.5
45,-47.53,-15.49,-9.32305336,108.8668976,1.930325508,0,1.11
46,-53.58,-16.8,-0.139995053,175.9621735,1.878980756,0,1.05
47,-35,-12.11,-3.993060827,64.95206451,1.925638199,0,1.06
48,-38.49,-13,-6.24893856,69.9439621,1.928664804,0,1.24
49,-37.73,-12.92,-5.837590218,69.16719055,1.924158573,0,1.31
50,-29.49,-10.48,0.232892513,37.49278641,1.924925685,0,1.24
51,-25.75,-9.45,1.192887068,35.11049652,1.923086524,0,0.93
52,-43.18,-14.32,-7.80582571,71.90081024,1.924535155,0,1.63
53,-52.06,-16.73,-12.50651836,108.6370926,1.924230695,0,1.25
54,-38.72,-12.98,-6.428853035,57.22525406,1.924780011,0,1
55,-40.67,-13.51,-6.102940083,52.99325562,1.924424887,0,0.88
56,-41.56,-13.7,-4.394860268,54.28033066,1.916473031,0,0.94
57,-28.88,-10.37,0.115352295,28.16693306,1.921092749,0,0.86
58,-38.98,-13.09,-5.692222118,56.03106308,1.919882774,0,1.21
59,-24.67,-9.21,3.912279129,25.50645447,1.914267182,0,0.83
60,-32.32,-11.31,-0.773675799,36.65879059,1.915791035,0,1.04
61,-40.36,-13.5,-5.92302227,46.354702,1.919820905,0,1.49
62,-37.42,-12.69,-3.253961086,35.07704163,1.919054747,0,1.34
63,-31.72,-11.15,0.237435788,25.05391121,1.915850997,0,0.9
64,-33.61,-11.63,-2.801353931,25.91560173,1.91754961,0,0.97
65,-32.67,-11.36,-2.334068298,20.65908051,1.916733861,0,0.88
66,-38.12,-12.78,-3.97274828,34.55613327,1.916430473,0,1.02
67,-40.16,-13.47,-5.469233036,29.68421173,1.914506674,0,1.02
68,-26.43,-9.82,2.735812187,14.15762234,1.913338423,0,0.99
69,-14.24,-6.23,9.681659698,31.18896484,1.912767768,0,0.89
70,-50.77,-16.3,-8.382069588,56.90510559,1.894949555,0,0.99
71,-34.48,-11.86,-2.992583036,17.67367744,1.91036129,0,1.05
72,-40.31,-13.56,-3.365632534,27.65876579,1.901401758,0,1.16
73,-28.32,-10.02,2.2065835,13.98172379,1.916132569,0,1.18
74,-30.57,-10.88,-1.02110827,12.2949791,1.913075924,0,1.08
75,-32.71,-11.5,0.045597699,12.02212429,1.904214501,0,1.1
76,-43.23,-14.31,-6.223236084,27.49633217,1.90710187,0,1.41
77,-40.27,-13.43,-2.317309856,26.5120697,1.896845102,0,2.44
78,-32.65,-11.33,0.150650188,24.58498001,1.902143359,0,1.59
79,-31.47,-10.9,-1.162294507,18.41314125,1.909703732,0,1.36
80,-26.98,-9.76,2.892634153,8.752066612,1.911986947,0,1.43
81,-40.37,-13.4,-1.454611778,16.21038818,1.895842433,0,1.33
82,-33.5,-11.7,0.948710561,11.77392292,1.906837583,0,1.06
83,-32.5,-11.31,0.612581909,6.894024849,1.907564044,0,1.07
84,-24.57,-9.02,7.093677998,21.42820358,1.910780787,0,1.4
85,-29.43,-10.34,4.247002125,11.62048054,1.903311372,0,1.04
86,-34.84,-11.77,-1.319962621,7.465344906,1.905543208,0,0.97
