Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,-47.3,0.996,0.16,300,0.215461
2,-45.159,0.992,0.32,600,0.20079
3,-49.07,0.988,0.29,900,0.212615
4,-39.076,0.984,0.3,1200,0.187581
5,-41.762,0.98,0.25,1500,0.189454
6,-47.378,0.976,0.37,1800,0.215993
7,-56.606,0.972,0.34,2100,0.228792
8,-39.756,0.968,0.21,2400,0.187358
9,-48.389,0.965,0.26,2700,0.211082
10,-32.764,0.961,0.17,3000,0.172675
11,-39.642,0.957,0.24,3300,0.194489
12,-49.264,0.953,0.32,3600,0.209607
13,-32.942,0.949,0.32,3900,0.173738
14,-19.163,0.945,0.23,4200,0.140311
15,-51.091,0.942,0.37,4500,0.218476
16,-47.512,0.938,0.41,4800,0.207644
17,-43.225,0.934,0.31,5100,0.195948
18,-47.358,0.93,0.37,5400,0.211507
19,-37.676,0.927,0.34,5700,0.192132
20,-34.563,0.923,0.19,5999,0.177576
21,-26.323,0.919,0.12,6299,0.159152
22,-33.368,0.916,0.18,6599,0.177141
23,-40.208,0.912,0.38,6898,0.191652
24,-24.87,0.908,0.21,7198,0.158419
25,-37.465,0.905,0.37,7497,0.179258
26,-22.039,0.901,0.28,7796,0.151672
27,-33.465,0.897,0.39,8096,0.177575
28,-21.758,0.894,0.18,8396,0.149302
29,-15.852,0.89,0.17,8696,0.140945
30,-18.496,0.887,0.17,8995,0.1497
31,-31.494,0.883,0.19,9294,0.163967
32,-36.863,0.88,0.4,9594,0.183539
33,-31.169,0.876,0.4,9894,0.169475
34,-41.174,0.873,0.4,10193,0.194499
35,-23.873,0.869,0.17,10493,0.147943
36,-31.773,0.866,0.29,10793,0.165952
37,-26.233,0.862,0.31,11093,0.157317
38,-34.882,0.859,0.38,11393,0.17641
39,-32.963,0.855,0.42,11692,0.167513
40,-20.624,0.852,0.18,11992,0.144635
41,-34.258,0.848,0.41,12291,0.175375
42,-19.664,0.845,0.3,12591,0.152798
43,-22.152,0.842,0.23,12891,0.148027
44,-24.204,0.838,0.32,13191,0.154103
45,-31.614,0.835,0.34,13491,0.165866
46,-24.331,0.832,0.33,13790,0.150896
47,-26.477,0.828,0.59,14089,0.160498
48,-43.827,0.825,0.51,14388,0.197825
49,-13.484,0.822,0.38,14688,0.140954
50,-24.329,0.818,0.61,14987,0.163754
51,-4.06,0.815,0.52,15287,0.119883
52,-36.22,0.812,0.76,15586,0.172349
53,-22.557,0.809,0.56,15886,0.145041
54,-36.821,0.805,0.5,16185,0.176729
55,-22.345,0.802,0.53,16485,0.14602
56,-17.752,0.799,0.5,16785,0.138436
57,-29.885,0.796,0.64,17084,0.164738
58,-12.491,0.793,0.42,17384,0.125625
59,-32.11,0.789,0.7,17684,0.170182
60,-27.192,0.786,0.41,17983,0.156913
61,-12.842,0.783,0.31,18283,0.131727
62,-2.255,0.78,0.33,18583,0.113113
63,-21.762,0.777,0.64,18883,0.147798
64,-35.977,0.774,0.69,19183,0.174482
65,-30.85,0.771,0.71,19482,0.165561
66,-25.523,0.768,0.65,19781,0.157855
67,-12.263,0.764,0.56,20081,0.130468
68,-16.731,0.761,0.57,20380,0.132168
69,-1.374,0.758,0.44,20680,0.126762
70,-17.024,0.755,0.63,20980,0.134467
71,-21.732,0.752,0.63,21280,0.145659
72,-4.163,0.749,0.47,21580,0.123019
73,-22.924,0.746,0.7,21879,0.144248
74,-12.535,0.743,0.49,22178,0.126177
75,-12.145,0.74,0.53,22477,0.129416
76,-7.398,0.737,0.55,22776,0.125298
77,-25.672,0.734,0.67,23076,0.154104
78,-11.295,0.732,0.48,23375,0.13147
79,-24.245,0.729,0.75,23675,0.146363
80,-23.865,0.726,0.54,23975,0.153221
81,-15.536,0.723,0.72,24275,0.126126
82,-9.998,0.72,0.57,24574,0.120215
83,2.201,0.717,0.45,24873,0.103802
84,-28.647,0.714,0.68,25173,0.163404
85,-12.933,0.711,0.56,25472,0.135165
86,-18.515,0.708,0.62,25771,0.143027
87,2.818,0.706,0.53,26070,0.106834
88,-17.398,0.703,0.83,26369,0.131725
89,11.735,0.7,0.5,26668,0.097198
90,-9.532,0.697,0.88,26967,0.112089
91,-29.949,0.694,0.87,27267,0.162296
92,-25.736,0.692,0.66,27567,0.151263
93,-5.786,0.689,0.71,27866,0.102481
94,-10.093,0.686,0.63,28165,0.121893
95,4.292,0.683,0.53,28464,0.110766
96,-20.894,0.681,0.82,28763,0.145222
97,-18.687,0.678,0.89,29062,0.129859
98,-13.214,0.675,0.69,29361,0.129646
99,-18.408,0.672,0.73,29661,0.141432
100,-4.419,0.67,0.57,29960,0.113967
101,-25.222,0.667,0.74,30259,0.160728
102,6.391,0.664,0.57,30558,0.109899
103,-12.803,0.662,0.72,30857,0.128088
104,2.117,0.659,0.86,31157,0.095047
105,2.567,0.656,0.8,31457,0.089107
106,2.517,0.654,0.77,31756,0.093048
107,-3.605,0.651,0.64,32055,0.124001
108,7.911,0.649,0.65,32355,0.087447
109,-0.992,0.646,0.63,32655,0.117816
110,-0.5,0.643,0.66,32955,0.102037
111,-23.79,0.641,0.95,33254,0.143558
112,-15.908,0.638,0.83,33553,0.11876
113,-5.005,0.636,0.82,33852,0.112152
114,-17.728,0.633,0.98,34152,0.124175
115,-7.165,0.631,0.78,34451,0.117609
116,-9.052,0.628,0.75,34751,0.119662
117,5.295,0.626,0.66,35050,0.097827
118,9.477,0.623,0.74,35350,0.084044
119,-3.781,0.621,0.78,35649,0.107733
120,-4.111,0.618,0.64,35948,0.121343
121,-2.651,0.616,0.7,36247,0.105533
122,1.183,0.613,0.59,36546,0.116976
123,18.55,0.611,0.68,36845,0.076753
124,13.12,0.608,0.69,37144,0.089491
125,2.014,0.606,0.73,37444,0.098312
126,-24.192,0.603,0.85,37744,0.141281
127,-6.713,0.601,0.79,38043,0.111473
128,-6.822,0.599,0.75,38343,0.114973
129,-12.821,0.596,0.91,38643,0.116606
130,-13.896,0.594,1.0,38943,0.118965
131,-2.862,0.592,0.84,39243,0.115287
132,-16.686,0.589,0.94,39542,0.128731
133,0.896,0.587,0.69,39841,0.107687
134,-2.461,0.584,0.92,40140,0.09805
135,3.102,0.582,0.88,40439,0.085477
136,-10.445,0.58,0.84,40739,0.129835
137,27.309,0.577,0.72,41038,0.098794
138,16.548,0.575,0.69,41338,0.086987
139,2.785,0.573,0.85,41637,0.100775
140,14.88,0.571,0.7,41936,0.086796
141,-1.341,0.568,0.98,42235,0.086838
142,3.316,0.566,0.82,42534,0.098078
143,-3.588,0.564,0.91,42834,0.104017
144,14.918,0.561,0.72,43133,0.095816
145,-5.795,0.559,0.81,43432,0.112063
146,-15.889,0.557,0.99,43731,0.123203
147,6.47,0.555,0.94,44031,0.09094
148,-4.776,0.553,1.0,44330,0.110047
149,10.5,0.55,0.88,44629,0.091521
150,25.644,0.548,0.71,44929,0.09418
151,11.294,0.546,0.88,45229,0.091738
152,15.627,0.544,0.93,45528,0.073071
153,2.918,0.542,0.87,45827,0.104346
154,13.047,0.539,0.8,46126,0.088947
155,1.405,0.537,0.98,46426,0.103916
156,-0.01,0.535,1.13,46725,0.085223
157,8.494,0.533,0.95,47024,0.108907
158,14.41,0.531,0.86,47323,0.082638
159,22.245,0.529,0.76,47622,0.090131
160,-6.783,0.527,1.05,47921,0.102103
161,17.488,0.525,0.91,48221,0.086937
162,5.93,0.522,0.85,48520,0.100534
163,5.824,0.52,1.05,48819,0.080012
164,7.633,0.518,1.0,49118,0.087372
165,-5.91,0.516,1.07,49417,0.109315
166,2.756,0.514,1.01,49716,0.102793
167,26.029,0.512,0.8,50015,0.093528
168,20.041,0.51,0.96,50314,0.075125
169,12.163,0.508,0.98,50613,0.082325
170,4.302,0.506,1.1,50912,0.089354
171,6.379,0.504,0.95,51211,0.089149
172,19.514,0.502,0.85,51511,0.087743
173,10.216,0.5,1.13,51810,0.080913
174,7.513,0.498,0.88,52109,0.097619
175,-0.515,0.496,1.19,52408,0.092366
176,4.727,0.494,1.05,52707,0.091286
177,12.153,0.492,1.06,53006,0.080331
178,-1.393,0.49,1.21,53305,0.099219
179,21.069,0.488,0.93,53604,0.089946
180,7.709,0.486,1.11,53903,0.088967
181,19.729,0.484,1.1,54202,0.076032
182,12.599,0.482,1.34,54501,0.085832
183,1.802,0.48,1.19,54800,0.092915
184,7.289,0.478,1.19,55099,0.097466
185,16.561,0.476,0.97,55398,0.091557
186,10.062,0.475,1.04,55697,0.087606
187,1.665,0.473,0.97,55996,0.095594
188,29.701,0.471,0.91,56295,0.101421
189,27.954,0.469,0.98,56594,0.097346
190,-1.566,0.467,1.28,56893,0.093433
191,5.218,0.465,1.19,57192,0.094284
192,13.857,0.463,1.46,57491,0.085506
193,26.482,0.461,0.99,57791,0.095568
194,23.427,0.46,0.96,58090,0.087962
195,15.002,0.458,1.16,58389,0.078038
196,1.431,0.456,1.27,58688,0.086311
197,6.139,0.454,1.24,58987,0.086401
198,16.059,0.452,1.05,59286,0.079356
199,17.97,0.45,1.08,59585,0.077791
200,22.331,0.449,1.47,59884,0.086143
201,26.134,0.447,1.11,60183,0.091687
202,12.844,0.445,1.17,60483,0.086374
203,18.574,0.443,1.09,60782,0.093292
204,24.749,0.441,1.43,61081,0.085349
205,3.185,0.44,1.32,61380,0.088153
206,18.007,0.438,1.2,61679,0.071493
207,7.421,0.436,1.38,61978,0.075053
208,8.982,0.434,1.27,62278,0.097385
209,29.101,0.433,1.07,62577,0.098541
210,17.359,0.431,1.23,62876,0.079903
211,13.11,0.429,1.49,63175,0.06873
212,28.59,0.428,1.26,63474,0.096952
213,18.768,0.426,1.31,63773,0.073318
214,18.917,0.424,1.26,64072,0.073871
215,16.128,0.422,1.41,64371,0.076392
216,9.343,0.421,1.59,64670,0.068162
217,31.398,0.419,1.04,64968,0.105268
218,8.137,0.417,1.36,65267,0.087463
219,24.362,0.416,1.11,65566,0.085933
220,13.708,0.414,1.38,65865,0.080072
221,15.973,0.412,1.46,66164,0.080931
222,27.718,0.411,1.14,66463,0.093234
223,31.169,0.409,1.09,66762,0.105838
224,23.23,0.407,1.21,67061,0.086957
225,19.648,0.406,1.32,67360,0.077752
226,12.841,0.404,1.48,67659,0.080161
227,15.699,0.403,1.78,67958,0.074498
228,30.68,0.401,1.17,68257,0.10398
229,20.666,0.399,1.49,68556,0.07756
230,13.732,0.398,2.38,68855,0.075878
231,14.07,0.396,2.29,69154,0.059553
232,21.948,0.395,1.94,69453,0.091419
233,30.532,0.393,1.48,69752,0.103492
234,8.416,0.391,1.5,70051,0.077422
235,31.972,0.39,1.24,70350,0.107417
236,25.909,0.388,1.58,70649,0.090362
237,33.768,0.387,1.4,70948,0.112608
238,28.246,0.385,1.3,71247,0.095459
239,13.914,0.384,1.38,71546,0.079719
240,11.237,0.382,1.71,71845,0.065667
241,9.405,0.381,1.54,72144,0.080453
242,23.04,0.379,1.47,72443,0.080136
243,26.547,0.378,1.45,72742,0.088723
244,17.551,0.376,1.64,73041,0.079871
245,22.779,0.375,1.41,73340,0.081829
246,28.25,0.373,1.29,73639,0.097684
247,11.183,0.372,1.78,73938,0.072697
248,23.553,0.37,1.34,74237,0.08456
249,14.356,0.369,1.61,74536,0.06986
250,28.865,0.367,1.45,74835,0.097461
251,34.068,0.366,1.33,75134,0.113961
252,21.946,0.364,1.53,75433,0.078167
253,10.865,0.363,1.55,75732,0.084352
254,28.611,0.361,1.58,76031,0.097481
255,34.698,0.36,1.23,76330,0.116052
256,30.34,0.358,1.28,76629,0.102702
257,15.121,0.357,1.66,76928,0.070041
258,16.545,0.356,1.69,77228,0.07315
259,15.67,0.354,1.53,77527,0.070168
260,22.19,0.353,1.48,77826,0.080712
261,19.282,0.351,1.7,78125,0.073094
262,16.275,0.35,1.62,78424,0.068284
263,21.619,0.349,1.49,78723,0.077183
264,24.933,0.347,1.7,79022,0.090862
265,22.074,0.346,1.52,79321,0.083839
266,30.913,0.344,1.49,79620,0.106104
267,22.332,0.343,1.92,79919,0.085439
268,19.692,0.342,1.61,80218,0.07423
269,20.625,0.34,1.58,80517,0.075293
270,18.542,0.339,1.56,80816,0.073359
271,15.851,0.338,1.9,81115,0.065167
272,19.536,0.336,1.61,81414,0.071163
273,16.742,0.335,1.67,81714,0.071062
274,35.836,0.333,1.54,82014,0.120403
275,37.157,0.332,1.34,82313,0.124578
276,16.108,0.331,1.61,82612,0.071456
277,26.517,0.329,1.72,82911,0.092015
278,14.099,0.328,1.72,83210,0.07412
279,26.822,0.327,1.52,83510,0.09125
280,30.427,0.326,1.83,83809,0.101823
281,17.526,0.324,4.08,84108,0.073153
282,26.97,0.323,3.87,84407,0.09289
283,25.791,0.322,3.66,84707,0.090592
284,24.966,0.32,4.04,85006,0.085271
285,38.658,0.319,3.3,85305,0.129914
286,18.136,0.318,4.12,85604,0.082105
287,32.33,0.317,3.58,85903,0.108507
288,22.922,0.315,3.95,86202,0.080134
289,37.478,0.314,3.17,86501,0.125639
290,36.448,0.313,3.45,86800,0.121865
291,17.59,0.312,4.37,87099,0.068196
292,24.63,0.31,3.68,87398,0.091749
293,38.052,0.309,3.25,87697,0.127379
294,20.809,0.308,4.77,87996,0.073967
295,22.472,0.307,4.02,88295,0.079608
296,31.272,0.305,3.88,88594,0.105195
297,36.128,0.304,3.48,88893,0.12082
298,10.403,0.303,3.87,89192,0.090156
299,23.425,0.302,4.27,89491,0.081537
300,37.472,0.3,3.31,89790,0.124958
301,37.289,0.299,3.57,90089,0.124685
302,32.52,0.298,3.17,90388,0.109232
303,24.214,0.297,4.53,90687,0.082308
304,23.45,0.296,4.5,90986,0.080706
305,18.88,0.295,4.7,91285,0.070093
306,23.604,0.293,4.39,91584,0.082405
307,21.949,0.292,4.54,91883,0.077318
308,32.955,0.291,3.7,92182,0.110907
309,36.795,0.29,3.36,92481,0.122815
310,19.794,0.289,4.47,92780,0.072149
311,23.52,0.288,4.48,93079,0.080802
312,28.868,0.286,3.93,93378,0.096641
313,38.937,0.285,3.46,93677,0.130181
314,30.296,0.284,4.29,93976,0.101409
315,32.793,0.283,4.17,94275,0.110397
316,17.925,0.282,4.75,94574,0.068738
317,20.471,0.281,4.8,94873,0.0733
318,37.635,0.28,3.58,95172,0.126166
319,39.195,0.278,4.36,95471,0.131044
320,27.755,0.277,4.93,95770,0.093024
321,24.714,0.276,4.39,96069,0.087194
322,30.338,0.275,3.95,96368,0.101523
323,15.247,0.274,5.01,96667,0.065162
324,29.097,0.273,4.19,96966,0.097471
325,38.032,0.272,3.8,97265,0.126831
326,20.016,0.271,4.77,97564,0.074416
327,25.907,0.27,4.47,97863,0.086792
328,32.637,0.269,4.19,98162,0.109201
329,34.012,0.267,4.02,98461,0.113771
330,39.828,0.266,3.56,98760,0.132968
331,37.04,0.265,3.88,99059,0.12385
332,31.082,0.264,4.45,99358,0.104253
333,32.237,0.263,4.46,99657,0.107848
334,39.734,0.262,3.95,99956,0.133164
