Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
145,23.472,0.559,2.45,43432,0.08851
146,22.174,0.557,2.87,43731,0.078413
147,32.851,0.555,2.45,44030,0.110943
148,33.429,0.553,2.02,44329,0.115108
149,27.365,0.55,2.7,44629,0.094067
150,20.042,0.548,3.22,44928,0.070308
151,35.347,0.546,2.17,45228,0.122769
152,22.472,0.544,2.87,45527,0.078615
153,36.71,0.542,1.82,45826,0.129687
154,35.094,0.539,1.96,46126,0.126892
155,33.632,0.537,2.26,46425,0.115224
156,25.084,0.535,2.44,46724,0.106026
157,33.428,0.533,2.19,47023,0.115448
158,34.372,0.531,2.28,47323,0.115642
159,35.819,0.529,2.2,47622,0.121431
160,40.591,0.527,1.81,47921,0.136297
161,28.088,0.525,2.47,48221,0.095486
162,31.721,0.522,2.35,48520,0.108407
163,37.711,0.52,1.98,48819,0.127372
164,31.698,0.518,2.19,49118,0.107662
165,24.619,0.516,2.61,49417,0.085427
166,39.671,0.514,1.87,49717,0.132627
167,19.144,0.512,3.06,50016,0.069366
168,34.459,0.51,2.18,50315,0.119626
169,25.291,0.508,2.88,50615,0.088352
170,28.663,0.506,2.49,50914,0.097004
171,24.563,0.504,2.89,51213,0.084985
172,23.565,0.502,3.39,51512,0.080974
173,38.021,0.5,2.13,51811,0.130313
174,22.692,0.498,3.27,52110,0.082983
175,23.619,0.496,3.01,52409,0.083194
176,39.622,0.494,2.11,52708,0.139402
177,39.512,0.492,1.94,53007,0.134433
178,26.696,0.49,2.73,53306,0.089408
179,43.33,0.488,2.01,53606,0.145158
180,35.971,0.486,2.49,53906,0.12063
181,35.71,0.484,2.57,54205,0.119587
182,37.479,0.482,2.27,54504,0.128058
183,20.343,0.48,3.5,54803,0.070706
184,22.335,0.478,3.54,55103,0.07541
185,18.18,0.476,3.45,55402,0.0708
186,39.198,0.475,1.95,55701,0.132588
187,35.879,0.473,2.1,56000,0.130057
188,28.703,0.471,2.98,56299,0.096545
189,25.001,0.469,3.17,56598,0.089926
190,26.853,0.467,3.24,56897,0.092681
191,37.718,0.465,2.35,57196,0.126387
192,37.139,0.463,2.3,57495,0.124846
193,21.115,0.461,3.77,57794,0.076182
194,33.376,0.46,2.86,58093,0.124886
195,21.26,0.458,3.27,58392,0.084129
196,20.244,0.456,3.2,58691,0.071819
197,27.146,0.454,3.29,58990,0.090917
198,29.157,0.452,3.08,59289,0.101966
199,33.408,0.45,2.9,59588,0.120775
200,33.613,0.449,2.84,59887,0.114785
201,22.211,0.447,3.52,60186,0.080315
202,14.781,0.445,3.29,60485,0.072204
203,39.057,0.443,2.58,60784,0.135158
204,24.289,0.441,3.4,61083,0.084506
205,20.625,0.44,3.3,61382,0.071778
206,34.749,0.438,2.63,61681,0.123028
207,26.264,0.436,3.59,61980,0.088516
208,24.962,0.434,3.24,62279,0.08448
209,28.7,0.433,3.15,62578,0.097335
210,37.274,0.431,2.54,62877,0.129082
211,35.726,0.429,2.67,63176,0.119494
212,30.943,0.428,3.5,63475,0.103373
213,29.365,0.426,3.04,63774,0.108921
214,18.025,0.424,3.87,64073,0.073319
215,32.02,0.422,2.85,64372,0.107638
216,24.298,0.421,3.22,64671,0.087019
217,26.7,0.419,3.29,64970,0.093564
218,42.05,0.417,2.46,65269,0.141887
219,41.024,0.416,2.46,65567,0.138553
220,23.089,0.414,3.82,65866,0.07914
221,32.417,0.412,3.32,66165,0.109583
222,33.488,0.411,2.84,66464,0.11551
223,21.979,0.409,3.74,66763,0.079249
224,38.951,0.407,2.58,67062,0.135096
225,22.157,0.406,3.64,67361,0.075653
226,22.678,0.404,3.28,67660,0.07857
227,41.68,0.403,2.04,67959,0.139313
228,39.848,0.401,1.32,68259,0.133545
229,36.707,0.399,1.13,68558,0.132083
230,24.268,0.398,1.68,68857,0.083184
231,37.947,0.396,1.31,69157,0.128482
232,29.459,0.395,1.46,69456,0.098784
233,24.358,0.393,3.92,69755,0.08515
234,34.748,0.391,3.2,70054,0.117797
235,38.412,0.39,2.11,70353,0.128699
236,35.28,0.388,1.5,70652,0.119529
237,29.046,0.387,1.63,70951,0.098202
238,34.822,0.385,1.47,71250,0.119128
239,36.773,0.384,1.39,71549,0.125572
