Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
1,35.70542811565536,300,38.43,-0.062307,461.464219,0.015172,0.0,1.0,-16.807924
2,-38.79378222787314,300,39.75,-0.010104,92.70069,0.010243,0.0,1.0,-18.016693
3,-65.6738509806692,300,40.3,-0.000213,114.46705,0.01,0.0,1.0,-23.401894
4,-53.813915377551744,300,42.13,0.000396,69.584723,0.01,0.0,1.0,-16.139658
5,-59.12944332603427,300,42.89,0.000977,87.838391,0.01,-0.0,1.0,-19.695757
6,-54.874660650797,300,42.89,-0.001434,66.105681,0.01,0.0,1.0,-15.872384
7,-51.931846436391886,300,44.84,-0.003606,54.695346,0.01,0.0,1.0,-13.557133
8,-61.235790303972145,300,42.79,-0.004534,92.290694,0.01,0.0,1.0,-19.97149
9,-72.53974358974362,300,44.87,0.005138,132.73302,0.01,0.0,1.0,-25.9607
10,-54.570122259895,300,48.02,-0.003372,61.975349,0.01,-0.0,1.0,-15.177415
11,-55.34067157589884,300,47.87,-0.002793,77.614011,0.01,-0.0,1.0,-17.85739
12,-54.08066092157001,300,47.89,-9.4e-05,57.541911,0.01,-0.0,1.0,-14.544763
13,-74.98203067975794,300,47.95,-0.002249,152.568341,0.01,-0.0,1.0,-26.859137
14,-61.57964934896754,300,48.18,0.002398,95.993674,0.01,-0.0,1.0,-21.114586
15,-67.32129099856373,300,48.33,0.0033,131.632337,0.01,-0.0,1.0,-24.275757
16,-73.0354665536484,300,48.15,0.001618,141.656945,0.01,0.0,1.0,-26.271557
17,-56.37567869840599,300,48.31,-0.001781,66.687117,0.01,0.0,1.0,-16.092077
18,-68.33619057709966,300,48.36,-0.00111,125.306659,0.01,-0.0,1.0,-24.156569
19,-55.16729915707193,300,48.53,0.00385,71.411529,0.01,-0.0,1.0,-16.910646
20,-63.464950789950805,300,48.8,0.003372,100.016986,0.01,0.0,1.0,-21.296986
21,-59.45469732287916,300,48.59,-0.002826,78.817689,0.01,0.0,1.0,-18.413555
22,-56.215725436179966,300,48.43,-0.002114,70.602364,0.01,0.0,1.0,-16.741781
23,-51.01478243978242,300,44.09,0.000256,53.957595,0.01,0.0,1.0,-13.511189
24,-58.67155058745967,300,43.09,-0.001601,88.150549,0.01,-0.0,1.0,-19.60795
25,-67.51955157636974,300,51.95,-0.001688,132.064939,0.01,0.0,1.0,-24.392462
26,-61.21595500459139,300,77.35,-0.003465,92.297351,0.01,0.0,1.0,-19.95288
27,-56.17882260836804,300,80.95,-0.000847,68.309713,0.01,-0.0,1.0,-16.439777
28,-66.14095176708813,300,74.22,0.001371,116.735915,0.01,0.0,1.0,-23.390549
29,-69.95975194838827,300,76.67,-0.000809,145.816454,0.01,-0.0,1.0,-25.681152
30,-55.20655888724071,300,74.03,-0.003595,71.788038,0.01,0.0,1.0,-16.756512
31,-53.079039521085,300,70.29,-0.005098,57.517808,0.01,0.0,1.0,-14.198654
32,-71.13778960938058,300,70.33,-0.002469,132.904489,0.01,0.0,1.0,-25.709047
33,-67.36454521909064,300,72.47,-0.004135,114.186747,0.01,-0.0,1.0,-23.293892
34,-60.47948659085024,300,46.35,-0.001137,82.028928,0.01,-0.0,1.0,-18.907509
35,-50.870838336747404,300,40.84,-0.006558,62.398291,0.01,0.0,1.0,-14.427806
36,-74.45985672576582,300,42.5,-0.00109,146.046677,0.01,0.0,1.0,-26.818443
37,-48.95181388476845,300,43.19,-0.003158,52.688789,0.01,-0.0,1.0,-12.749984
38,-50.24824968802244,300,43.4,0.001279,59.458724,0.01,-0.0,1.0,-14.268797
39,-72.44062301335026,300,44.53,-0.001516,130.028175,0.01,0.0,1.0,-25.429487
40,-56.4340823738551,300,49.07,0.000936,68.097026,0.01,-0.0,1.0,-16.330626
41,-76.15639907230816,300,48.61,-0.00049,143.665044,0.01,0.0,1.0,-27.431046
42,-50.71385003885006,300,48.93,0.000309,57.419989,0.01,0.0,1.0,-14.031828
43,-75.13197887970618,300,49.4,-0.005312,142.624633,0.01,0.0,1.0,-26.92431
44,-69.94302406347863,300,49.02,-0.000404,117.573995,0.01,-0.0,1.0,-24.030146
45,-57.7350777589414,300,48.91,0.0026,70.079914,0.01,0.0,1.0,-16.97956
46,-55.44311383061381,300,49.01,-0.001817,66.733015,0.01,0.0,1.0,-15.903207
47,-58.8259756657484,300,48.82,-0.004147,84.288392,0.01,0.0,1.0,-18.5656
48,-68.55942878670152,300,49.05,-0.005371,140.249886,0.01,-0.0,1.0,-24.901306
49,-70.57437192437196,300,49.14,0.002173,131.71566,0.01,0.0,1.0,-25.416262
50,-61.65008123189942,300,49.09,0.000977,98.635407,0.01,0.0,1.0,-21.103788
51,-72.1074951143133,300,49.09,-0.004449,135.049001,0.01,0.0,1.0,-26.160484
52,-52.07534376398012,300,48.84,-0.00152,56.653622,0.01,0.0,1.0,-13.916806
53,-61.95058628240448,300,49.51,0.002995,98.652015,0.01,0.0,1.0,-21.11757
54,-58.440135327635325,300,49.23,-0.000784,72.442435,0.01,0.0,1.0,-17.63956
55,-49.95222534199807,300,49.78,-0.001991,56.554337,0.01,-0.0,1.0,-13.385036
56,-71.82087218337222,300,49.34,-0.005644,133.630089,0.01,0.0,1.0,-26.107471
57,-68.93912934708389,300,48.91,-0.004771,126.342965,0.01,0.0,1.0,-24.50052
58,-57.01986178804359,300,48.99,4e-05,76.077353,0.01,0.0,1.0,-17.650434
59,-61.16770296202111,300,50.18,0.005026,95.524859,0.01,-0.0,1.0,-20.723993
60,-53.149995290904386,300,53.93,-0.005025,71.571131,0.01,0.0,1.0,-16.44706
