Episode,TotalReward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,-45.38,-14.59,-28.64554786682129,274.0826110839844,1.9147355556488037,0,1.36
2,-32.69,-11.23,-21.00653648376465,170.31532287597656,1.9085471630096436,0,1.22
3,-13.83,-6.06,-10.828588485717773,73.87870025634766,1.9290488958358765,0,1.3
4,-35.12,-11.98,-22.206058502197266,185.5841064453125,1.9287221431732178,0,1.15
5,-39.74,-13.25,-24.585981369018555,216.67364501953125,1.926608681678772,0,1.13
6,-35.95,-12.14,-21.822668075561523,176.90573120117188,1.923065185546875,0,1.06
7,-17.54,-7.25,-12.248892784118652,86.2780990600586,1.9237743616104126,0,1.16
8,-32.16,-11.15,-16.84177589416504,130.75149536132812,1.8286895751953125,0,1.35
9,-29.23,-10.28,-17.084457397460938,122.26419067382812,1.9191877841949463,0,0.98
10,-42.9,-14.08,-23.992258071899414,219.61155700683594,1.9142050743103027,0,1.24
11,-32.36,-11.13,-18.106475830078125,138.43002319335938,1.9175209999084473,0,1.01
12,-35.23,-11.98,-19.145782470703125,153.94461059570312,1.912011981010437,0,1.46
13,-25.4,-9.33,-13.435049057006836,100.46881103515625,1.9116096496582031,0,0.99
14,-44.33,-14.47,-22.96342658996582,207.62576293945312,1.905306339263916,0,1.13
15,-41.11,-13.73,-20.903892517089844,187.66427612304688,1.9074856042861938,0,1.16
16,-32.74,-11.38,-15.733429908752441,130.37557983398438,1.9093048572540283,0,1.36
17,-19.55,-7.82,-8.539772033691406,73.24988555908203,1.911723256111145,0,1.11
18,-16.04,-6.98,-7.009279251098633,73.60209655761719,1.9031798839569092,0,1.0
19,-30.45,-10.74,-13.322372436523438,108.62739562988281,1.9040883779525757,0,1.05
20,-46.95,-15.28,-20.652881622314453,189.08572387695312,1.8931812047958374,0,1.23
21,-23.45,-8.74,-8.167876243591309,66.27935028076172,1.9093737602233887,0,1.48
22,-44.39,-14.48,-18.084346771240234,156.83901977539062,1.8946231603622437,0,1.15
23,-26.56,-9.71,-9.417545318603516,80.37113189697266,1.905045747756958,0,1.1
24,-18.07,-7.25,-4.189304828643799,47.95406723022461,1.909244179725647,0,1.04
25,-43.17,-14.3,-16.548738479614258,149.0656280517578,1.8781119585037231,0,1.35
