Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,-47.66,0.996,0.25,300,0.209016
2,-40.95,0.992,0.2,600,0.194858
3,-32.523,0.988,0.12,900,0.173816
4,-55.62,0.984,0.33,1200,0.236021
5,-46.88,0.98,0.3,1500,0.208358
6,-53.077,0.976,0.32,1800,0.227189
7,-28.55,0.972,0.15,2100,0.168877
8,-34.896,0.968,0.12,2399,0.178137
9,-44.328,0.965,0.28,2699,0.202183
10,-29.973,0.961,0.21,2999,0.165092
11,-38.223,0.957,0.36,3299,0.182776
12,-24.449,0.953,0.19,3599,0.154446
13,-47.808,0.949,0.34,3898,0.206067
14,-23.876,0.945,0.29,4197,0.149909
15,-35.438,0.942,0.25,4497,0.17548
16,-38.217,0.938,0.29,4796,0.195414
17,-50.501,0.934,0.37,5096,0.215857
18,-27.824,0.93,0.2,5396,0.168932
19,-41.327,0.927,0.29,5695,0.199685
20,-21.861,0.923,0.14,5995,0.147237
21,-29.638,0.919,0.24,6295,0.167176
22,-38.78,0.916,0.24,6595,0.187121
23,-38.702,0.912,0.36,6895,0.19267
24,-28.105,0.908,0.36,7195,0.165466
25,-48.937,0.905,0.42,7495,0.212049
26,-16.67,0.901,0.39,7795,0.138169
27,-23.517,0.897,0.37,8095,0.14461
28,-25.439,0.894,0.29,8395,0.152758
29,-29.584,0.89,0.31,8695,0.16499
30,-26.504,0.887,0.28,8995,0.162835
31,-41.822,0.883,0.49,9294,0.189268
32,-22.51,0.88,0.33,9594,0.15068
33,-39.734,0.876,0.45,9894,0.187203
34,-22.804,0.873,0.29,10194,0.154843
35,-37.857,0.869,0.63,10493,0.18715
36,-38.333,0.866,0.65,10792,0.187203
37,-30.823,0.862,0.41,11092,0.163283
38,-10.783,0.859,0.24,11391,0.130641
39,-31.106,0.855,0.5,11690,0.166809
40,-46.51,0.852,0.54,11989,0.204719
41,-22.56,0.848,0.36,12289,0.151026
42,-16.096,0.845,0.3,12589,0.146176
43,-30.964,0.842,0.61,12889,0.169372
44,-49.11,0.838,0.48,13188,0.2025
45,-33.812,0.835,0.54,13488,0.176719
46,-37.818,0.832,0.62,13787,0.186834
47,-20.39,0.828,0.44,14087,0.146786
48,-16.857,0.825,0.44,14387,0.145203
49,-24.488,0.822,0.63,14687,0.15169
50,-30.99,0.818,0.66,14986,0.168797
51,-9.682,0.815,0.4,15285,0.12896
52,-29.493,0.812,0.49,15584,0.162586
53,-21.076,0.809,0.35,15884,0.149048
54,-25.472,0.805,0.48,16184,0.158598
55,-42.08,0.802,0.75,16484,0.196684
56,-9.152,0.799,0.37,16784,0.122935
57,-36.083,0.796,0.57,17083,0.178103
58,-38.721,0.793,0.75,17383,0.187735
59,-26.779,0.789,0.55,17683,0.162939
60,-12.563,0.786,0.61,17983,0.135562
61,-9.225,0.783,0.4,18283,0.128536
62,-21.08,0.78,0.5,18583,0.1491
63,-13.619,0.777,0.64,18883,0.132572
64,-6.913,0.774,0.42,19182,0.122176
65,-3.67,0.771,0.45,19482,0.11469
66,-31.629,0.768,0.66,19782,0.171346
67,-17.022,0.764,0.79,20082,0.130414
68,-11.204,0.761,0.76,20382,0.1262
69,-4.398,0.758,0.61,20682,0.113945
70,-29.579,0.755,0.81,20981,0.168275
71,-30.993,0.752,0.78,21280,0.163712
72,-23.384,0.749,0.84,21580,0.156151
73,-21.6,0.746,0.89,21880,0.143455
74,-12.566,0.743,0.73,22179,0.128262
75,-16.313,0.74,0.7,22478,0.138254
76,-0.318,0.737,0.68,22777,0.101585
77,-17.619,0.734,0.89,23077,0.132662
78,-21.937,0.732,0.75,23376,0.143453
79,-14.445,0.729,0.74,23675,0.134814
80,-15.849,0.726,0.85,23974,0.12213
81,-8.96,0.723,0.57,24274,0.120452
82,-22.938,0.72,0.93,24574,0.148367
83,-16.277,0.717,0.65,24873,0.133735
84,1.558,0.714,0.53,25173,0.098239
85,-9.022,0.711,0.65,25472,0.125276
86,-2.561,0.708,0.52,25772,0.11702
87,-23.442,0.706,0.78,26071,0.145881
88,-16.999,0.703,0.8,26371,0.132815
89,-7.797,0.7,0.69,26671,0.108719
90,-6.456,0.697,0.49,26970,0.126512
91,-22.981,0.694,0.85,27270,0.152565
92,-9.41,0.692,0.75,27570,0.128572
93,-14.307,0.689,0.77,27869,0.12739
94,-3.76,0.686,0.58,28168,0.115264
95,-7.303,0.683,0.74,28468,0.117701
96,-7.72,0.681,0.78,28768,0.116846
97,-6.301,0.678,0.53,29067,0.121929
98,-7.633,0.675,0.65,29366,0.117813
99,-25.792,0.672,0.77,29664,0.163614
100,-10.457,0.67,0.74,29963,0.122385
101,-10.833,0.667,0.86,30262,0.118101
102,-15.753,0.664,0.86,30562,0.134511
103,-0.491,0.662,0.88,30861,0.096497
