Episode,Reward,Loss,Duration_s,Epsilon
146,15.85197164,0.000875586,51.06,0.481
147,21.61775771,0.008141432,51.29,0.479
148,18.48853953,0.001479137,50.96,0.476
149,19.23682895,0.001502478,51.16,0.474
150,32.56097631,0.002035765,50.7,0.471
151,26.67041128,0.001097262,51.01,0.469
152,17.42900244,0.001185135,51.85,0.467
153,18.88339573,0.00275276,51.53,0.464
154,26.55621012,0.000652222,51.32,0.462
155,24.55909032,0.004568811,51.17,0.46
156,30.94230828,0.002235438,51.45,0.458
157,27.64154423,0.008017549,51.8,0.455
158,11.79635133,0.001755815,51.75,0.453
159,17.97329295,0.00162634,52.19,0.451
160,17.21062343,0.000640238,52.04,0.448
161,18.21143045,0.001777534,56.23,0.446
162,24.28742907,0.000674613,53.23,0.444
163,27.05862618,0.000760252,52.48,0.442
164,25.82686304,0.002266792,53.26,0.44
165,24.9165095,0.000895488,52.66,0.437
166,28.15052801,0.007370718,53.05,0.435
167,27.39144269,0.00055111,52.48,0.433
168,23.32650161,0.00247757,52.95,0.431
169,20.94176203,0.001264876,53.3,0.429
170,35.80426173,0.000909209,53.38,0.427
171,37.4308902,0.002970002,52.37,0.424
172,10.79846601,0.000772841,53.78,0.422
173,24.42619788,0.002947265,52.69,0.42
174,21.42824663,0.002163844,52.79,0.418
175,12.69923507,0.002933707,52.84,0.416
176,30.44228268,0.000629919,52.76,0.414
177,15.51728091,0.002390678,53.23,0.412
178,27.41515976,0.001239324,52.96,0.41
179,26.61596148,0.001004861,53.09,0.408
180,14.94973364,0.004151251,52.82,0.406
181,27.49487621,0.000657798,52.66,0.404
182,27.09087936,0.001095444,52.61,0.402
183,23.50563502,0.001161989,52.84,0.4
184,25.93547627,0.000852335,52.76,0.398
185,28.93790969,0.003227299,53.13,0.396
186,20.83047668,0.001074698,53.05,0.394
187,38.17477838,0.00069899,52.88,0.392
188,31.65001825,0.016441256,52.58,0.39
189,21.83368475,0.002736833,52.73,0.388
190,22.64353382,0.001261011,53.18,0.386
191,31.71631054,0.002769866,52.78,0.384
192,22.95471204,0.001543487,53.47,0.382
193,34.42157619,0.008290591,52.84,0.38
194,24.92225077,0.002280657,53.15,0.378
195,28.23473164,0.001045965,52.92,0.376
196,33.53377599,0.001157793,52.74,0.374
197,24.18271262,0.000558168,54.01,0.373
198,33.41013515,0.001556507,53.07,0.371
199,31.47871489,0.000935315,53.22,0.369
200,33.29359534,0.000453526,52.68,0.367
201,33.48551629,0.00388539,52.61,0.365
202,30.14725842,0.007416756,52.89,0.363
203,33.53042193,0.002848986,53.1,0.361
204,32.8633288,0.001991994,52.94,0.36
205,27.36182807,0.000339882,53.72,0.358
206,31.86072791,0.00107295,52.97,0.356
207,38.71547615,0.001296272,53.01,0.354
208,30.01969932,0.000723501,52.85,0.353
209,29.32186727,0.002538609,52.82,0.351
210,26.43073332,0.001020863,53.47,0.349
211,33.17303984,0.000477287,53.26,0.347
212,38.05187275,0.001306855,53.67,0.346
213,31.13813632,0.022718946,53.46,0.344
214,25.14200572,0.002087782,52.75,0.342
215,25.59355766,0.000429739,53.85,0.34
216,29.35551877,0.001891775,52.9,0.339
217,36.69734201,0.001116781,53.08,0.337
218,18.25521326,0.007067208,53.12,0.335
219,21.09911145,0.000799172,52.87,0.334
220,33.25259089,0.001841392,52.59,0.332
221,39.11931553,0.000619751,52.59,0.33
222,20.14549546,0.000899732,53.48,0.329
223,23.65711868,0.001308679,52.39,0.327
224,23.1276421,0.000491851,52.7,0.325
225,27.94190036,0.001379416,53.21,0.324
226,32.21410727,0.000331365,52.71,0.322
227,17.8285071,0.000887856,52.85,0.321
228,29.46039621,0.000425568,52.94,0.319
229,37.31116997,0.001178279,57.25,0.317
230,21.76485808,0.002775096,53.59,0.316
231,15.19397383,0.001094529,53.22,0.314
232,28.33058852,0.007178625,53.95,0.313
233,22.77757323,0.001673704,52.99,0.311
234,37.77895387,0.000401001,53.05,0.309
235,31.44695586,0.000989704,52.99,0.308
236,22.66097602,0.002033814,53.18,0.306
237,32.30177798,0.003072173,53.09,0.305
238,26.08435285,0.010390876,53.1,0.303
239,25.90323132,0.000990921,78.85,0.302
240,35.59855342,0.001302033,93.12,0.3
241,29.30955505,0.000589561,102.79,0.299
242,24.86033941,0.000729072,99.29,0.297
243,34.84215553,0.000501928,80,0.296
244,32.29166608,0.001193301,81.8,0.294
245,27.94835211,0.000790107,88.86,0.293
246,27.54487179,0.000975743,84.36,0.291
247,25.43830761,0.002773179,80.4,0.29
248,29.64522292,0.000663731,83.27,0.288
249,25.13851334,0.002509607,77.79,0.287
250,32.25948942,0.000382758,101.29,0.286
251,26.71795431,0.003190387,167.44,0.284
252,26.8308381,0.001147518,180.47,0.283
253,25.20680435,0.000927409,172.08,0.281
254,23.9211253,0.001977981,99.41,0.28
255,33.88508365,0.000299249,46.99,0.279
256,20.24052765,0.000537881,46.65,0.277
257,35.22674443,0.000723823,45.98,0.276
258,25.07939211,0.003009507,46.42,0.274
259,-6.384105036,0.001585739,48.27,0.273
260,23.14952556,0.004955489,53.22,0.272
261,37.87633797,0.000748011,53.22,0.27
262,33.58437522,0.00069775,52.47,0.269
263,30.91523598,0.000614556,52.83,0.268
264,29.29717454,0.001342801,53.17,0.266
265,29.52176721,0.000317822,53.16,0.265
266,30.07609192,0.000443956,53.24,0.264
267,31.79553048,0.054626297,53.21,0.262
268,27.96159291,0.003239019,59.24,0.261
269,33.52328383,0.003111891,87.19,0.26
270,38.75750895,0.001515056,77.25,0.258
271,35.75989499,0.000633738,83.38,0.257
272,36.02750082,0.001549925,80.19,0.256
273,38.07809858,0.000372843,106.3,0.255
274,32.82930706,0.02253804,112.07,0.253
275,29.60418727,0.003033196,84.7,0.252
276,-0.402770714,0.001780227,88.27,0.251
277,21.92430453,0.001409945,63.55,0.249
278,20.55133885,0.002457831,43.33,0.248
279,29.34361594,0.000349429,45.91,0.247
280,22.14313855,0.00187189,45.58,0.246
281,35.02791846,0.001958517,46.07,0.245
282,33.44540569,0.001910513,47.59,0.243
283,21.38497269,0.002623567,53.39,0.242
284,18.01154847,0.016160265,52.49,0.241
285,30.99385993,0.000380073,53.86,0.24
286,25.80855231,0.011479347,52.88,0.238
287,36.58889507,0.001825579,52.44,0.237
288,32.05341292,0.001382848,53.18,0.236
289,25.33949401,0.000308043,53.52,0.235
290,28.99806221,0.000531984,52.91,0.234
291,21.28823462,0.049334791,53.55,0.233
292,2.879735584,0.000832758,52.99,0.231
293,25.72344835,0.001870249,53.33,0.23
294,29.76301035,0.001693388,53.16,0.229
295,31.87114325,0.001092292,53.09,0.228
296,30.67779809,0.002587646,52.75,0.227
297,24.04645435,0.0011885,52.89,0.226
298,27.53507393,0.001214666,52.83,0.225
299,28.88837589,0.000834826,52.74,0.223
300,32.90327459,0.002708614,53.15,0.222
301,33.83932301,0.001449495,53.12,0.221
302,24.79331603,0.001161896,52.94,0.22
303,28.70296114,0.00088113,52.76,0.219
304,26.58493501,0.008924683,53.01,0.218
305,33.42920522,0.002618207,53,0.217
306,21.44351469,0.00483588,53.27,0.216
307,27.17516129,0.001927999,52.91,0.215
308,25.94751742,0.000455487,53.49,0.214
309,24.7803151,0.000429262,52.6,0.212
310,32.17357991,0.00214652,53.11,0.211
311,35.36752431,0.000409917,54.01,0.21
312,28.39995438,0.001267283,53.11,0.209
313,30.26728415,0.001540342,52.96,0.208
314,20.71941325,0.000854999,53.52,0.207
315,18.44693055,0.000571924,53.24,0.206
316,33.57309605,0.000345013,53.23,0.205
317,34.10037643,0.000362821,53.17,0.204
318,34.87071884,0.000991434,52.86,0.203
319,26.81485749,0.001120944,53.19,0.202
320,30.5056877,0.00149318,52.93,0.201
321,25.43849627,0.000631842,53.07,0.2
322,30.32835788,0.000677258,53.09,0.199
323,30.81519272,0.000589667,53.22,0.198
324,36.27100051,0.000694807,52.76,0.197
325,35.38756446,0.000886384,53.22,0.196
326,30.20628929,0.000772703,53.12,0.195
327,39.56256475,0.000756425,53.32,0.194
328,26.38270173,0.000852514,53.32,0.193
329,30.00717078,0.000320389,52.93,0.192
330,39.73624179,0.010585105,53.21,0.191
331,28.57182489,0.001438975,52.86,0.19
332,34.4348479,0.000509986,53.67,0.189
333,36.60778443,0.001011878,123.34,0.188
334,27.72156148,0.000530989,146.7,0.187
335,35.3142197,0.000403648,140.29,0.187
336,23.85397624,0.000725497,144.92,0.186
337,35.37831344,0.002403706,168.3,0.185
338,38.06025435,0.000886095,145.75,0.184
339,38.22411204,0.001854466,144.32,0.183
340,22.41772356,0.001307877,146.47,0.182
341,28.22035919,0.000420699,142.69,0.181
342,34.5275435,0.000947856,141.4,0.18
343,31.02010283,0.014861864,141.25,0.179
344,36.15015658,0.02382165,141.05,0.178
345,35.96011749,0.001941707,140.51,0.177
346,20.41199966,0.000471478,141.64,0.177
347,38.52588413,0.000908926,140.89,0.176
348,33.915955,0.001684685,140.37,0.175
349,30.68020208,0.001088936,141.79,0.174
350,26.1018648,0.000449953,142.43,0.173
351,33.93253779,0.00055951,154.66,0.172
352,20.14283128,0.000795811,136.83,0.171
353,29.48705146,0.001053597,143.91,0.17
354,28.18007611,0.000539632,140.88,0.17
355,31.81000712,0.000318815,119.54,0.169
356,30.47970792,0.000618475,55.89,0.168
357,21.35669898,0.00029146,129.01,0.167
358,36.68904164,0.000227093,143.34,0.166
359,31.80068046,0.001682393,143.86,0.165
360,36.11334411,0.000580939,153.49,0.165
361,38.29177556,0.000483816,146.31,0.164
362,32.59873943,0.00063318,147.57,0.163
363,37.43802771,0.000320347,146.71,0.162
364,37.09239363,0.016736714,148.07,0.161
365,34.23852217,0.000810197,153.48,0.16
366,24.10974253,0.001267665,153.09,0.16
367,39.088883,0.002043305,146.42,0.159
368,39.09937163,0.000375705,146.74,0.158
369,37.52921405,0.00020169,148.36,0.157
370,26.64264086,0.00127164,144.99,0.157
371,27.80667161,0.002285733,150.36,0.156
372,42.05103777,0.000462564,142.19,0.155
373,31.00200549,0.000739883,148.56,0.154
374,36.62575816,0.001910483,146.41,0.153
375,23.74363419,0.000808201,148.92,0.153
376,35.17781663,0.000325057,139.12,0.152
377,26.04745709,0.0007169,98.88,0.151
378,38.96949683,0.000586749,96.71,0.15
379,27.44309411,0.000497957,86.63,0.15
380,31.94998882,0.000594537,89.96,0.149
381,27.56871189,0.000369287,80.1,0.148
382,27.09776553,0.010403764,77.37,0.147
383,36.82279438,0.002108012,77.09,0.147
384,40.83045814,0.001194631,76.41,0.146
385,32.95530715,0.003428556,88.1,0.145
386,36.46033028,0.000961628,80.35,0.144
387,31.16761172,0.00064761,76.65,0.144
388,31.87015257,0.000570068,75.95,0.143
389,38.71480805,0.000580358,78.53,0.142
390,35.41651774,0.000281196,81.19,0.142
391,43.40104689,0.000430353,85.19,0.141
392,34.25478297,0.000366621,77.96,0.14
393,27.14298933,0.000256449,81.56,0.139
394,24.84605702,0.000340363,78.57,0.139
395,35.19146388,0.000603702,86.06,0.138
396,28.79970774,0.000781588,82.87,0.137
397,35.72671735,0.000323016,82.72,0.137
398,31.96683796,0.000637566,85.29,0.136
399,36.16436804,0.010697652,84.1,0.135
400,32.6559467,0.000259417,79.54,0.135
401,33.70037938,0.000416865,77.51,0.134
402,37.33858103,0.000542017,82.87,0.133
403,30.98412358,0.000361649,82.76,0.133
404,32.59522998,0.000269629,86.87,0.132
405,30.49588749,0.00024794,81.98,0.131
406,25.47801912,0.002218383,84.81,0.131
407,24.5159503,0.000683828,84.61,0.13
408,23.52010077,0.000185638,97.04,0.129
409,43.45241694,0.002994043,82.82,0.129
410,38.36452579,0.000836725,90.71,0.128
411,30.98371183,0.000885058,86.97,0.127
412,36.56064609,0.001818857,80.45,0.127
413,41.67478014,0.001717329,83.61,0.126
414,26.48453092,0.001230303,93.46,0.126
415,38.44220762,0.000669685,84.65,0.125
