Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,19.478,0.996,0.25,300,0.07134
2,20.721,0.992,0.27,600,0.075429
3,26.995,0.988,0.13,900,0.098502
4,24.695,0.984,0.19,1200,0.088798
5,29.402,0.98,0.06,1500,0.110338
6,14.157,0.976,0.29,1800,0.05951
7,32.114,0.972,0.07,2100,0.112343
8,1.897,0.968,0.4,2399,0.058527
9,19.973,0.965,0.4,2699,0.074176
10,29.815,0.961,0.08,2998,0.109351
11,28.886,0.957,0.13,3298,0.104195
12,30.179,0.953,0.11,3598,0.109873
13,30.764,0.949,0.13,3897,0.109421
14,23.421,0.945,0.3,4197,0.087055
15,13.61,0.942,0.4,4497,0.055082
16,29.995,0.938,0.17,4797,0.103546
17,15.48,0.934,0.34,5096,0.056667
18,34.126,0.93,0.09,5395,0.115173
19,17.915,0.927,0.31,5695,0.069365
20,34.651,0.923,0.09,5995,0.117136
21,23.828,0.919,0.18,6295,0.087915
22,25.327,0.916,0.3,6595,0.095763
23,34.247,0.912,0.15,6894,0.117229
24,23.714,0.908,0.23,7194,0.09297
25,33.379,0.905,0.13,7493,0.114574
26,26.993,0.901,0.3,7793,0.099273
27,25.029,0.897,0.28,8093,0.085769
28,31.987,0.894,0.15,8393,0.110355
29,23.756,0.89,0.33,8693,0.087164
30,7.912,0.887,0.6,8992,0.05061
31,20.402,0.883,0.48,9292,0.07203
32,33.74,0.88,0.2,9592,0.116177
33,19.213,0.876,0.43,9892,0.066855
34,25.772,0.873,0.4,10192,0.096663
35,13.575,0.869,0.56,10491,0.074363
36,21.001,0.866,0.46,10790,0.080575
37,32.867,0.862,0.31,11090,0.114887
38,19.066,0.859,0.46,11390,0.068723
39,26.274,0.855,0.38,11690,0.092395
40,31.408,0.852,0.28,11990,0.109885
41,19.67,0.848,0.43,12290,0.077464
42,16.353,0.845,0.34,12590,0.065945
43,15.938,0.842,0.43,12889,0.059539
44,28.368,0.838,0.26,13189,0.096516
45,30.845,0.835,0.23,13488,0.104664
46,16.99,0.832,0.45,13788,0.067848
47,26.683,0.828,0.31,14087,0.090629
48,20.417,0.825,0.44,14387,0.070261
49,29.808,0.822,0.28,14687,0.102371
50,20.158,0.818,0.36,14987,0.07211
51,25.623,0.815,0.36,15287,0.096083
52,14.198,0.812,0.47,15587,0.066749
53,28.186,0.809,0.25,15887,0.103015
54,26.472,0.805,0.37,16187,0.094755
55,23.044,0.802,0.43,16486,0.079626
56,17.193,0.799,0.51,16786,0.062455
57,27.013,0.796,0.4,17085,0.09327
58,28.85,0.793,0.24,17385,0.105833
59,34.242,0.789,0.21,17685,0.118031
60,23.375,0.786,0.35,17985,0.088122
61,21.123,0.783,0.37,18285,0.091768
62,22.493,0.78,0.42,18584,0.077451
63,28.319,0.777,0.4,18883,0.097266
64,34.965,0.774,0.23,19182,0.118896
65,35.664,0.771,0.29,19481,0.119943
66,21.451,0.768,0.51,19781,0.079015
67,30.352,0.764,0.34,20080,0.105111
68,16.025,0.761,0.58,20380,0.061805
69,19.649,0.758,0.51,20680,0.074709
70,25.777,0.755,0.37,20980,0.098814
71,29.145,0.752,0.39,21280,0.107754
72,28.119,0.749,0.44,21580,0.100375
73,34.83,0.746,0.27,21880,0.120468
74,35.486,0.743,0.33,22180,0.120139
75,35.373,0.74,0.27,22479,0.121556
76,33.284,0.737,0.38,22779,0.117619
77,23.121,0.734,0.49,23079,0.084935
78,33.518,0.732,0.3,23378,0.116456
79,18.297,0.729,0.6,23678,0.066351
80,24.827,0.726,0.53,23977,0.083363
