Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,10.05,1.36,2.301276207,8.371606827,1.906870723,0,4.93
2,19.4,4.24,7.420045853,19.49949455,1.923457384,0,4.24
3,14.67,2.66,4.376024723,12.39721394,1.93299377,0,4.23
4,17.13,3.6,5.965074062,15.05940151,1.932416439,0,3.76
5,25.56,5.72,9.18590641,30.41970444,1.93008399,0,3.84
6,19.52,4.09,5.04144907,14.8367939,1.923812866,0,4.31
7,27.21,6.28,10.40381908,36.64440918,1.926912069,0,3.59
8,23.45,5.11,7.396273613,23.45815849,1.926307201,0,4.11
9,29.66,6.96,8.954406738,42.23094559,1.895703316,0,3.37
10,24.2,5.4,7.111589432,19.86125183,1.925607562,0,4.1
11,14.67,2.64,2.155403376,7.456682205,1.900488853,0,4.08
12,28.61,6.49,7.088260174,24.61532784,1.921344757,0,3.67
13,33.58,7.95,10.20024776,39.22216415,1.91037333,0,3.08
14,13.03,2.35,1.035751224,4.915677071,1.920038104,0,4.4
15,21.43,4.88,4.970014572,11.26386452,1.923874974,0,3.81
16,21.9,4.81,3.524952173,9.279049873,1.922748446,0,3.91
17,13.02,2.28,-0.970863283,4.641758919,1.914455533,0,4.59
18,16.39,3.26,0.478082299,4.167117596,1.918961763,0,4.46
19,25.17,5.92,5.238803387,12.33154202,1.896992564,0,3.24
20,21.92,4.45,-0.082374081,7.215837479,1.912881851,0,4.05
21,18.77,3.89,2.333097458,3.671356678,1.902853131,0,3.68
22,16.71,3.32,-2.183712721,6.796271801,1.914584398,0,5.17
23,11.51,1.67,-4.111652851,6.314188004,1.902479053,0,5.09
24,24.51,5.44,3.052788019,5.620121002,1.910333514,0,3.69
25,11.73,2.02,-3.411210775,4.239348412,1.907028198,0,5.13
26,33.05,7.79,3.901874542,14.54021168,1.910245419,0,3.81
27,33.36,7.86,4.174373627,9.860123634,1.889648795,0,3.68
28,28.92,6.71,-3.029942036,92.83026886,1.850993872,0,3.3
29,31.98,7.39,2.433821678,6.592894554,1.908784628,0,3.34
30,24.44,5.63,-1.457319021,43.64722824,1.859944105,0,3.42
31,28.56,6.47,1.472676277,4.51717329,1.915010333,0,3.85
32,19.7,4.02,-1.39309442,2.706668139,1.918574452,0,4.7
33,32.96,7.69,1.634992838,6.396444321,1.909950614,0,3.33
34,13.34,2.36,-4.168924809,5.939487934,1.901585102,0,4.82
35,29.66,6.88,2.029694319,5.247862816,1.914478302,0,4.35
36,33.25,7.93,1.264205575,5.170864582,1.892389297,0,3.44
37,28.12,6.46,2.271349669,3.130239248,1.908820748,0,3.74
38,28.07,6.33,1.598156571,2.938719511,1.913141847,0,3.99
39,10.32,1.52,-3.33245182,3.98682785,1.867552638,0,4.79
40,24.24,4.88,-6.821898937,120.0708084,1.799203873,0,3.56
41,18.88,3.98,-0.883119822,3.25875783,1.907249808,0,4.56
42,15.98,3.14,-3.215743303,3.9868958,1.912327886,0,4.83
43,30.49,7.19,3.00224781,4.709924221,1.88668561,0,3.59
44,31.52,7.43,0.001143072,3.822174549,1.889101982,0,3.42
45,-5.08,-3.72,-20.85506248,337.2440796,1.570159435,0,4.11
46,17.16,3.34,-3.402932644,4.303529263,1.895088553,0,4.49
47,25.79,6.16,-0.34914726,3.427520275,1.856204867,0,3.33
48,13.62,2.4,-2.786147118,3.932132483,1.899515986,0,4.98
49,14.84,2.99,-3.72580862,6.399660587,1.888440967,0,4.4
50,33.03,7.79,2.336936235,5.267201424,1.864052773,0,3.23
51,27.61,6.46,0.844000936,2.74916625,1.880952716,0,3.07
52,17.83,3.5,-1.037231088,2.17115283,1.89403522,0,4.05
53,11.74,1.25,-11.29656982,73.12195587,1.741558671,0,3.3
54,14.23,2.06,-7.08959198,33.99352646,1.80838728,0,3.13
55,-35.71,-12.57,-25.2336216,494.0355835,1.355782628,0,3.28
56,25.85,5.79,3.497737408,4.246273518,1.905303717,0,3.77
57,22.8,4.97,3.098003149,4.723659039,1.894990683,0,3.7
58,22.81,4.73,-0.617428541,1.891509771,1.885232329,0,3.35
59,17.79,3.22,-4.880027294,18.09543037,1.831334233,0,3.1
60,10.3,1.49,-1.624429464,2.88140893,1.866252422,0,4.61
61,30.09,7.01,2.12290597,5.759438515,1.887165546,0,3.42
62,31.92,7.48,2.813900709,3.97971034,1.86914432,0,3.33
63,24.83,5.37,1.992529392,1.927611232,1.883122563,0,3.94
64,12.05,2.02,-0.190279678,0.908730567,1.872187257,0,4.62
65,23.82,5.11,3.064392567,3.294384241,1.890157819,0,3.83
66,26.53,5.93,3.377028704,5.477126598,1.886908531,0,3.53
67,30.45,7.08,3.425327063,5.734406948,1.865238428,0,3.57
68,22,4.66,0.611184835,1.61326158,1.876382828,0,3.94
69,18.77,4.08,0.164942473,2.863996029,1.88823545,0,4.06
70,-38.41,-13.25,-25.24880219,322.3734436,1.485166073,0,3.56
71,24.86,5.61,3.820656776,5.759908676,1.88564086,0,3.78
72,18.75,3.99,1.064185381,3.76589036,1.894621968,0,4.41
73,36.23,8.5,0.89476651,2.656684399,1.863237739,0,3.23
74,-18.33,-7.47,-19.43109703,159.0022888,1.654017568,0,3.44
75,26.98,6.06,1.837822914,1.888338566,1.892642379,0,4.07
76,28.46,6.62,2.45907402,3.092849731,1.870843053,0,3.25
77,26.36,5.92,0.234573126,0.98382324,1.878056288,0,3.83
78,28.3,6.35,-0.140082061,1.315659165,1.870721698,0,3.81
79,28.88,6.76,0.707362652,1.647627115,1.894003868,0,3.72
80,33.53,7.87,0.983721972,3.908706427,1.87288332,0,2.97
81,22.69,5.03,1.869156361,3.498656511,1.902175903,0,3.86
82,24.54,5.41,-0.134632856,1.005170703,1.888563991,0,3.63
83,26.56,6.08,-1.653427601,3.83945322,1.888938427,0,3.33
84,15.02,2.86,-1.662627697,1.77939713,1.875518203,0,4.62
85,36.31,8.67,0.042959373,4.145194054,1.873253345,0,3.03
86,32.59,7.74,-0.776720047,1.513307929,1.872067928,0,3.16
87,3.25,-1.27,-10.77836704,45.0458107,1.816249371,0,3.04
88,22.53,4.81,1.775317311,2.543474674,1.895792484,0,3.94
89,33.41,7.88,0.161058784,4.393574715,1.840918422,0,3.23
90,32.59,7.58,-6.714494228,39.4944191,1.817398071,0,3.67
91,23.24,4.97,1.010865688,2.164234638,1.894904017,0,4.01
92,27.94,6.44,1.574339747,2.788204432,1.894592881,0,3.78
93,24.13,5.17,1.248148561,1.132129431,1.846644521,0,3.72
94,31.27,7.26,1.25253129,1.196401238,1.885326385,0,3.7
95,32.62,7.71,1.522710204,2.917789459,1.86995995,0,3.82
96,15.79,3.19,-1.659624696,2.317121267,1.866035342,0,4.55
97,31.99,7.46,2.114890814,2.417078733,1.873860836,0,3.58
98,21.51,4.6,0.933966875,1.233536482,1.88356936,0,4.19
99,20.38,4.16,0.478756011,1.625801563,1.866560459,0,4.12
100,24.83,5.52,1.883041024,2.860350847,1.888891339,0,4.22
101,28.5,6.64,0.358382523,2.899920225,1.880394101,0,3.62
102,32.66,7.62,2.132669926,2.920090437,1.875044942,0,3.16
103,21.28,4.49,-0.48979038,2.068081141,1.881020904,0,4.49
104,25.95,5.77,-0.36423409,1.754498959,1.870419264,0,4.05
105,14.08,1.84,-8.984565735,30.94351006,1.830457211,0,3.34
106,34.77,8.26,-6.32588625,26.09877777,1.83067894,0,3.55
107,26.22,5.88,0.324091703,1.630357862,1.888727784,0,3.61
108,19.71,3.92,-3.393810987,18.97698593,1.856822491,0,3.97
109,22.33,4.7,0.155146152,0.503548861,1.877261519,0,4.09
110,2.83,-1.42,-11.20456791,1888.268555,1.231583357,0,3.58
111,25.4,5.65,-2.744910002,17.32980537,1.840494394,0,4.5
112,33.88,8,2.33992219,4.364013195,1.869084835,0,3.14
113,25.73,5.66,0.913558602,1.202074528,1.883892775,0,3.89
114,18.52,3.64,-0.419720829,0.868092954,1.869844317,0,4.36
115,28.84,6.59,2.183167696,4.258592129,1.887200117,0,3.76
116,33.41,7.85,2.260704517,3.189647436,1.85469234,0,3.48
117,25.86,5.77,1.583776712,2.038312435,1.881651044,0,4.48
118,34.01,8.07,-2.73076725,10.88004875,1.78482914,0,3.73
119,34.28,8,4.351615429,8.464557648,1.884774327,0,4.09
120,29.86,6.99,0.871532917,1.374180198,1.861356854,0,4.52
121,30.72,7.13,2.382717371,4.126835823,1.880647779,0,4.15
122,26.59,5.98,0.4537839,0.900458992,1.848852277,0,4.08
123,10.54,1.46,-11.5256567,50.4658165,1.780499697,0,5.1
124,22.67,5,0.47733584,1.621039152,1.872657418,0,4.39
125,24.09,5.35,-1.097275615,1.947013736,1.884038091,0,4.63
126,38.74,9.33,-1.802705765,7.263320446,1.844626665,0,2.73
127,29.52,6.93,0.299387962,2.747092247,1.874785304,0,4.02
128,16.25,3.03,-2.842552423,3.022598982,1.854569674,0,5.4
129,22.36,4.82,-1.465328455,1.320332885,1.850793004,0,4.5
130,19.91,4.12,-0.471859336,1.722224951,1.870340228,0,4.94
131,28.26,6.36,1.15106976,1.493618608,1.890799165,0,4.88
132,26.24,5.85,-0.722453237,0.655704498,1.868520498,0,4.85
133,18.12,3.59,0.533545613,1.334905505,1.896092892,0,3.6
134,32.61,7.69,1.22351253,2.153657675,1.865609288,0,4.31
135,22.01,4.84,1.433168054,1.849418521,1.893823504,0,4.14
136,16.1,3.18,0.153737217,1.466492653,1.891348243,0,5.04
137,28.88,6.76,-1.896072626,2.265037298,1.793822169,0,3.57
138,27.87,6.28,3.365478277,4.505142212,1.901685357,0,4.46
139,27.28,6.05,0.635486305,2.199606895,1.857841015,0,4.56
140,16.17,3.25,0.143354565,1.050235033,1.885767817,0,5.42
141,24.34,5.5,2.519610643,3.139310598,1.89293313,0,4.42
142,34.44,8.07,3.420701504,4.714480877,1.893349409,0,4.19
143,32.56,7.66,2.692403078,5.319571495,1.883790135,0,3.59
144,23.02,5.05,0.706526995,1.230987191,1.866431832,0,4.72
145,32.43,7.77,-0.492214382,2.715837717,1.831913471,0,3.9
146,21.67,4.65,0.811897278,1.679098606,1.898151875,0,5.44
147,16.77,3.34,-1.321919084,1.001887083,1.890345812,0,5.23
148,24.84,5.55,1.872780919,1.823289156,1.873192191,0,4.4
149,33.91,7.99,2.046583176,3.828480959,1.881578803,0,3.85
150,20.26,4.48,0.0754712,2.617738247,1.89423418,0,4.94
151,26.4,5.99,1.439006448,3.012740374,1.887925029,0,4.59
152,34.9,8.33,2.982007742,4.567263126,1.900300264,0,3.77
153,40.19,9.71,0.828248322,5.981005669,1.877240777,0,3.72
154,17.85,3.58,-1.075858593,1.783335805,1.894177914,0,5.26
155,35.49,8.65,2.447550774,5.959103584,1.892258525,0,4.25
156,2.4,-1.81,-12.06191826,66.25169373,1.741333246,0,4.11
157,38.46,9.25,0.501113772,3.362750292,1.881608248,0,1.67
158,39.55,9.47,0.480467349,3.204009295,1.884557724,0,1.56
159,19.34,4,0.064133845,1.788797259,1.887554765,0,1.47
160,32.15,7.5,1.031835198,1.838570595,1.894846797,0,1.43
