Episode,Reward,Loss,Duration_s,Epsilon
1,26.12528961,0,0.18,0.995
2,21.85370164,0,0.31,0.99
3,20.01047685,0,0.49,0.985
4,34.41903799,0.003191949,25.48,0.98
5,33.26216624,0.005371458,35.62,0.975
6,19.09242983,0.002893106,34.71,0.97
7,31.50942496,0.00254426,36.1,0.966
8,17.03675949,0.007077107,36.24,0.961
9,22.1584596,0.002424808,36.27,0.956
10,28.20873861,0.002351847,36.17,0.951
11,35.24545278,0.005637833,36.05,0.946
12,32.32704375,0.008474078,37.3,0.942
13,26.96460703,0.003076839,43.15,0.937
14,11.70520797,0.005193654,42.79,0.932
15,1.262237468,0.004539525,43.02,0.928
16,30.77291269,0.003993877,43.01,0.923
17,19.32206241,0.002787737,42.8,0.918
18,17.71289762,0.001014967,42.96,0.914
19,17.52504797,0.001520002,43.36,0.909
20,21.33548745,0.001417604,43.94,0.905
21,15.84588219,0.001561867,43.32,0.9
22,27.39969509,0.00145842,42.95,0.896
23,24.24008206,0.001488958,42.95,0.891
24,7.872106555,0.001969437,43.65,0.887
25,33.44505604,0.00510989,43.34,0.882
26,32.772498,0.002570488,43.09,0.878
27,20.59467578,0.003413419,43.98,0.873
28,16.4242904,0.001393788,43.66,0.869
29,23.06833898,0.001026757,43.64,0.865
30,8.379048939,0.007099618,44.07,0.86
31,25.41709902,0.003873552,43.76,0.856
32,29.30223711,0.003005105,43.65,0.852
33,13.30015923,0.001555262,43.9,0.848
34,15.17672883,0.008698929,44.26,0.843
35,16.48305196,0.002634538,43.99,0.839
36,34.57713351,0.001693443,44.19,0.835
37,32.3613139,0.001787897,43.89,0.831
38,30.93601781,0.002173532,43.89,0.827
39,-0.408473429,0.002919805,44.1,0.822
40,29.78136258,0.001438142,44.05,0.818
41,8.698554013,0.003262052,44.98,0.814
42,28.15195427,0.00645995,45.02,0.81
43,10.18530232,0.001564067,44.58,0.806
44,26.44154864,0.004931633,44.56,0.802
45,9.689496951,0.002375214,44.5,0.798
46,27.78130518,0.011874784,44.41,0.794
47,14.67562101,0.002342931,44.84,0.79
48,2.476452756,0.002121498,44.65,0.786
49,14.10545372,0.001348266,44.98,0.782
50,23.56537255,0.007200508,44.93,0.778
51,16.29499099,0.003725244,44.75,0.774
52,22.90087177,0.004108668,44.29,0.771
53,26.03777401,0.002002184,44.21,0.767
54,8.219082138,0.002041595,44.71,0.763
55,20.32145229,0.002284605,44.83,0.759
56,28.08002549,0.003509287,44.7,0.755
57,30.60866856,0.002576063,44.4,0.751
58,27.25176797,0.002261105,44.28,0.748
59,23.13011879,0.001252486,44.4,0.744
60,18.49879212,0.001714205,44.75,0.74
61,25.86922106,0.00149497,45.13,0.737
62,1.107038626,0.001692869,45.12,0.733
63,13.6920019,0.003260629,45.03,0.729
64,32.97824957,0.004324425,44.22,0.726
65,24.62706965,0.003345623,75.28,0.722
66,22.02334858,0.00213363,140.02,0.718
67,32.4637485,0.000910846,142.39,0.715
68,14.12300599,0.001531261,137.31,0.711
69,9.435530715,0.00184331,134.69,0.708
70,27.07689953,0.002213847,135,0.704
71,21.20020543,0.001644506,137.88,0.701
72,14.99507075,0.000916033,141.2,0.697
73,30.12374414,0.002649691,139.78,0.694
74,25.77611194,0.003614074,136.79,0.69
75,27.67428245,0.0015557,145.35,0.687
76,31.28194003,0.006519439,138.98,0.683
