Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,15.19,2.74,5.813714504,17.50281334,1.908893228,0,2
2,21.74,4.81,8.69542408,25.77555084,1.8588202,0,2.05
3,12.32,2.13,3.564218998,8.333199501,1.926675439,0,2.43
4,26.82,6.02,10.96631336,39.17627335,1.932785392,0,2.12
5,20.19,4.47,6.946307182,17.29311943,1.930565,0,2.61
6,5.43,0.08,-1.670030832,8.530601501,1.920666695,0,1.77
7,30.52,7.22,11.21229839,43.34378815,1.922714233,0,1.07
8,21.41,4.4,6.699382305,19.79364204,1.930095434,0,1.13
9,18.77,4.13,4.727984428,11.02998161,1.922906876,0,1.33
10,23.75,5.62,8.171961784,24.3542366,1.908661962,0,1.23
11,15.94,3.18,3.378755093,7.675749302,1.929798365,0,1.42
12,32.68,7.92,10.33054161,40.11146927,1.916811109,0,1.05
13,29.93,6.86,9.367398262,32.40493011,1.903818011,0,1.14
14,12.1,1.99,0.340062082,4.622238636,1.895452499,0,1.28
15,31.88,7.53,10.20281792,35.44538879,1.925693154,0,1
16,27.05,6.12,7.798958302,21.99923325,1.92123735,0,1.13
17,31.61,7.35,8.479338646,29.34985733,1.92767477,0,1.03
18,5.16,0.19,-4.737967014,8.529684067,1.893340707,0,1.44
19,16.05,3.15,1.286693215,5.79055357,1.893417954,0,1.22
20,27.96,6.59,5.53634882,18.91023064,1.915206909,0,1.1
21,14.53,2.78,0.671151996,2.262934685,1.910361528,0,1.26
22,11.03,1.61,-3.887844324,5.882436752,1.913447261,0,1.45
23,9.64,1.6,-1.864914298,2.50184083,1.91795671,0,1.46
24,25.22,5.66,4.784334183,9.489063263,1.926842093,0,1.15
25,30.32,7.19,6.79172039,20.86852264,1.924798965,0,1.06
26,12.57,1.62,-13.72501945,612.3127441,1.687094927,0,1.09
27,12.06,1.9,-0.779464543,1.375440717,1.897161841,0,1.37
28,26.84,6.11,4.097354412,8.125706673,1.92310226,0,1.16
29,23.98,5.25,2.99011898,4.781959534,1.928414941,0,1.91
30,34.32,8.06,-3.45486474,130.132431,1.854568243,0,1.28
31,17.02,3.38,-2.747883081,4.741446972,1.910191298,0,3.23
32,28.77,6.64,2.934807301,11.77260113,1.925433993,0,3.77
33,5.95,0.49,-3.249254465,4.566877842,1.82857728,0,4.99
34,31.65,7.47,3.649607897,8.615660667,1.923200488,0,3.39
35,33.72,7.91,1.258496165,14.65081882,1.895007491,0,3.27
36,17.46,3.47,-1.348842382,1.56881249,1.919894814,0,4.58
37,25.61,5.85,0.025493994,5.33352232,1.913098335,0,4.14
38,13.56,2.34,-2.008689642,1.904886246,1.911431432,0,4.73
39,27.62,6.27,1.546803713,3.048700809,1.923296452,0,3.76
40,28.99,6.68,-1.325260043,63.56881332,1.825692773,0,3.68
41,13.22,1.55,-9.491347313,162.3351135,1.691598296,0,3.42
42,13.49,2.36,-0.168990776,0.599757254,1.905984282,0,4.31
43,25.39,5.63,4.167056084,6.05076313,1.924660683,0,3.83
44,29.63,6.94,4.549582481,7.201546192,1.923682451,0,3.37
45,24.44,5.49,2.957141876,3.647470713,1.920073271,0,3.78
46,8.19,0.99,-1.830615163,1.432620883,1.902618766,0,5.06
47,32.91,7.62,-0.706071079,34.45342255,1.843645573,0,3.38
48,14.54,2.4,-1.801458597,1.743921518,1.910303116,0,4.39
49,32.58,7.52,3.696885824,5.179073811,1.919604659,0,3.88
50,29.01,6.92,6.068775654,13.31378841,1.89885211,0,3.28
51,30.27,7.11,3.220865488,6.637225628,1.906847119,0,3.24
52,22.73,4.59,-2.666665554,34.77523804,1.83280766,0,3.37
53,21.26,4.59,1.940196037,2.697636843,1.918328404,0,4.38
54,22.11,4.91,3.63460207,5.792408466,1.918627977,0,4.17
55,18.24,3.77,0.902551293,1.761824965,1.917152286,0,4.33
56,22.02,4.64,0.092436574,1.062422395,1.915461779,0,3.82
57,20.09,4.17,0.937465489,1.586401343,1.915135145,0,4.6
58,22.19,5.08,2.352259636,4.205926895,1.903688312,0,3.74
59,17.6,3.57,1.016750932,2.114039898,1.890295386,0,4.24
60,25.01,5.59,0.528113842,1.472496867,1.910892725,0,4.15
61,29.37,6.8,1.311205864,5.056790352,1.888299584,0,3.21
62,31.88,7.3,-2.104753494,6.282059669,1.90288496,0,3.27
63,31.33,7.33,-0.86571759,14.18274784,1.890642047,0,3.61
64,32.45,7.56,-0.458818734,4.209726334,1.908599496,0,3.4
65,25.21,5.51,1.034057617,1.96571064,1.914146781,0,3.72
66,25.53,5.72,1.703044415,3.67683959,1.906134248,0,3.94
67,30.67,7.06,1.327566266,2.641889095,1.910550952,0,3.44
68,23.19,5.16,-0.232644632,3.332034111,1.912555695,0,4
69,33.5,7.88,-1.058134556,16.2770462,1.859453321,0,3.62
70,-7.67,-4.06,-13.50952721,164.8748169,1.635443211,0,4.62
71,31.19,7.31,-0.92441541,3.791141272,1.890605927,0,3.78
72,29.58,6.74,-1.964242935,49.06790543,1.748058319,0,3.31
73,9.08,1.54,-3.051442623,6.220929623,1.897517323,0,4.67
74,35.23,8.36,2.836872578,5.819773674,1.900542378,0,3.14
75,24.91,5.54,0.490892857,2.28535223,1.897840023,0,4.01
76,11.48,1.68,-4.619092941,12.81084919,1.738219976,0,4.63
77,18.26,3.73,0.114831433,1.971907377,1.893254995,0,4.1
78,15.7,2.94,-1.842841148,2.426249743,1.901075482,0,4.8
79,32.8,7.68,-1.089715362,10.00914574,1.831258893,0,3.67
80,30.84,6.89,0.209664643,2.395387888,1.73343873,0,3.32
81,26.46,6.01,4.075242519,6.921022892,1.899698734,0,3.65
82,11.04,1.11,-4.403557301,25.01061821,1.506995678,0,3.6
83,23.45,4.67,-3.330172777,26.39616776,1.770832896,0,3.47
84,27.03,6.32,2.567148924,4.218921185,1.892508984,0,4.08
85,25.16,5.67,2.564562559,4.208163738,1.89661479,0,4.35
86,30.72,6.87,2.397746086,3.59621048,1.764967799,0,3.33
87,-6.96,-4.58,-17.11758423,218.0952148,1.528409004,0,3.29
88,19.28,4.07,0.521147311,1.516669512,1.883169532,0,4.7
89,10.27,0.95,-7.254935265,30.06420517,1.783482909,0,4.51
90,17.1,3.74,1.373963118,2.694881439,1.891801357,0,4.37
91,1.67,-1.68,-8.709384918,43.50823212,1.621178269,0,4.05
92,31.78,7.5,3.792706013,5.745634556,1.893704891,0,3.24
93,33.06,7.72,3.21546936,6.347065449,1.886645555,0,3.19
94,18.97,3.79,-0.042328745,1.779294848,1.839935899,0,4.68
95,36.19,8.6,4.609235764,9.203763962,1.88995564,0,3.32
96,31.47,7.35,4.228699684,6.145669937,1.897661328,0,3.91
97,21.13,4.46,1.646899223,1.638298273,1.902202725,0,3.93
98,33.71,7.93,3.367201567,5.558008671,1.883064747,0,3.11
99,28.7,6.54,1.591413856,2.256512403,1.889490128,0,3.18
100,29.98,7.04,2.819723606,6.226003647,1.891326904,0,4.01
101,34.01,8.08,2.991130352,4.608371735,1.90237689,0,3.29
102,28.93,6.48,2.127785206,3.677802801,1.906076908,0,3.73
103,28.09,6.31,-0.062214687,1.639159083,1.813458085,0,3.34
104,14.71,2.68,-1.662127256,2.522632122,1.890648961,0,4.53
