Episode,Reward,Loss,Duration_s,Epsilon
1,31.96642062,0,0.16,0.995
2,30.71361105,0,0.48,0.99
3,16.11334881,0,1.13,0.985
4,25.5706747,0.011236371,68.6,0.98
5,10.99816228,0.004564274,35.2,0.975
6,31.53713505,0.004010901,33.57,0.97
7,31.29905641,0.002678871,37.04,0.966
8,20.40143686,0.00275344,90.3,0.961
9,26.73095289,0.003093239,33.63,0.956
10,31.24600669,0.006539054,32.4,0.951
11,28.60021603,0.002832392,31.61,0.946
12,21.73549981,0.001498487,37.35,0.942
13,18.92240941,0.004264747,88.53,0.937
14,31.60810553,0.004047671,36.55,0.932
15,15.87338949,0.003031355,35.94,0.928
16,19.55968955,0.004778619,37.31,0.923
17,32.83126781,0.003882897,37.59,0.918
18,32.9004456,0.002921927,39.29,0.914
19,33.42961374,0.003306424,36.95,0.909
20,25.15626751,0.004888129,39.43,0.905
21,28.99915678,0.001985083,44.07,0.9
22,7.271133832,0.005642536,45.24,0.896
23,27.0927427,0.002421559,43.16,0.891
24,13.54504073,0.036557846,42.95,0.887
25,26.46175802,0.007131701,43.3,0.882
26,30.02274022,0.005144289,42.53,0.878
27,19.52068117,0.005901099,42.68,0.873
28,33.47302954,0.041366857,42.43,0.869
29,32.89909821,0.002647716,42.52,0.865
30,29.99207077,0.003241965,43.22,0.86
31,23.16834281,0.00550514,42.93,0.856
32,31.41498022,0.002600236,42.53,0.852
33,27.95903293,0.003366482,42.96,0.848
34,18.8817861,0.003660982,43,0.843
35,33.13218049,0.001418216,42.84,0.839
36,19.7227726,0.002498664,43.52,0.835
37,13.58476784,0.003293449,46.46,0.831
38,9.068949695,0.00399257,43.62,0.827
39,28.98315115,0.002740254,43.98,0.822
40,16.30661834,0.001878956,43.73,0.818
41,15.45354036,0.004147555,43.28,0.814
42,14.28790851,0.002588905,47.62,0.81
43,30.18777548,0.001745591,44.18,0.806
44,20.43562284,0.012264034,43.89,0.802
45,31.90947794,0.004079943,43.23,0.798
46,31.44031604,0.002876284,43.58,0.794
47,31.81082209,0.003917655,43.6,0.79
48,33.87913017,0.002658663,43.56,0.786
49,9.432853006,0.002245371,44.67,0.782
50,17.35456194,0.003055457,44.36,0.778
51,12.20480239,0.002856244,44.28,0.774
52,30.38994932,0.006256906,44.03,0.771
53,14.99356473,0.001683832,44.25,0.767
54,27.34280715,0.001588525,44.13,0.763
55,23.23658761,0.002386375,44.21,0.759
56,14.89329572,0.00456252,44.63,0.755
57,25.44139943,0.002002646,44.04,0.751
58,21.64532887,0.002401514,44.14,0.748
59,34.16896618,0.031163342,44.06,0.744
60,33.69924566,0.011081723,44.49,0.74
61,15.2895723,0.002191762,44.32,0.737
62,29.60264239,0.000857675,44.41,0.733
63,35.03497887,0.00117816,44.5,0.729
64,18.92137665,0.001057332,44.77,0.726
65,21.27441166,0.00146461,44.78,0.722
66,22.0339723,0.001855296,45.32,0.718
67,33.81402545,0.001500323,44.7,0.715
68,29.46207706,0.003314771,44.54,0.711
69,35.0889401,0.002890212,44.91,0.708
70,15.06547674,0.003004543,44.77,0.704
71,26.24983665,0.003877199,45.05,0.701
72,31.13523846,0.001647853,44.86,0.697
73,21.20638848,0.002464514,45.08,0.694
74,29.88890154,0.008632309,44.96,0.69
75,36.1046573,0.004557733,44.95,0.687
76,21.81118587,0.00119375,45.22,0.683
77,27.08791057,0.001593025,45.8,0.68
78,25.99032811,0.003209414,45.12,0.676
79,31.55960773,0.002242831,45.28,0.673
80,29.01489193,0.003499257,47.3,0.67
81,30.24809782,0.004721109,45.53,0.666
82,29.33244832,0.001221956,45.72,0.663
83,32.25307416,0.001643284,45.4,0.66
84,34.28607874,0.003300853,46.5,0.656
85,16.68667414,0.002116785,46.26,0.653
86,21.85215029,0.001854301,45.57,0.65
87,18.07610693,0.002133574,45.71,0.647
88,32.91011602,0.001505703,45.88,0.643
89,35.11910657,0.002186323,45.66,0.64
90,13.25256999,0.00226335,46.3,0.637
91,31.29484383,0.001604702,46.65,0.634
92,25.50395564,0.001914446,46.42,0.631
93,18.64851722,0.004206387,46.27,0.627
94,12.16183131,0.002208642,47.21,0.624
95,29.43218873,0.002343415,50.7,0.621
96,-4.910872419,0.00350412,46.08,0.618
97,20.50192425,0.002019967,46.39,0.615
98,19.95096272,0.001528233,46.79,0.612
99,34.14954498,0.033968668,45.97,0.609
100,34.86604389,0.002173376,45.83,0.606
101,19.53450619,0.002854747,47.36,0.603
102,33.97532817,0.00696615,46.58,0.6
103,17.58388135,0.002557318,46.91,0.597
104,29.55076376,0.002788185,46.7,0.594
105,29.43640514,0.004635031,46.93,0.591
106,21.59372719,0.001256889,47.12,0.588
107,30.6912558,0.001773701,46.83,0.585
108,-4.730347472,0.001644335,46.42,0.582
109,19.36017547,0.002408355,47.28,0.579
110,21.71795284,0.00256834,46.92,0.576
111,10.80922365,0.003434434,46.95,0.573
112,28.37681771,0.004181504,46.92,0.57
113,14.5076823,0.002683524,47.21,0.568
114,32.76087065,0.001450142,46.69,0.565
115,25.75160345,0.003397944,47.54,0.562
116,33.67929205,0.042832285,47.17,0.559
117,33.09482206,0.003060553,47.36,0.556
118,19.18307698,0.001753559,47.63,0.554
119,31.63321737,0.028840102,47.12,0.551
120,17.74235125,0.044659201,47.84,0.548
121,35.21735832,0.003782628,47.73,0.545
122,29.13031274,0.005182478,48.11,0.543
123,32.54023863,0.005636059,47.65,0.54
124,26.21814267,0.004685288,48.13,0.537
125,35.76788721,0.003578316,48.15,0.534
126,30.01886935,0.031672731,48,0.532
127,23.78261549,0.001067272,48.55,0.529
128,30.556641,0.002338315,48.28,0.526
129,33.36741894,0.001131207,48.89,0.524
130,20.93389931,0.00071195,48.66,0.521
131,25.1243266,0.002370773,48.42,0.519
132,31.48924884,0.002350891,48.4,0.516
133,27.5963843,0.002178685,49.08,0.513
134,22.30941142,0.044937994,48.77,0.511
135,26.13058852,0.001045062,49.34,0.508
136,32.89552136,0.006351025,48.89,0.506
137,14.77805532,0.002951184,49.09,0.503
138,31.62152969,0.002570638,48.75,0.501
139,27.23686928,0.002353498,49.39,0.498
140,23.94524705,0.000726819,49.69,0.496
141,34.31680529,0.003769346,49.14,0.493
142,20.76394805,0.000614753,49.6,0.491
143,16.00393386,0.004652144,50.24,0.488
144,36.58685868,0.00101748,49.31,0.486
145,30.39958795,0.002928631,49.86,0.483
146,35.84703239,0.002835321,49.81,0.481
147,33.14553548,0.024424449,50,0.479
148,23.72414942,0.034387439,50.15,0.476
149,26.95515087,0.001171109,50.31,0.474
150,32.26858945,0.000801093,50.09,0.471
151,22.18070448,0.002266211,49.87,0.469
152,22.1951096,0.003837966,50.8,0.467
153,20.84415042,0.00234329,52.43,0.464
154,25.9145305,0.001706672,50.82,0.462
155,24.24129847,0.00127479,51.27,0.46
156,26.1722855,0.001547167,51.7,0.458
157,16.99754833,0.003451156,51.05,0.455
158,22.6301076,0.000832101,51.34,0.453
159,33.75864767,0.001198729,51.56,0.451
160,20.9401318,0.003290379,52.14,0.448
161,36.26018018,0.001202288,51.57,0.446
162,17.3470006,0.001165242,51.71,0.444
163,18.94031957,0.002454743,51.94,0.442
164,25.48402704,0.00408383,52.18,0.44
165,28.15953121,0.004717115,52.87,0.437
166,37.80636876,0.002867379,51.73,0.435
167,35.61030232,0.00145514,52.02,0.433
168,37.45156342,0.002409671,56.83,0.431
169,35.91033646,0.001406653,51.82,0.429
170,31.87757146,0.001212406,52.06,0.427
171,23.7647692,0.000582595,52.32,0.424
172,33.29091939,0.032405548,54.97,0.422
173,36.306465,0.001939011,51.9,0.42
174,17.41121501,0.005349957,51.55,0.418
175,38.46870806,0.001027618,52.08,0.416
176,23.13163688,0.000660343,52.27,0.414
177,37.15111282,0.001378112,51.92,0.412
178,18.48277648,0.001278703,52.5,0.41
179,35.52148319,0.002332371,52.23,0.408
180,24.76680588,0.003028284,52.15,0.406
181,35.40404776,0.000577513,51.95,0.404
182,29.77339832,0.002954989,51.8,0.402
183,34.91134745,0.001889129,52.39,0.4
184,28.48613848,0.000856281,52.36,0.398
185,35.89895723,0.000792965,52.26,0.396
186,33.41274134,0.002113591,51.96,0.394
187,31.0332886,0.029906167,52.37,0.392
188,28.80598585,0.001923846,52.31,0.39
189,30.49915354,0.000656346,51.74,0.388
190,23.99846631,0.001701472,52.49,0.386
191,23.11171858,0.001890928,52.42,0.384
192,22.26144134,0.002339662,52.22,0.382
193,30.33194533,0.002278948,52.16,0.38
194,30.65290787,0.001657104,52.22,0.378
195,29.81542288,0.002315047,52.75,0.376
196,25.78366621,0.041931309,52.59,0.374
197,37.38666149,0.000446897,52.25,0.373
198,36.2014192,0.001459946,52.4,0.371
199,30.12273522,0.00052453,52.87,0.369
200,37.08328124,0.000491744,52.23,0.367
201,31.07887765,0.000807795,52.36,0.365
202,40.03172635,0.000803668,52.52,0.363
203,35.65560883,0.000657329,52.26,0.361
204,23.7620806,0.003797877,52.81,0.36
205,31.03229115,0.00040878,52.3,0.358
206,23.99466401,0.002115765,52.75,0.356
207,34.71293147,0.00469327,52.02,0.354
208,35.1227985,0.024573158,99.2,0.353
209,26.02123037,0.000724262,141.48,0.351
210,16.49457188,0.00057118,141.98,0.349
211,28.94765134,0.001228492,110.61,0.347
212,26.24339755,0.001170687,46.23,0.346
213,29.61461468,0.001460484,47.36,0.344
214,22.85277689,0.000538383,50.44,0.342
215,35.06091657,0.000667514,52.49,0.34
216,38.39183855,0.000593549,52.65,0.339
217,27.02105819,0.022189418,53.31,0.337
218,30.20448453,0.001224588,52.66,0.335
219,39.49702562,0.000862979,56.97,0.334
220,30.95294524,0.001857545,52.58,0.332
221,33.38937128,0.001832451,52.2,0.33
222,35.44742412,0.002739225,52.05,0.329
223,34.07592651,0.000915669,51.88,0.327
224,21.98698818,0.000744666,52.98,0.325
225,41.27337095,0.001824952,52.28,0.324
226,38.25842369,0.004566077,52.14,0.322
227,33.75220032,0.000986253,52.39,0.321
228,39.72029208,0.001617367,52.79,0.319
229,33.14107626,0.00097794,52.72,0.317
230,28.2994196,0.002104469,53.22,0.316
231,25.46762526,0.002372562,53.93,0.314
232,28.85326399,0.001935419,56.55,0.313
233,32.99157013,0.002500286,53.14,0.311
234,19.66851175,0.001513009,53.29,0.309
235,30.03477255,0.002439604,52.84,0.308
236,37.42109322,0.001630702,52.85,0.306
237,22.06864066,0.001836858,53.94,0.305
238,24.272327,0.00278078,53.33,0.303
239,27.7320657,0.000994855,53.11,0.302
240,40.25792011,0.001895499,52.68,0.3
241,40.72806297,0.000951667,53.38,0.299
242,30.79861023,0.001020809,52.75,0.297
243,35.48384221,0.001954124,52.86,0.296
244,30.21512179,0.002004389,52.95,0.294
245,23.41822832,0.000881825,53.39,0.293
246,30.0062525,0.001070748,52.94,0.291
247,40.58457683,0.002215783,52.82,0.29
248,34.5083248,0.000749034,52.67,0.288
249,38.80392297,0.002938399,52.64,0.287
250,21.50289639,0.002486566,53.2,0.286
251,28.70367545,0.001174882,52.78,0.284
252,27.47205387,0.000783272,53.1,0.283
253,32.41637823,0.000524404,53.24,0.281
254,26.08828053,0.000565735,53.23,0.28
255,39.76878164,0.022884766,52.91,0.279
256,26.78162805,0.002630814,53.56,0.277
257,20.19934014,0.00097969,53.41,0.276
258,33.20261384,0.000888605,52.92,0.274
259,17.94008529,0.002138133,53.82,0.273
260,28.04304496,0.001000357,53.1,0.272
261,25.91592587,0.001872619,52.65,0.27
262,30.45218885,0.049501177,53.31,0.269
263,27.96158496,0.001086536,53.08,0.268
264,29.56815592,0.000321639,52.83,0.266
265,24.1136087,0.001508953,52.98,0.265
266,36.3121268,0.00121855,52.66,0.264
267,14.58680099,0.0189148,53.26,0.262
268,40.57823073,0.001074499,52.62,0.261
269,35.12094017,0.001266476,52.69,0.26
270,26.24713363,0.002564233,53.05,0.258
271,26.34596166,0.000969507,53.06,0.257
272,32.33800181,0.002747946,53.07,0.256
273,25.5382873,0.001142086,53.8,0.255
274,26.10655712,0.004697216,52.93,0.253
275,38.72970468,0.001438681,52.89,0.252
276,32.11787661,0.000305561,52.92,0.251
277,31.72322232,0.000348504,52.77,0.249
278,24.62367851,0.000631902,52.76,0.248
279,32.28641308,0.000943525,52.94,0.247
280,30.67777866,0.000994911,52.72,0.246
281,41.7080296,0.000911623,52.63,0.245
282,37.57754409,0.00104201,52.89,0.243
283,32.50618128,0.000599341,53.39,0.242
284,29.03794795,0.000638237,54.02,0.241
285,20.55056509,0.001165741,53.3,0.24
286,20.6313823,0.00248965,53.5,0.238
287,36.87753644,0.000536072,52.84,0.237
288,30.34746091,0.000749427,52.82,0.236
289,18.25644028,0.001007766,53,0.235
290,43.31452991,0.0007096,52.95,0.234
291,23.84218437,0.000771347,53.27,0.233
292,30.88381984,0.001048386,53.26,0.231
293,39.68456358,0.000985116,52.44,0.23
294,18.98791293,0.000986678,53,0.229
295,38.92171246,0.001293083,52.91,0.228
296,27.77899214,0.00084565,58.17,0.227
297,19.55425496,0.000796822,53.23,0.226
298,25.33603047,0.022014124,53.27,0.225
299,39.37508771,0.001648655,57.22,0.223
300,34.07906513,0.021229643,52.87,0.222
301,20.19441501,0.018680125,53.11,0.221
302,24.3828845,0.002619018,53.47,0.22
303,30.90015746,0.01914241,53.02,0.219
304,37.24153069,0.031384032,53.39,0.218
305,35.82308928,0.000728037,52.86,0.217
306,30.20425673,0.000612253,53.24,0.216
307,37.26472093,0.0018514,53.22,0.215
308,36.01335882,0.000411361,53.08,0.214
309,26.66291263,0.000538876,53.03,0.212
310,23.51645917,0.000467825,52.99,0.211
311,39.68090579,0.003005792,52.62,0.21
312,36.31588054,0.018633526,52.56,0.209
313,37.90786802,0.0007567,52.94,0.208
314,20.66480746,0.001467784,53.14,0.207
315,33.91853088,0.000698856,52.76,0.206
316,40.31201467,0.0027017,52.58,0.205
317,40.8461821,0.001955609,52.48,0.204
318,33.9452809,0.004227166,52.73,0.203
319,38.32740429,0.002786182,52.9,0.202
320,37.37004515,0.000310909,52.88,0.201
321,30.69612029,0.000582781,53,0.2
322,35.88908844,0.000951866,52.84,0.199
323,36.59977602,0.001702943,53.51,0.198
324,7.583169104,0.000390996,53.27,0.197
325,25.02742136,0.019460345,53.21,0.196
326,38.29490388,0.000429129,53.34,0.195
327,23.44982782,0.00183126,53.02,0.194
328,29.35647677,0.001706637,53.3,0.193
329,43.39032428,0.000474388,52.97,0.192
330,31.76633379,0.023478866,53.27,0.191
331,39.11132537,0.001994244,53,0.19
332,41.86157231,0.002098256,52.61,0.189
333,33.18333539,0.002009239,53.02,0.188
334,33.29732229,0.000996263,53.44,0.187
