Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,28.703,0.996,0.08,300,0.098565
2,30.559,0.992,0.12,600,0.10432
3,33.12,0.988,0.05,900,0.112379
4,32.092,0.984,0.1,1200,0.115433
5,19.82,0.98,0.24,1500,0.070109
6,14.419,0.976,0.29,1800,0.057395
7,31.731,0.972,0.08,2100,0.113691
8,31.458,0.968,0.11,2400,0.110027
9,16.334,0.965,0.23,2700,0.060023
10,22.388,0.961,0.25,3000,0.080293
11,23.985,0.957,0.22,3300,0.08454
12,16.066,0.953,0.3,3600,0.059902
13,16.107,0.949,0.32,3900,0.060647
14,16.916,0.945,0.3,4200,0.062551
15,12.166,0.942,0.31,4500,0.05729
16,29.889,0.938,0.08,4800,0.105347
17,18.555,0.934,0.29,5100,0.068561
18,18.143,0.93,0.27,5400,0.066007
19,19.258,0.927,0.33,5700,0.066648
20,28.216,0.923,0.26,5999,0.097889
21,24.874,0.919,0.21,6299,0.087842
22,9.9,0.916,0.37,6599,0.058672
23,24.833,0.912,0.22,6899,0.085773
24,19.793,0.908,0.35,7199,0.076899
25,21.802,0.905,0.26,7499,0.087257
26,27.08,0.901,0.13,7799,0.10521
27,16.258,0.897,0.34,8099,0.061574
28,26.78,0.894,0.15,8399,0.097562
29,33.748,0.89,0.1,8699,0.114399
30,15.598,0.887,0.4,8999,0.058063
31,22.475,0.883,0.28,9299,0.077691
32,21.086,0.88,0.34,9599,0.075966
33,31.943,0.876,0.37,9898,0.109648
34,35.09,0.873,0.14,10198,0.118359
35,31.099,0.869,0.13,10498,0.109649
36,31.408,0.866,0.23,10798,0.109438
37,22.08,0.862,0.42,11098,0.076189
38,34.19,0.859,0.13,11398,0.120472
39,24.138,0.855,0.31,11697,0.081145
40,34.575,0.852,0.18,11997,0.11764
41,12.199,0.848,0.46,12296,0.060157
42,17.517,0.845,0.29,12596,0.072074
43,32.753,0.842,0.16,12895,0.110626
44,26.006,0.838,0.26,13194,0.09028
45,20.775,0.835,0.3,13494,0.081714
46,35.565,0.832,0.14,13793,0.123623
47,30.732,0.828,0.12,14093,0.106455
48,28.439,0.825,0.18,14393,0.102924
49,10.411,0.822,0.42,14693,0.063007
50,15.129,0.818,0.54,14992,0.065521
51,34.262,0.815,0.19,15292,0.119612
52,23.841,0.812,0.35,15591,0.082549
53,16.919,0.809,0.48,15891,0.066434
54,26.04,0.805,0.29,16190,0.102868
55,33.097,0.802,0.14,16489,0.114628
56,14.787,0.799,0.5,16788,0.064272
57,20.209,0.796,0.39,17087,0.071276
58,17.936,0.793,0.4,17386,0.067386
59,34.927,0.789,0.18,17685,0.118947
60,37.593,0.786,0.18,17985,0.126437
61,22.547,0.783,0.38,18285,0.086062
62,31.172,0.78,0.27,18585,0.108287
63,29.848,0.777,0.31,18885,0.101177
64,17.918,0.774,0.34,19184,0.083326
65,25.725,0.771,0.28,19483,0.107902
66,34.764,0.768,0.24,19783,0.117613
67,25.727,0.764,0.39,20082,0.087317
68,33.68,0.761,0.2,20382,0.119188
69,18.9,0.758,0.48,20682,0.069444
70,27.428,0.755,0.43,20982,0.094012
71,13.26,0.752,0.62,21281,0.06613
72,22.089,0.749,0.48,21580,0.077168
73,30.681,0.746,0.28,21879,0.10478
74,19.769,0.743,0.51,22179,0.070133
75,31.263,0.74,0.28,22479,0.110062
76,12.371,0.737,0.63,22778,0.0619
77,35.045,0.734,0.29,23078,0.118442
78,31.479,0.732,0.27,23377,0.112691
79,22.958,0.729,0.4,23677,0.085459
80,28.336,0.726,0.32,23976,0.10087
81,32.888,0.723,0.28,24276,0.110692
82,22.901,0.72,0.36,24575,0.082212
83,14.825,0.717,0.59,24875,0.065858
84,34.731,0.714,0.33,25174,0.11707
85,28.817,0.711,0.39,25473,0.101704
86,33.892,0.708,0.31,25773,0.115389
87,25.996,0.706,0.51,26073,0.087786
88,37.69,0.703,0.39,26372,0.127501
89,12.191,0.7,0.95,26672,0.057975
90,21.061,0.697,0.64,26972,0.085023
91,35.062,0.694,0.4,27271,0.121815
92,20.658,0.692,0.66,27571,0.081021
93,26.931,0.689,0.69,27871,0.100424
94,33.988,0.686,0.58,28170,0.1148
95,28.534,0.683,0.72,28469,0.096831
96,33.316,0.681,0.67,28768,0.11369
97,22.884,0.678,0.65,29068,0.081839
98,23.528,0.675,0.83,29368,0.088562
99,28.78,0.672,0.82,29668,0.100889
100,28.23,0.67,0.85,29967,0.095493
101,34.668,0.667,0.62,30267,0.122123
102,26.791,0.664,0.61,30566,0.092422
103,24.114,0.662,0.5,30865,0.092698
104,36.669,0.659,0.48,31165,0.124002
105,26.062,0.656,0.62,31465,0.094389
106,38.523,0.654,0.42,31764,0.131162
107,30.682,0.651,0.6,32063,0.104768
108,31.79,0.649,0.55,32363,0.110147
109,21.499,0.646,0.67,32663,0.080563
110,38.129,0.643,0.48,32963,0.131845
111,22.903,0.641,0.6,33262,0.089344
112,33.091,0.638,0.6,33561,0.112308
113,19.151,0.636,0.74,33860,0.067346
