Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,30.346,0.996,0.04,300,0.10334
2,15.32,0.992,0.33,600,0.055284
3,18.547,0.988,0.25,900,0.065456
4,21.441,0.984,0.31,1200,0.076209
5,20.881,0.98,0.31,1500,0.083932
6,22.401,0.976,0.26,1800,0.083587
7,22.484,0.972,0.18,2100,0.085704
8,5.565,0.968,0.43,2400,0.057662
9,18.811,0.965,0.27,2700,0.070577
10,37.071,0.961,0.14,3000,0.125694
11,28.205,0.957,0.1,3300,0.10183
12,26.361,0.953,0.22,3600,0.097717
13,17.526,0.949,0.33,3900,0.068516
14,25.68,0.945,0.15,4200,0.086861
15,16.152,0.942,0.37,4500,0.062805
16,29.654,0.938,0.25,4799,0.103026
17,10.327,0.934,0.33,5099,0.062263
18,12.482,0.93,0.56,5399,0.066098
19,35.119,0.927,0.16,5699,0.122829
20,33.734,0.923,0.1,5999,0.117565
21,11.118,0.919,0.5,6298,0.061691
22,20.199,0.916,0.33,6598,0.079951
23,15.907,0.912,0.34,6897,0.058492
24,22.141,0.908,0.3,7197,0.081323
25,32.09,0.905,0.1,7497,0.112152
26,30.922,0.901,0.14,7797,0.108611
27,10.944,0.897,0.63,8097,0.060987
28,18.51,0.894,0.39,8397,0.069938
29,20.523,0.89,0.38,8697,0.071978
30,21.865,0.887,0.28,8996,0.083431
31,30.551,0.883,0.79,9295,0.112874
32,17.11,0.88,1.37,9595,0.063409
33,18.295,0.876,0.74,9894,0.063538
34,34.089,0.873,0.18,10193,0.116406
35,25.438,0.869,0.25,10493,0.090993
36,18.596,0.866,0.41,10793,0.072436
37,32.067,0.862,0.24,11093,0.110438
38,17.719,0.859,0.42,11392,0.069023
39,31.231,0.855,0.3,11692,0.107143
40,22.097,0.852,0.37,11992,0.084047
41,18.327,0.848,0.3,12291,0.083066
42,31.269,0.845,0.13,12591,0.114258
43,28.657,0.842,0.38,12890,0.10394
44,26.948,0.838,1.09,13190,0.09706
45,32.836,0.835,0.52,13490,0.116998
46,13.059,0.832,1.76,13789,0.065219
47,30.977,0.828,0.77,14089,0.109699
48,34.78,0.825,0.62,14388,0.119188
49,28.534,0.822,1.2,14688,0.097631
50,34.029,0.818,0.92,14987,0.11721
51,35.055,0.815,0.71,15287,0.125273
52,27.224,0.812,1.43,15587,0.094711
53,17.268,0.809,1.84,15887,0.06581
54,31.502,0.805,1.23,16187,0.109258
55,17.734,0.802,1.85,16487,0.06924
56,25.825,0.799,1.5,16786,0.0901
57,34.45,0.796,0.76,17085,0.116668
58,32.29,0.793,0.71,17385,0.114977
59,16.464,0.789,1.81,17684,0.062698
60,7.712,0.786,1.95,17984,0.058855
61,33.097,0.783,0.71,18284,0.112542
62,17.496,0.78,1.77,18583,0.069298
63,36.156,0.777,0.74,18882,0.122097
64,19.312,0.774,1.81,19182,0.073648
65,20.255,0.771,1.87,19481,0.073422
66,25.451,0.768,1.61,19781,0.091994
67,19.246,0.764,1.8,20081,0.070511
68,15.989,0.761,2.21,20381,0.062324
69,33.973,0.758,1.08,20681,0.114822
70,32.685,0.755,1.14,20980,0.11271
71,20.236,0.752,1.76,21279,0.070336
72,33.311,0.749,1.15,21578,0.113701
73,33.259,0.746,0.93,21877,0.11875
74,29.718,0.743,1.47,22177,0.105036
75,36.88,0.74,1.01,22477,0.126804
76,24.15,0.737,1.75,22777,0.086817
77,30.908,0.734,1.33,23077,0.106686
78,32.859,0.732,0.93,23376,0.11862
79,27.021,0.729,1.67,23676,0.098893
80,30.196,0.726,1.71,23976,0.106306
81,13.101,0.723,2.29,24276,0.059522
82,31.883,0.72,1.34,24576,0.108916
83,32.493,0.717,1.28,24875,0.112301
84,32.291,0.714,1.36,25175,0.109154
85,14.91,0.711,2.05,25474,0.070808
86,17.127,0.708,2.02,25773,0.067474
87,35.371,0.706,1.07,26073,0.121128
88,13.855,0.703,2.46,26373,0.059551
89,24.231,0.7,2.09,26672,0.086509
90,26.867,0.697,1.58,26971,0.093569
91,28.928,0.694,1.67,27271,0.098162
92,25.296,0.692,1.73,27570,0.086125
93,31.501,0.689,1.45,27869,0.105927
94,33.62,0.686,1.47,28168,0.119458
95,37.189,0.683,1.04,28467,0.12805
96,19.167,0.681,2.33,28766,0.06807
97,26.731,0.678,2.0,29065,0.090957
98,30.457,0.675,1.61,29364,0.103643
99,25.676,0.672,1.75,29664,0.086981
100,32.688,0.67,1.37,29964,0.113783
101,35.667,0.667,1.42,30263,0.120276
102,37.741,0.664,1.18,30562,0.128572
103,36.341,0.662,1.23,30861,0.126122
104,10.785,0.659,2.47,31160,0.059971
105,27.531,0.656,2.03,31459,0.095919
106,27.886,0.654,1.81,31758,0.096863
107,26.839,0.651,2.31,32058,0.102885
108,22.653,0.649,2.32,32357,0.084703
109,24.284,0.646,2.05,32656,0.088453
110,29.676,0.643,1.79,32956,0.107388
111,21.258,0.641,1.75,33255,0.081825
112,31.462,0.638,1.83,33555,0.121452
113,37.238,0.636,1.5,33854,0.128802
114,28.434,0.633,2.07,34154,0.100218
115,30.168,0.631,2.13,34453,0.102486
116,22.186,0.628,2.53,34752,0.079284
117,28.795,0.626,2.47,35051,0.1019
118,21.022,0.623,2.73,35351,0.07773
119,31.627,0.621,1.84,35650,0.108902
120,36.414,0.618,1.46,35950,0.128425
121,37.015,0.616,1.56,36249,0.124913
122,34.46,0.613,1.5,36548,0.127224
123,23.233,0.611,2.32,36848,0.085267
124,31.92,0.608,1.72,37147,0.113111
125,36.127,0.606,1.89,37446,0.124675
126,25.96,0.603,2.26,37745,0.09657
127,40.709,0.601,1.59,38045,0.138914
128,24.34,0.599,2.29,38344,0.083639
129,17.395,0.596,2.56,38644,0.066553
130,31.085,0.594,2.14,38943,0.107326
131,34.175,0.592,2.3,39243,0.115166
132,38.44,0.589,1.83,39542,0.132508
133,38.657,0.587,1.66,39841,0.130393
134,31.241,0.584,2.07,40140,0.106087
135,35.296,0.582,2.15,40439,0.119347
136,34.407,0.58,1.99,40738,0.116263
137,21.465,0.577,2.81,41037,0.079327
138,17.947,0.575,2.94,41337,0.074833
139,32.067,0.573,2.62,41637,0.108513
140,19.065,0.571,2.9,41936,0.069652
141,17.49,0.568,3.0,42236,0.0645
142,9.51,0.566,2.94,42535,0.084336
143,17.381,0.564,2.9,42835,0.069711
144,38.561,0.561,1.83,43134,0.135117
145,40.449,0.559,1.77,43433,0.13709
146,18.338,0.557,2.91,43732,0.069487
147,36.211,0.555,1.85,44031,0.12368
148,9.591,0.553,3.3,44330,0.065869
149,24.557,0.55,2.63,44629,0.086502
150,27.659,0.548,2.64,44928,0.094915
151,22.387,0.546,2.81,45228,0.076873
152,22.267,0.544,3.26,45526,0.077023
153,37.754,0.542,1.74,45825,0.126233
154,25.971,0.539,2.32,46124,0.090557
155,35.664,0.537,2.16,46423,0.120607
156,25.087,0.535,2.71,46722,0.088734
157,38.113,0.533,1.71,47021,0.130043
158,26.674,0.531,2.54,47321,0.095688
159,25.093,0.529,2.58,47620,0.085618
160,36.118,0.527,2.03,47919,0.122331
161,26.033,0.525,2.81,48219,0.090259
162,38.676,0.522,1.93,48518,0.131797
163,16.39,0.52,3.11,48817,0.065862
164,36.366,0.518,2.06,49116,0.122606
165,26.402,0.516,2.55,49415,0.088801
166,27.03,0.514,2.57,49714,0.102913
167,37.395,0.512,1.87,50013,0.128574
168,35.869,0.51,2.04,50312,0.120789
169,25.849,0.508,2.59,50611,0.09468
170,25.811,0.506,2.85,50910,0.088047
171,19.424,0.504,3.11,51209,0.069718
172,22.8,0.502,2.98,51508,0.077908
173,21.455,0.5,3.14,51807,0.083146
174,33.065,0.498,2.8,52106,0.11134
175,26.739,0.496,3.03,52406,0.09001
176,21.239,0.494,2.93,52705,0.083029
177,37.648,0.492,2.04,53004,0.127149
178,23.78,0.49,2.84,53304,0.08369
179,37.767,0.488,2.35,53603,0.127082
180,32.657,0.486,2.7,53902,0.11084
181,28.262,0.484,2.51,54202,0.102006
182,23.459,0.482,3.18,54501,0.082495
183,37.872,0.48,2.21,54800,0.130026
184,20.145,0.478,3.28,55100,0.077614
185,31.838,0.476,2.69,55399,0.106525
186,26.432,0.475,3.13,55698,0.096089
187,37.646,0.473,2.16,55997,0.12665
188,22.1,0.471,3.29,56296,0.079408
189,31.695,0.469,2.97,56595,0.107413
190,34.53,0.467,2.7,56894,0.116965
191,20.01,0.465,3.32,57193,0.070134
192,33.305,0.463,2.69,57492,0.113377
193,34.965,0.461,2.66,57791,0.118905
194,38.724,0.46,2.47,58090,0.133631
195,16.827,0.458,3.6,58389,0.07019
196,20.334,0.456,3.25,58689,0.071798
197,37.515,0.454,2.42,58988,0.125993
198,22.886,0.452,3.08,59287,0.077583
199,39.143,0.45,2.17,59586,0.131641
200,39.301,0.449,2.18,59885,0.134327
201,37.538,0.447,2.36,60185,0.130215
202,40.861,0.445,2.25,60484,0.139623
203,37.227,0.443,2.34,60783,0.126932
204,33.421,0.441,2.85,61082,0.11148
205,21.173,0.44,3.27,61381,0.083347
206,29.312,0.438,2.75,61680,0.109872
207,33.127,0.436,3.06,61979,0.11604
208,36.251,0.434,2.26,62278,0.125233
209,22.668,0.433,3.1,62578,0.078875
210,36.126,0.431,2.49,62877,0.121207
211,29.785,0.429,3.05,63176,0.099414
212,35.28,0.428,2.9,63475,0.118339
213,32.779,0.426,2.98,63774,0.113788
