Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
1,-58.08995343881706,300,131.99,0.117448,210107.670078,0.011887,-0.0,1.0,-951.6689
2,-87.36573132254955,300,116.72,-0.019722,28431.584404,0.051383,-0.0,1.0,-330.68213
3,-109.29673924560286,300,60.03,-0.013072,44730.910234,0.0105,-0.0,1.0,-510.98657
4,-66.56461556120648,300,65.09,-0.007671,262601.671875,0.01,0.0,1.0,-1099.8213
5,-52.27131513267878,300,67.77,0.00065,152753.417344,0.01,0.0,1.0,-779.1161
6,-51.09860610769702,300,65.64,0.001214,128761.497344,0.01,-0.0,1.0,-706.2193
7,-60.09573414800686,300,65.09,-0.002798,226169.743672,0.01,0.0,1.0,-997.80237
8,-63.54923683219136,300,66.46,0.001878,231463.102109,0.01,0.0,1.0,-1025.285
9,-60.624992936356584,300,65.64,0.003763,227195.338672,0.01,0.0,1.0,-1023.3106
10,-70.66839255021073,300,64.85,0.007096,332528.476875,0.01,0.0,1.0,-1284.8948
11,-53.287880259471144,300,65.89,-0.000844,158071.11625,0.01,0.0,1.0,-797.2746
12,-62.892456323138155,300,64.51,0.001282,244192.720547,0.01,-0.0,1.0,-1046.805
13,-64.16759936191755,300,64.59,-0.00342,275166.319375,0.01,0.0,1.0,-1123.0756
14,-70.31533634715451,300,70.08,0.001777,316926.271875,0.01,-0.0,1.0,-1234.8431
15,-56.3937171834899,300,65.57,0.001701,173590.606172,0.01,-0.0,1.0,-854.39746
16,-67.13129694379697,300,65.41,-0.000597,288421.464492,0.01,0.0,1.0,-1166.0007
17,-72.42068470250288,300,65.4,-0.003985,356006.396562,0.01,0.0,1.0,-1313.7865
18,-71.97902009606548,300,65.37,-0.002655,354585.617812,0.01,0.0,1.0,-1311.6582
19,-68.91664606437334,300,65.12,-9.8e-05,282921.525313,0.01,0.0,1.0,-1165.9073
20,-68.13580119375575,300,65.18,-0.001633,322491.465625,0.01,0.0,1.0,-1233.9248
21,-66.74837801087801,300,64.62,-0.000669,280155.182969,0.01,-0.0,1.0,-1145.0259
22,-70.88444791740248,300,65.66,0.001161,316982.219375,0.01,0.0,1.0,-1240.2809
23,-53.99575975371429,300,65.69,-0.001831,149627.336016,0.01,-0.0,1.0,-777.3191
24,-75.78286595559321,300,69.89,0.000952,383623.975,0.01,0.0,1.0,-1388.2405
25,-66.52092074592078,300,65.23,0.00022,277247.203437,0.01,-0.0,1.0,-1148.0212
26,-72.88371506439685,300,65.78,-0.004493,376606.737031,0.01,0.0,1.0,-1347.1453
27,-52.54275741093921,300,66.8,-0.001803,136775.136172,0.01,0.0,1.0,-736.15326
28,-69.43399908172634,300,71.93,-0.000487,332428.657734,0.01,0.0,1.0,-1259.487
29,-76.45025223093403,300,79.16,-0.004186,386664.555781,0.01,-0.0,1.0,-1397.032
30,-66.38625591580136,300,67.39,-0.000672,283939.879844,0.01,-0.0,1.0,-1154.587
31,-73.20296761319494,300,69.99,-0.006115,375730.994766,0.01,-0.0,1.0,-1345.5785
32,-69.25875715193897,300,71.82,-0.001409,312286.793594,0.01,0.0,1.0,-1225.2142
33,-63.8356525629253,300,76.95,-0.000319,244350.486563,0.01,-0.0,1.0,-1063.0947
34,-54.068042605542615,300,80.62,0.000913,173907.635664,0.01,0.0,1.0,-849.78894
35,-62.11865302206211,300,80.23,-0.004244,235702.119609,0.01,0.0,1.0,-1024.8246
36,-69.09832532787081,300,73.66,-0.004687,305496.1275,0.01,-0.0,1.0,-1190.744
37,-56.59044789385698,300,77.03,-0.003915,171449.619453,0.01,-0.0,1.0,-839.9748
38,-61.592941948623796,300,79.21,0.002125,216694.767891,0.01,-0.0,1.0,-980.6779
39,-60.47058463422098,300,73.95,0.003218,217872.412656,0.01,-0.0,1.0,-978.9052
40,-70.85374549692733,300,95.73,-0.001474,331974.784219,0.01,0.0,1.0,-1269.8766
41,-54.21998716771445,300,76.2,-0.001995,164975.882266,0.01,-0.0,1.0,-813.5237
42,-49.88202096724821,300,74.82,-0.003269,133883.170352,0.01,-0.0,1.0,-709.21893
