Episode,Reward,Loss,Duration_s,Epsilon
1,21.27480104,0,0.92,0.995
2,17.45904352,0,1.16,0.99
3,16.10412635,0,1.61,0.985
4,12.81219332,0.005523523,84.59,0.98
5,25.97317876,0.002105923,115.36,0.975
6,26.78504774,0.004039122,72.32,0.97
7,19.48018413,0.002211057,55.55,0.966
8,21.49446828,0.001739902,58.36,0.961
9,28.54384786,0.001456267,60.64,0.956
10,12.80203168,0.002520863,57.5,0.951
11,28.17887617,0.002155865,57.53,0.946
12,18.48641985,0.001896748,57.99,0.942
13,12.38190353,0.001119614,58.64,0.937
14,31.02946775,0.002854702,57.48,0.932
15,26.00933725,0.001631765,58.56,0.928
16,10.1033723,0.001302676,57.58,0.923
17,22.22917873,0.002382872,56.56,0.918
18,25.03671152,0.00146399,57.43,0.914
19,14.64601934,0.001300016,63.33,0.909
20,18.29049351,0.00165845,58.6,0.905
21,16.3443641,0.001902121,58.26,0.9
22,32.47014051,0.001633988,58.47,0.896
23,30.45401068,0.001157249,57.65,0.891
24,16.72747434,0.001425889,59.78,0.887
25,18.14324039,0.004641614,57.33,0.882
26,32.21886228,0.00103572,57.37,0.878
27,17.36153758,0.002588758,58.35,0.873
28,17.20139713,0.002441638,59.63,0.869
29,19.54028337,0.00160074,58.76,0.865
30,27.1968761,0.002914797,62.85,0.86
31,28.05553142,0.002699878,57.98,0.856
32,28.77483018,0.002291638,58.82,0.852
33,10.0286881,0.001749441,59.34,0.848
34,5.27089102,0.001333638,63.93,0.843
35,26.77941125,0.001325936,65.77,0.839
36,16.80472646,0.001708502,72.56,0.835
37,24.99264204,0.001532679,58.76,0.831
38,30.22952632,0.003780407,63.51,0.827
39,21.77434073,0.013341893,66.05,0.822
40,22.98388783,0.002173806,71.63,0.818
41,13.34445239,0.002163473,77.13,0.814
42,15.16555297,0.003557832,72,0.81
43,17.90434914,0.001360932,75.25,0.806
44,25.02960108,0.002547126,67.74,0.802
45,1.853604813,0.002496964,74.17,0.798
46,26.33543388,0.001560849,70.88,0.794
47,30.96102252,0.002946652,74.08,0.79
48,26.88109386,0.002913687,92.49,0.786
49,13.95330902,0.004218083,58.59,0.782
50,16.47766329,0.002324411,69.86,0.778
51,29.79858492,0.001271885,60.58,0.774
52,28.84080932,0.003965371,59.21,0.771
53,19.97815274,0.001648995,59.91,0.767
54,22.15755722,0.003106371,60.39,0.763
55,34.91959661,0.00334518,64.57,0.759
56,36.61662134,0.004066683,62.57,0.755
57,33.1442087,0.003367593,60.34,0.751
58,25.42421623,0.001024319,62.02,0.748
59,-5.508168221,0.00318968,66,0.744
60,17.06885934,0.002585427,64.07,0.74
61,34.62400285,0.001574492,71.92,0.737
62,33.48600987,0.002985134,36.98,0.733
63,22.45937758,0.001922076,36.84,0.729
64,29.08722717,0.001121007,37.4,0.726
65,30.30211262,0.001959836,38.68,0.722
66,12.59171258,0.001061651,39.47,0.718
67,28.49687905,0.002245177,38.94,0.715
68,31.25397359,0.004659804,44.12,0.711
69,17.11012691,0.004905317,46.5,0.708
70,25.11675849,0.003109046,45.37,0.704
71,13.8318641,0.0016137,45.91,0.701
72,-1.305670045,0.001209404,45.79,0.697
73,34.21940648,0.003330238,45.78,0.694
74,32.25342234,0.004202601,45.56,0.69
75,20.77833993,0.002107909,45.32,0.687
76,20.0128835,0.001944782,46.08,0.683
77,35.69139825,0.002563259,45.51,0.68
78,15.56144752,0.000781936,46.42,0.676
79,28.3800661,0.0022058,45.61,0.673
80,31.69631219,0.001080356,46,0.67
81,33.1806256,0.00230528,46.11,0.666
82,32.88724777,0.004189148,46.16,0.663
83,30.59227561,0.00200337,45.94,0.66
84,31.67056933,0.002680881,46.28,0.656
85,30.06661398,0.004500033,46.25,0.653
86,32.84572885,0.001582152,46.48,0.65
87,-2.651319724,0.000996607,47.28,0.647
88,24.05188393,0.000711289,48.12,0.643
89,24.30434031,0.003786173,47.3,0.64
90,8.18465394,0.004007054,46.89,0.637
91,33.45505816,0.002405174,46.91,0.634
92,34.27275847,0.001064934,47.67,0.631
93,34.48883856,0.00216685,46.84,0.627
94,30.83830702,0.001675324,46.99,0.624
95,33.76302153,0.000596254,47.1,0.621
96,38.10072255,0.001628965,47.09,0.618
97,26.55894669,0.002089649,47.31,0.615
98,29.11698777,0.001484985,46.9,0.612
99,37.00508465,0.001160468,47.08,0.609
100,29.79720898,0.004063922,47.44,0.606
101,31.43669563,0.002871048,47.27,0.603
102,33.24536066,0.000433605,47.26,0.6
103,27.24623596,0.000681847,47.61,0.597
104,21.51606891,0.00169247,47.92,0.594
105,33.67001513,0.001520534,47.59,0.591
106,18.9589929,0.002198741,47.97,0.588
107,37.12942626,0.002313227,48.12,0.585
108,30.05468378,0.000644282,47.85,0.582
109,29.80657301,0.004070573,48.08,0.579
110,13.21179982,0.000826046,48.45,0.576
111,21.00112665,0.002606361,48.32,0.573
112,18.14822173,0.003352778,48.22,0.57
113,28.03105472,0.000756523,48.05,0.568
114,24.27595006,0.003441858,48.24,0.565
115,31.54488062,0.001013891,49.16,0.562
116,38.02891944,0.002663886,48.22,0.559
117,18.68133491,0.001450062,49.03,0.556
118,33.80696093,0.001150495,48.67,0.554
119,31.65976431,0.002104145,49.07,0.551
120,29.80767612,0.00315354,49.46,0.548
121,32.43803213,0.003386312,49.17,0.545
122,26.78309405,0.00144369,49.41,0.543
123,30.7776212,0.002582639,50.21,0.54
124,20.83271821,0.002579014,52.94,0.537
125,29.59517847,0.002468117,49.49,0.534
126,30.93820048,0.004452875,49.64,0.532
127,26.2060247,0.002788953,50.57,0.529
128,30.2941722,0.002172057,49.78,0.526
129,27.51093599,0.003259104,49.74,0.524
130,20.46301506,0.000812043,50.37,0.521
