Episode,Reward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,21.56,4.54,9.069364548,29.12915611,1.902962685,0,2.15
2,9.35,1.32,1.94438231,6.137907505,1.909591436,0,1.69
3,24.76,5.56,9.931610107,33.42220306,1.908380985,0,1.32
4,32.95,7.76,13.73854065,62.81681824,1.902944326,0,1.15
5,5.4,0.28,-1.110155225,7.157211304,1.838975668,0,1.37
6,18.42,3.96,5.97781086,14.09283066,1.884485483,0,1.35
7,23.25,5.33,8.397538185,24.22624016,1.902384639,0,1.37
8,30.17,7.09,11.89655209,45.43191528,1.910333514,0,1.1
9,20.51,4.36,6.407840729,17.18711662,1.910261631,0,1.41
10,33.41,7.93,12.5473175,51.47229385,1.899435401,0,1.07
11,28.08,6.54,9.887399673,32.13138199,1.904805899,0,1.18
12,12.57,2.23,0.490662068,4.294104576,1.89656353,0,1.71
13,-1.18,-1.51,-6.540450573,15.14258289,1.860592484,0,1.78
14,22.69,4.93,6.651528835,18.26323318,1.897584796,0,1.29
15,31.23,7.26,9.191269875,29.81424141,1.901248217,0,1.53
16,24.16,5.18,5.968222141,14.71179485,1.908399105,0,1.66
17,17.92,3.63,2.454297781,7.830573082,1.823848248,0,1.53
18,19.72,4.22,2.070032358,6.752977848,1.895719171,0,1.96
19,29.26,6.73,7.927409172,24.82939529,1.9097929,0,1.38
20,26.76,6.05,7.127178669,19.56132507,1.893785,0,1.52
21,33.07,7.94,8.565629005,28.29808998,1.907904506,0,2
22,-3.22,-1.86,-8.200509071,23.91922569,1.787753701,0,1.79
23,17.34,3.38,-0.000912711,2.434072018,1.900797486,0,1.16
24,21.93,4.83,3.079565525,6.225016594,1.914965868,0,1.88
25,5.83,0.39,-4.830951214,7.89547205,1.901096344,0,2.43
26,19.91,4.23,-1.3425318,3.371093273,1.904706001,0,4.36
27,17.9,3.72,2.183620691,2.935520172,1.916805983,0,2.69
28,28.57,6.46,3.398479939,7.069167614,1.914137959,0,2.01
29,22.07,4.79,2.713546038,4.220406055,1.918985367,0,2.75
30,5.78,0.22,-6.927531719,14.46286964,1.895980477,0,2.75
31,30.51,7.11,0.740273356,3.285000324,1.905799747,0,2.38
32,21.27,4.74,-0.48659423,1.986475587,1.911096454,0,3.03
33,14.28,2.75,-2.396737337,3.051019192,1.90702188,0,2.49
34,4.89,0.05,-7.019579411,15.18917179,1.897134781,0,1.63
35,19.64,4.18,0.874806702,1.570711017,1.908467174,0,1.48
36,9.23,1.28,-3.552731037,3.954604149,1.914171934,0,2.27
37,20.25,4.24,-1.557021022,1.931827426,1.906115294,0,2.16
38,30.82,7.22,1.989459872,3.498639345,1.912250519,0,1.78
39,15.43,2.81,-4.073243141,4.977299213,1.908088565,0,1.32
40,33.29,7.88,1.713209033,2.926248789,1.909569263,0,0.92
41,13.67,2.49,-5.708310127,9.851748466,1.900022984,0,1.56
42,22.43,5.17,-0.164720759,1.56802547,1.909564257,0,1.34
43,29.06,6.9,2.790823221,7.085362911,1.909338951,0,0.91
44,13.24,2.38,-2.780553341,2.705281258,1.911495209,0,1.27
45,1.62,-0.74,-5.714490414,9.840212822,1.89748311,0,1.42
46,30.77,6.97,-16.48031235,408.0496521,1.837403536,0,1.34
47,28.7,6.68,1.038622737,2.31637311,1.904322505,0,1.54
48,26.78,6.22,0.192858934,6.095658779,1.894035697,0,1.55
