Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
1,-56.46073408914318,300,44.52,0.161989,156369.758008,0.014072,-0.0,1.0,-1013.6422
2,-122.16164294459752,300,41.43,0.001803,292361.793125,0.01,0.0,1.0,-1294.9819
3,-100.94175466789105,300,42.55,0.002644,288139.087891,0.010113,0.0,1.0,-1247.5477
4,-102.21851057191967,300,42.66,-0.001243,276062.976172,0.01,0.0,1.0,-1240.0878
5,-107.12319170728269,300,42.87,-0.001028,331045.096406,0.01,-0.0,1.0,-1357.5249
6,-120.21818593864049,300,43.29,-0.000291,282075.177031,0.01,0.0,1.0,-1267.599
7,-107.39466165147985,300,42.79,9.2e-05,312873.966562,0.01,0.0,1.0,-1326.0496
8,-119.76839637635082,300,48.5,-0.001522,287179.718906,0.01,0.0,1.0,-1274.6531
9,-101.02873607873607,300,48.52,0.117814,264682.127188,0.010062,-0.0,1.0,-1217.2881
10,-55.25837659814935,300,48.98,-0.009652,119689.928789,0.01,0.0,1.0,-703.1539
11,-70.28607255539077,300,49.03,0.003185,228813.263828,0.01,-0.0,1.0,-1063.5208
12,-65.66880076993714,300,49.12,-0.003683,191199.08,0.01,-0.0,1.0,-947.1399
13,-58.4628652492289,300,48.89,0.003735,135285.093711,0.01,0.0,1.0,-778.298
14,-65.54627304513669,300,49.35,0.002975,190248.624531,0.01,0.0,1.0,-952.6976
15,-63.90985731440278,300,49.26,-0.001433,173605.260352,0.01,-0.0,1.0,-897.40094
16,-58.753791410609594,300,49.28,0.000449,155284.076797,0.01,0.0,1.0,-835.9211
17,-61.79120223211133,300,49.02,-0.00318,179660.153945,0.01,0.0,1.0,-897.9913
18,-59.23492412469681,300,49.07,0.003555,138283.325313,0.01,0.0,1.0,-796.3056
19,-61.82627469332014,300,49.24,-0.000309,164478.744688,0.01,0.0,1.0,-873.55884
20,-57.476515445833634,300,49.54,0.000116,143215.386719,0.01,-0.0,1.0,-797.3804
21,-67.04611087565637,300,49.13,-0.002991,209888.677344,0.01,-0.0,1.0,-1004.8401
22,-72.11445545195545,300,49.42,0.001646,259251.518125,0.01,0.0,1.0,-1140.5001
23,-49.44059652468742,300,49.27,0.002678,91580.015937,0.01,0.0,1.0,-608.8826
24,-71.89437557392101,300,49.05,-0.005236,259642.202891,0.01,0.0,1.0,-1126.7653
25,-65.29809428786699,300,49.61,-0.008315,185848.817422,0.01,-0.0,1.0,-938.6106
26,-69.76005509641871,300,49.13,-0.001989,241578.265156,0.01,0.0,1.0,-1085.5698
27,-52.01625256057075,300,49.54,0.000996,102151.834805,0.01,0.0,1.0,-652.91846
28,-57.21092569047113,300,49.57,-0.003312,140828.436914,0.01,-0.0,1.0,-782.7591
