Episode,TotalReward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,-25.98,-9.41,-15.345195770263672,119.91083526611328,1.869836449623108,0,4.28
2,-48.98,-15.61,-28.1027774810791,266.7718811035156,1.9166291952133179,0,3.69
3,-42.79,-14.27,-26.23461151123047,246.7321319580078,1.9250156879425049,0,3.94
4,-41.78,-13.89,-25.344955444335938,231.5859832763672,1.9287688732147217,0,3.82
5,-58.61,-18.57,-33.38697052001953,376.8802185058594,1.9260011911392212,0,4.21
6,-48.35,-15.68,-27.555206298828125,274.4775390625,1.9261457920074463,0,4.05
7,-28.0,-10.19,-16.85555076599121,132.25711059570312,1.9105802774429321,0,3.36
8,-59.14,-18.59,-30.261438369750977,336.2462463378906,1.8616198301315308,0,4.38
9,-34.93,-12.07,-19.27292823791504,161.14501953125,1.91895592212677,0,3.62
10,-44.67,-14.8,-23.871870040893555,223.33447265625,1.916798710823059,0,4.28
11,-57.66,-18.18,-28.95347023010254,304.80938720703125,1.9216758012771606,0,4.45
12,-47.81,-15.64,-23.75141143798828,238.7647705078125,1.9188220500946045,0,4.33
13,-30.0,-10.66,-14.417840003967285,116.30621337890625,1.9172838926315308,0,3.83
14,-43.61,-14.35,-19.788909912109375,179.30853271484375,1.902669906616211,0,4.01
15,-47.71,-15.63,-21.8203125,216.63311767578125,1.9148622751235962,0,4.23
16,-39.25,-13.08,-15.922022819519043,133.61570739746094,1.9205161333084106,0,1.4
17,-35.99,-12.38,-11.944079399108887,111.35735321044922,1.817853569984436,0,1.15
18,-51.1,-16.46,-20.89358139038086,211.1717529296875,1.9190400838851929,0,1.59
19,-34.13,-11.82,-11.058208465576172,104.4792251586914,1.8925691843032837,0,1.05
20,-39.6,-13.19,-12.632516860961914,119.06778717041016,1.919340968132019,0,1.27
21,-54.12,-17.16,-18.745744705200195,187.8029022216797,1.916670560836792,0,1.02
22,-41.34,-13.73,-12.285375595092773,119.32112121582031,1.915940761566162,0,1.79
23,-34.3,-11.88,-8.485917091369629,91.1149673461914,1.9067633152008057,0,3.2
24,-47.71,-15.61,-10.794084548950195,117.92086029052734,1.7997974157333374,0,3.86
25,-44.42,-14.68,-11.518497467041016,131.22610473632812,1.9101839065551758,0,3.82
26,-49.07,-15.89,-10.60183048248291,126.49251556396484,1.8431451320648193,0,3.79
27,-45.71,-15.05,-9.282516479492188,131.32591247558594,1.8831783533096313,0,4.12
28,-41.64,-13.81,-3.757664680480957,112.43683624267578,1.8180053234100342,0,3.77
29,-40.83,-13.67,-5.509873867034912,101.5141372680664,1.9021762609481812,0,3.48
30,-26.27,-9.75,2.3802218437194824,80.039794921875,1.8993192911148071,0,3.54
31,-41.52,-13.77,-3.8025574684143066,93.3250503540039,1.9045039415359497,0,3.74
32,-27.96,-10.04,2.9592251777648926,71.8828353881836,1.900773286819458,0,3.4
33,-32.9,-11.43,2.2510452270507812,97.19036102294922,1.870313286781311,0,3.62
34,-25.67,-9.43,3.9630203247070312,79.5136947631836,1.8990622758865356,0,3.77
35,-61.1,-19.24,-12.996197700500488,175.84182739257812,1.8671954870224,0,4.41
36,-45.12,-14.96,-6.9461445808410645,123.34010314941406,1.9067624807357788,0,4.33
37,-37.84,-12.81,-1.8589434623718262,97.44609069824219,1.8700929880142212,0,4.04
38,-55.6,-17.76,-9.745279312133789,146.54885864257812,1.8506473302841187,0,1.64
39,-28.93,-10.47,0.4394933879375458,77.29830169677734,1.8691884279251099,0,1.21
40,-48.1,-15.66,-8.505931854248047,113.47523498535156,1.9027019739151,0,1.49
41,-34.89,-12.12,-2.264455556869507,72.05591583251953,1.9011276960372925,0,1.48
42,-46.99,-15.34,-8.076517105102539,109.47101593017578,1.8891181945800781,0,1.4
43,-52.3,-16.82,-10.856910705566406,115.98619842529297,1.8984248638153076,0,1.19
44,-41.97,-13.98,-4.851833820343018,73.65373992919922,1.8815172910690308,0,1.11
45,-56.4,-17.91,-11.656105995178223,127.37657928466797,1.8832546472549438,0,1.32
46,-51.25,-16.45,-8.8960542678833,115.23070526123047,1.8603737354278564,0,1.22
47,-30.46,-10.83,0.14083589613437653,47.01642990112305,1.8998908996582031,0,0.97
48,-32.76,-11.36,0.46167176961898804,41.1510009765625,1.8979800939559937,0,0.97
49,-43.33,-14.34,-4.450747013092041,69.07893371582031,1.8677690029144287,0,1.17
50,-31.71,-11.11,-0.5290120840072632,42.42097473144531,1.9034299850463867,0,1.0
51,-30.52,-10.86,-0.5302826762199402,45.78031539916992,1.8994789123535156,0,1.1
52,-22.61,-8.43,5.115606307983398,36.69601058959961,1.898430585861206,0,1.03
53,-37.69,-12.81,-3.01788592338562,45.38479995727539,1.8723700046539307,0,1.03
54,-43.35,-14.31,-5.298616886138916,54.75407028198242,1.8622503280639648,0,1.14
55,-25.79,-9.47,2.7428784370422363,28.730953216552734,1.8886804580688477,0,0.99
56,-39.58,-13.31,-7.854732513427734,57.43522644042969,1.9035909175872803,0,1.14
57,-25.08,-9.43,3.119441270828247,24.4753360748291,1.8802706003189087,0,1.1
58,-41.89,-14.0,-2.399736166000366,56.4520263671875,1.7913302183151245,0,0.93
59,-26.19,-9.59,2.0435595512390137,19.957807540893555,1.8857598304748535,0,0.93
60,-30.29,-10.8,-3.5129926204681396,28.927610397338867,1.8963114023208618,0,1.08
61,-40.25,-13.55,-9.783540725708008,58.847389221191406,1.890309453010559,0,1.13
62,-46.54,-15.26,-8.911858558654785,50.72321701049805,1.8319218158721924,0,1.15
63,-40.1,-13.43,-7.329724311828613,36.05255126953125,1.8782728910446167,0,0.98
64,-17.11,-7.1,5.778804779052734,18.317428588867188,1.888218641281128,0,0.87
65,-49.33,-16.2,-11.508527755737305,69.77106475830078,1.8368821144104004,0,1.07
66,-28.7,-10.32,-1.721235752105713,14.683913230895996,1.8831974267959595,0,1.46
67,-26.62,-9.68,2.4295814037323,11.458182334899902,1.8604552745819092,0,1.1
68,-31.21,-11.12,-1.7311290502548218,12.458992958068848,1.867337703704834,0,1.0
69,-45.83,-15.11,-11.556204795837402,61.289852142333984,1.8698517084121704,0,1.25
70,-31.02,-11.11,-2.6428933143615723,13.43525505065918,1.8829524517059326,0,1.24
71,-31.15,-11.08,0.5597886443138123,21.542020797729492,1.828999400138855,0,1.35
72,-45.94,-15.07,-12.17508602142334,63.65645980834961,1.8898462057113647,0,1.42
73,-35.41,-12.26,-4.7167744636535645,17.420196533203125,1.8865102529525757,0,1.08
74,-42.71,-14.16,-10.457720756530762,51.860660552978516,1.8916234970092773,0,1.38
75,-28.31,-9.96,0.8073543906211853,18.751405715942383,1.8774499893188477,0,1.5
76,-26.43,-9.8,3.5447301864624023,9.070757865905762,1.8657283782958984,0,1.06
77,-34.95,-11.88,-0.5289416909217834,13.37318229675293,1.8694230318069458,0,1.44
78,-39.62,-13.36,-5.107917308807373,19.879478454589844,1.8510457277297974,0,1.29
79,-17.95,-7.34,11.123250961303711,36.10704040527344,1.8553017377853394,0,1.37
80,-22.76,-8.51,8.819758415222168,27.002046585083008,1.8601491451263428,0,1.17
81,-53.0,-17.08,-5.95230770111084,32.7669677734375,1.729479193687439,0,1.15
82,-51.32,-16.62,-2.7479088306427,48.74401092529297,1.6744922399520874,0,1.32
83,-25.92,-9.47,5.9479169845581055,13.300734519958496,1.858340859413147,0,1.38
84,-39.85,-13.37,-1.8184874057769775,7.030476093292236,1.8037817478179932,0,1.5
85,-36.03,-12.32,-1.0411896705627441,9.257431983947754,1.8624178171157837,0,1.04
86,-16.13,-6.68,10.90593147277832,35.367244720458984,1.8644628524780273,0,1.86
87,-32.56,-11.19,-2.70888090133667,13.485793113708496,1.8709958791732788,0,4.16
88,-18.04,-7.25,11.815164566040039,44.73655319213867,1.8513263463974,0,3.79
89,-33.84,-11.48,-0.9755203723907471,6.097306251525879,1.873192548751831,0,4.21
90,-33.71,-11.64,0.2647773325443268,3.5369327068328857,1.8532814979553223,0,4.2
91,-34.13,-11.76,2.8576648235321045,19.637622833251953,1.809096097946167,0,4.43
92,-21.25,-8.17,6.718365669250488,16.13031578063965,1.8667093515396118,0,3.58
93,-40.85,-13.78,-5.5205817222595215,17.0211181640625,1.848835825920105,0,3.97
