Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
67,-99.75953268112357,300,53.15,0.0025,30549.923044,0.01,-0.0,1.0,-378.48596
68,-105.55330078170985,300,52.58,-0.000367,20748.874778,0.01,0.0,1.0,-300.27158
69,-99.15072932118392,300,52.28,-0.001969,30586.518467,0.01,-0.0,1.0,-376.09036
70,-113.40098272939183,300,57.31,0.001778,12462.793107,0.01,0.0,1.0,-221.4487
71,-107.40713840032024,300,52.26,0.000874,19196.218677,0.01,-0.0,1.0,-290.37848
72,-102.54616090979728,300,52.66,-0.001779,26437.189341,0.01,-0.0,1.0,-346.32755
73,-102.47452703020886,300,52.24,-0.002173,24755.21032,0.01,0.0,1.0,-337.10965
74,-94.06479745002474,300,52.51,-0.001932,38622.175,0.01,0.0,1.0,-437.07504
75,-109.18427014904296,300,52.26,-0.002179,18083.387988,0.01,0.0,1.0,-273.16537
76,-98.16021343975888,300,52.41,-0.000349,34082.879927,0.01,0.0,1.0,-400.44363
77,-99.27363701113701,300,52.48,0.002122,30736.485298,0.01,-0.0,1.0,-379.40222
78,-106.7729085729085,300,52.19,0.00497,19445.99246,0.01,0.0,1.0,-291.761
79,-115.50318276000095,300,52.5,0.004593,10322.835527,0.01,-0.0,1.0,-191.76521
80,-93.14080107602831,300,52.48,-0.001082,38364.914805,0.01,0.0,1.0,-432.4516
81,-106.21355012832291,300,52.34,-0.002062,20012.966973,0.01,0.0,1.0,-293.03903
82,-99.85888812366083,300,52.3,-0.001145,28792.488999,0.01,0.0,1.0,-367.24695
83,-114.55384409361683,300,52.64,-0.000966,11170.875339,0.01,0.0,1.0,-201.71509
84,-97.33180464316828,300,52.14,-0.000516,35328.292363,0.01,-0.0,1.0,-409.77896
85,-102.95110398860402,300,52.58,0.000683,25318.142261,0.01,-0.0,1.0,-336.44412
86,-115.07620847166295,300,52.5,0.00085,10983.456349,0.01,-0.0,1.0,-201.30739
87,-112.64011060488332,300,52.5,0.001898,12318.094141,0.01,0.0,1.0,-221.29036
88,-107.36777742459557,300,52.37,0.000152,18831.712107,0.01,0.0,1.0,-285.92725
89,-112.74632425655149,300,52.55,-0.003402,12754.005435,0.01,0.0,1.0,-225.13211
90,-106.49559316945684,300,52.67,-2e-06,21067.651965,0.01,0.0,1.0,-301.5951
91,-92.93062001130188,300,52.02,-0.001458,38812.612117,0.01,-0.0,1.0,-434.38223
92,-99.22772244590423,300,52.32,-0.002921,31449.64583,0.01,0.0,1.0,-381.59653
93,-98.29687021732472,300,52.33,-0.00262,33162.651289,0.01,-0.0,1.0,-394.24924
94,-101.13101204351206,300,52.19,-0.004709,29341.207661,0.01,0.0,1.0,-362.66974
95,-117.84499099385455,300,53.01,0.000738,7909.51683,0.01,-0.0,1.0,-162.18819
96,-100.25015657742931,300,52.58,0.001117,28600.743975,0.01,0.0,1.0,-364.27783
97,-102.84589013679923,300,52.73,0.000613,25237.811572,0.01,0.0,1.0,-337.72705
98,-116.96660721433449,300,52.72,-0.00344,9344.290367,0.01,-0.0,1.0,-175.23265
99,-94.62516216948039,300,52.26,-0.0012,41443.915259,0.01,-0.0,1.0,-448.73218
100,-107.57464593487319,300,52.49,0.000817,18978.822461,0.01,-0.0,1.0,-285.84827
101,-109.72456440865533,300,53.28,0.001441,16214.67597,0.01,-0.0,1.0,-256.91885
102,-110.6476798874527,300,52.72,-2.4e-05,14636.666147,0.01,-0.0,1.0,-243.59396
103,-93.92372766122764,300,52.57,-0.003268,38459.94126,0.01,0.0,1.0,-433.56854
104,-99.09648289421018,300,52.34,-0.000383,33037.946289,0.01,-0.0,1.0,-390.24576
105,-102.81884109156836,300,52.53,-0.001841,25349.961589,0.01,-0.0,1.0,-338.90616
106,-95.22795996091457,300,52.63,-0.001037,40238.723379,0.01,-0.0,1.0,-443.35568
107,-99.84479968684508,300,52.37,-0.002715,32047.635928,0.01,0.0,1.0,-379.85947
108,-104.650370252643,300,52.71,-0.000555,22018.545405,0.01,0.0,1.0,-315.81256
109,-101.20955828683107,300,52.51,-0.000529,27515.05584,0.01,-0.0,1.0,-356.5763
110,-93.64264586423674,300,52.57,-0.000589,40673.456299,0.01,0.0,1.0,-443.6375
111,-97.18874467283555,300,52.65,-0.001509,36590.864141,0.01,0.0,1.0,-414.54794
112,-103.78252572343483,300,52.49,-0.001617,23077.418098,0.01,0.0,1.0,-321.915
113,-101.30758046667142,300,52.64,0.000367,27592.74397,0.01,0.0,1.0,-355.21323
114,-113.39805838101285,300,53.25,-8.4e-05,11719.464941,0.01,0.0,1.0,-211.36038
115,-97.73742023969305,300,52.0,-0.000634,32892.480112,0.01,-0.0,1.0,-394.29092
116,-103.84046260978081,300,52.83,-0.000474,23246.954639,0.01,0.0,1.0,-322.66626
117,-94.99794418544425,300,52.52,-0.004027,41875.512354,0.01,0.0,1.0,-450.35928
118,-114.40976636999368,300,53.26,-0.003124,10710.550779,0.01,0.0,1.0,-198.91475
119,-113.78575351416264,300,53.05,-0.000311,11241.34719,0.01,-0.0,1.0,-204.83781
120,-93.27692602010791,300,52.33,0.00222,37514.184219,0.01,-0.0,1.0,-431.31384
121,-99.1242144639872,300,52.56,0.002589,31952.071025,0.01,0.0,1.0,-388.9914
122,-106.4961815120906,300,52.89,-0.00325,21021.602905,0.01,-0.0,1.0,-301.47583
123,-94.57926438040072,300,52.47,0.001914,40242.17751,0.01,-0.0,1.0,-443.88058
124,-116.51081944150125,300,54.1,0.001176,9210.837026,0.01,0.0,1.0,-179.5182
125,-95.39882331473248,300,52.39,0.000189,40036.821638,0.01,0.0,1.0,-444.75134
126,-108.02505533187353,300,53.72,-0.000448,18373.181658,0.01,0.0,1.0,-278.27744
