Episode,TotalReward,AvgReturn,ActorLoss,CriticLoss,Entropy,IllegalActions,Duration_s
1,-31.74,-10.99,-20.38665771484375,166.10862731933594,1.8705029487609863,0,1.57
2,-39.64,-13.3,-25.431415557861328,232.02435302734375,1.9116277694702148,0,1.15
3,-44.58,-14.66,-26.60393524169922,256.6433410644531,1.898604154586792,0,1.15
4,-30.47,-10.6,-19.378910064697266,149.07574462890625,1.9115960597991943,0,0.99
5,-35.18,-11.87,-21.331562042236328,176.78529357910156,1.9114993810653687,0,1.06
6,-41.71,-13.74,-24.644582748413086,222.42025756835938,1.9021159410476685,0,1.2
7,-33.42,-11.47,-20.301193237304688,159.84193420410156,1.9029966592788696,0,1.05
8,-33.86,-11.46,-18.86794662475586,150.8433074951172,1.8985276222229004,0,1.01
9,-47.7,-15.43,-26.358993530273438,256.9818115234375,1.9051700830459595,0,1.22
10,-27.41,-9.82,-13.74941635131836,97.20410919189453,1.8882431983947754,0,1.02
11,-33.54,-11.55,-18.00189208984375,141.88571166992188,1.9038811922073364,0,1.14
12,-25.59,-9.23,-13.483198165893555,98.06231689453125,1.8976914882659912,0,1.01
13,-33.15,-11.18,-13.944332122802734,98.57453155517578,1.8702219724655151,0,0.95
14,-53.4,-16.9,-25.586713790893555,253.12132263183594,1.885412335395813,0,1.13
15,-42.28,-13.98,-19.73388671875,174.60508728027344,1.8874653577804565,0,1.03
16,-26.01,-9.13,-9.943202018737793,65.7074966430664,1.8839209079742432,0,0.99
17,-29.47,-10.27,-11.290821075439453,85.43299865722656,1.891261339187622,0,0.92
18,-40.18,-13.28,-17.396499633789062,143.19493103027344,1.8836008310317993,0,1.17
19,-28.69,-10.07,-11.197834014892578,86.30023956298828,1.8938989639282227,0,1.04
20,-29.89,-10.42,-10.81751823425293,82.86548614501953,1.8955405950546265,0,0.94
21,-44.78,-14.67,-17.539194107055664,157.98007202148438,1.8902403116226196,0,1.08
22,-44.51,-14.66,-17.088905334472656,158.6416473388672,1.8848804235458374,0,1.17
23,-26.54,-9.48,-6.905093193054199,63.3218994140625,1.8950691223144531,0,1.08
24,-33.03,-11.21,-8.104960441589355,71.90459442138672,1.8842339515686035,0,1.11
25,-37.11,-12.38,-8.892727851867676,84.46868896484375,1.8924232721328735,0,1.0
26,-42.64,-13.87,-10.842452049255371,106.53499603271484,1.8923687934875488,0,1.13
27,-39.6,-13.22,-12.25047779083252,107.93880462646484,1.8779786825180054,0,1.09
28,-43.89,-14.33,-12.526554107666016,116.87372589111328,1.8834842443466187,0,1.18
29,-26.37,-9.4,-0.2921908497810364,66.71044921875,1.8912428617477417,0,0.97
30,-27.88,-9.84,-1.004942536354065,63.2348747253418,1.8915116786956787,0,0.94
31,-41.57,-13.56,-5.33406925201416,104.79334259033203,1.8929386138916016,0,1.0
32,-25.75,-9.31,1.2393341064453125,56.45368957519531,1.8879956007003784,0,0.95
33,-4.88,-3.27,10.887410163879395,61.43690872192383,1.876642107963562,0,0.89
34,-32.39,-11.23,-3.96016526222229,58.53535842895508,1.8873034715652466,0,0.97
35,-36.54,-12.21,-5.91847038269043,64.18556213378906,1.8944103717803955,0,0.98
36,-41.38,-13.71,-8.590697288513184,81.54085540771484,1.8780195713043213,0,1.13
37,-46.31,-15.07,-13.032445907592773,116.24272155761719,1.8676515817642212,0,1.07
38,-32.69,-11.18,-3.5385522842407227,48.7523193359375,1.8900718688964844,0,0.98
39,-33.0,-11.39,-5.0581865310668945,54.807037353515625,1.880543828010559,0,1.17
40,-32.78,-11.24,-1.5097553730010986,51.576969146728516,1.8915427923202515,0,1.09
41,-26.27,-9.41,2.652766466140747,48.74640655517578,1.892029047012329,0,0.99
42,-36.77,-12.34,-3.504462718963623,54.2651252746582,1.8731095790863037,0,1.12
43,-25.57,-9.24,-0.34529373049736023,30.493268966674805,1.8848353624343872,0,0.94
44,-45.32,-14.79,-11.57991886138916,87.32361602783203,1.878057599067688,0,1.17
45,-33.72,-11.49,-1.5467500686645508,52.548927307128906,1.8898240327835083,0,0.99
46,-26.22,-9.39,-1.5508192777633667,31.039066314697266,1.880818486213684,0,0.96
47,-35.3,-11.84,-1.5493155717849731,60.6280517578125,1.8903322219848633,0,1.08
48,-46.3,-14.89,-6.812048435211182,58.730567932128906,1.8922884464263916,0,1.05
49,-23.62,-8.43,3.317966938018799,31.444557189941406,1.8823673725128174,0,0.98
50,-28.12,-9.86,1.4211785793304443,27.813232421875,1.8959425687789917,0,0.92
51,-34.42,-11.61,-0.7506238222122192,35.12805938720703,1.8939968347549438,0,1.03
52,-34.79,-11.78,-5.555331230163574,35.23203659057617,1.8897143602371216,0,0.94
53,-23.98,-8.75,0.14352484047412872,15.832600593566895,1.8823329210281372,0,1.0
54,-28.68,-10.03,0.2512021064758301,23.069873809814453,1.8926035165786743,0,0.96
55,-28.87,-10.08,-0.3696978688240051,16.411298751831055,1.890811562538147,0,0.93
56,-39.64,-13.02,-7.311049938201904,39.97695541381836,1.8745266199111938,0,1.15
57,-36.61,-12.26,-3.28076434135437,27.724987030029297,1.885063648223877,0,1.21
58,-50.07,-15.77,-9.162187576293945,61.58684158325195,1.89056396484375,0,1.17
59,-17.86,-6.92,4.111406326293945,13.952754020690918,1.8749452829360962,0,1.02
60,-29.62,-10.37,-2.8395354747772217,13.694255828857422,1.8846276998519897,0,1.11
61,-35.28,-11.84,-4.499546051025391,17.2965030670166,1.8869637250900269,0,1.15
62,-26.54,-9.53,-0.5422179102897644,8.639961242675781,1.8839197158813477,0,1.07
63,-23.89,-8.64,3.9327902793884277,14.419198036193848,1.8840582370758057,0,0.98
64,-42.17,-13.59,-5.926454544067383,26.37392234802246,1.8863539695739746,0,1.37
65,-32.54,-11.19,-1.6340283155441284,10.323282241821289,1.8799067735671997,0,1.53
