Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
139,-0.915,0.573,0.71,41640,0.106547
140,7.097,0.571,0.67,41939,0.098518
141,14.816,0.568,0.71,42238,0.089831
142,-5.866,0.566,0.84,42538,0.112516
143,6.698,0.564,0.67,42837,0.094838
144,13.422,0.561,0.81,43136,0.089241
145,-5.374,0.559,0.95,43435,0.098513
146,27.652,0.557,0.65,43735,0.099129
147,-4.773,0.555,0.91,44034,0.110949
148,0.04,0.553,0.86,44333,0.10392
149,16.665,0.55,0.7,44633,0.090154
150,13.039,0.548,0.75,44933,0.08488
151,-3.414,0.546,0.98,45232,0.108905
152,9.349,0.544,0.83,45531,0.095815
153,3.224,0.542,0.95,45831,0.080661
154,6.073,0.539,0.83,46130,0.088448
155,14.014,0.537,0.69,46429,0.089027
156,20.575,0.535,0.72,46728,0.088991
157,3.418,0.533,0.82,47027,0.081919
158,17.366,0.531,0.79,47326,0.077552
159,-1.105,0.529,0.83,47625,0.107761
160,9.171,0.527,0.84,47924,0.084258
161,25.169,0.525,0.76,48223,0.088337
162,4.936,0.522,0.89,48522,0.08598
163,27.522,0.52,0.92,48821,0.094261
164,19.079,0.518,0.88,49120,0.093447
165,-9.631,0.516,0.97,49419,0.130194
166,4.968,0.514,1.08,49718,0.082918
167,19.182,0.512,1.15,50017,0.077934
168,10.557,0.51,1.15,50316,0.091493
169,6.754,0.508,1.09,50615,0.082268
170,17.794,0.506,0.98,50914,0.089602
171,12.018,0.504,1.08,51213,0.082337
172,19.597,0.502,1.2,51512,0.081317
173,16.449,0.5,0.91,51811,0.090388
174,18.956,0.498,0.9,52110,0.08104
175,17.461,0.496,0.9,52410,0.083845
176,18.135,0.494,0.78,52709,0.080813
177,21.811,0.492,0.91,53008,0.079366
178,22.178,0.49,0.96,53308,0.083849
179,19.556,0.488,0.92,53607,0.074388
180,-6.992,0.486,1.1,53907,0.108584
181,15.37,0.484,1.22,54206,0.0758
182,-2.928,0.482,1.14,54505,0.096113
183,15.221,0.48,0.94,54804,0.079966
184,14.758,0.478,0.98,55104,0.078504
185,22.758,0.476,0.96,55403,0.08579
186,14.457,0.475,1.16,55702,0.083478
187,3.436,0.473,1.01,56002,0.093469
188,18.867,0.471,1.03,56301,0.085003
189,23.199,0.469,0.88,56600,0.094991
190,18.248,0.467,1.03,56900,0.087874
191,8.963,0.465,1.17,57199,0.099565
192,8.003,0.463,1.13,57498,0.080309
193,3.055,0.461,1.15,57797,0.092853
194,12.907,0.46,0.97,58096,0.091589
195,23.025,0.458,1.04,58395,0.086356
196,23.233,0.456,1.19,58694,0.083963
197,13.972,0.454,0.93,58993,0.079796
198,16.281,0.452,1.05,59292,0.076019
199,9.221,0.45,1.19,59591,0.072975
200,31.417,0.449,1.05,59890,0.105394
201,5.852,0.447,1.24,60189,0.083102
202,9.52,0.445,1.2,60488,0.090571
203,17.957,0.443,1.22,60787,0.074408
204,5.79,0.441,1.58,61086,0.0862
205,27.601,0.44,1.03,61385,0.093732
206,20.274,0.438,0.96,61684,0.093053
207,16.597,0.436,0.99,61983,0.094856
208,16.399,0.434,1.13,62282,0.082628
209,11.169,0.433,1.46,62581,0.083352
210,14.747,0.431,1.35,62880,0.081716
211,-7.647,0.429,2.78,63179,0.106369
212,9.612,0.428,2.68,63478,0.074841
213,25.795,0.426,2.76,63777,0.093633
214,21.654,0.424,3.16,64076,0.083342
215,17.358,0.422,3.46,64376,0.084967
216,22.955,0.421,2.92,64675,0.088812
217,19.61,0.419,2.57,64974,0.088342
218,28.103,0.417,2.66,65273,0.096197
219,20.13,0.416,2.85,65572,0.082013
220,35.286,0.414,2.54,65871,0.117675
221,15.24,0.412,3.2,66170,0.072668
222,16.543,0.411,2.91,66469,0.084577
223,13.882,0.409,3.08,66768,0.082699
224,8.355,0.407,3.35,67067,0.079764
225,14.114,0.406,3.63,67366,0.090561
226,31.02,0.404,2.79,67665,0.104615
227,24.275,0.403,3.13,67964,0.083324
228,30.713,0.401,2.63,68263,0.105185
229,16.349,0.399,3.21,68562,0.082357
230,27.344,0.398,3.02,68861,0.094382
231,25.676,0.396,2.98,69160,0.088589
232,29.232,0.395,2.47,69459,0.100008
233,12.38,0.393,2.95,69758,0.085845
234,35.375,0.391,2.63,70057,0.118015
235,23.156,0.39,2.9,70356,0.095042
236,21.525,0.388,3.18,70655,0.081852
237,8.939,0.387,3.5,70954,0.084975
238,21.875,0.385,2.62,71253,0.091504
239,17.453,0.384,3.49,71552,0.07325
240,18.254,0.382,2.95,71851,0.095617
241,27.551,0.381,3.41,72150,0.093723
242,8.084,0.379,3.7,72449,0.082398
243,9.954,0.378,4.04,72748,0.06703
244,32.374,0.376,2.71,73047,0.108874
245,27.859,0.375,3.01,73346,0.094405
246,9.139,0.373,3.71,73645,0.067806
247,26.879,0.372,3.16,73944,0.090863
248,30.792,0.37,2.95,74243,0.102989
249,38.469,0.369,2.74,74542,0.128613
250,11.063,0.367,3.65,74841,0.073091
251,11.453,0.366,4.16,75140,0.078991
252,26.547,0.364,3.24,75439,0.094415
253,17.865,0.363,3.71,75738,0.075976
254,34.968,0.361,3.06,76037,0.116605
255,17.999,0.36,4.07,76336,0.07024
256,18.362,0.358,3.69,76635,0.073434
257,19.505,0.357,3.73,76934,0.070611
258,27.565,0.356,3.33,77233,0.094164
259,11.781,0.354,4.11,77532,0.082165
260,31.294,0.353,3.19,77831,0.104542
261,17.459,0.351,3.69,78130,0.078756
262,26.468,0.35,3.18,78429,0.092248
263,13.988,0.349,4.35,78728,0.066548
264,17.878,0.347,4.26,79027,0.073341
265,25.488,0.346,3.47,79326,0.087631
266,18.597,0.344,3.94,79625,0.074084
267,32.092,0.343,3.63,79924,0.107695
268,22.054,0.342,3.92,80223,0.079773
269,29.327,0.34,3.51,80522,0.09867
270,35.293,0.339,2.97,80821,0.118123
271,11.71,0.338,3.87,81120,0.084997
272,20.108,0.336,4.23,81419,0.070833
273,25.628,0.335,2.98,81718,0.090775
274,34.91,0.333,3.18,82017,0.117216
275,16.372,0.332,4.12,82316,0.068171
276,32.744,0.331,3.51,82615,0.109874
277,30.498,0.329,3.12,82914,0.103133
278,32.887,0.328,3.51,83213,0.110255
279,26.967,0.327,3.87,83512,0.091247
280,29.361,0.326,3.17,83811,0.099271
281,31.231,0.324,3.28,84110,0.104827
282,33.034,0.323,3.71,84409,0.110312
283,22.943,0.322,4.41,84708,0.083686
284,32.162,0.32,3.74,85007,0.107864
285,19.179,0.319,3.87,85306,0.076316
286,35.567,0.318,3.36,85605,0.118943
287,18.211,0.317,3.83,85904,0.077289
288,23.321,0.315,4.05,86203,0.080813
289,17.367,0.314,4.54,86502,0.067176
290,32.656,0.313,3.47,86801,0.109091
291,26.22,0.312,4.33,87100,0.088369
292,17.626,0.31,4.0,87399,0.084289
293,33.28,0.309,3.63,87698,0.110999
294,17.378,0.308,4.45,87997,0.077519
295,35.171,0.307,3.63,88296,0.117787
296,38.849,0.305,3.54,88595,0.129881
297,16.132,0.304,4.88,88894,0.069221
298,29.138,0.303,4.29,89193,0.097527
299,14.681,0.302,4.55,89492,0.065857
300,17.627,0.3,4.71,89791,0.068175
301,16.552,0.299,4.59,90090,0.07204
302,41.976,0.298,3.51,90389,0.140639
303,39.018,0.297,3.38,90688,0.131111
304,31.31,0.296,3.75,90987,0.104767
305,33.342,0.295,3.62,91286,0.111447
306,26.975,0.293,4.24,91585,0.090871
307,34.369,0.292,3.61,91884,0.114622
308,32.228,0.291,4.01,92183,0.107486
309,33.982,0.29,3.65,92482,0.11393
310,40.582,0.289,3.48,92781,0.135498
311,18.009,0.288,4.35,93080,0.074598
312,21.494,0.286,4.5,93379,0.076496
313,19.696,0.285,4.54,93678,0.07235
314,28.15,0.284,4.18,93977,0.094255
315,30.388,0.283,3.97,94276,0.101642
316,38.227,0.282,3.47,94575,0.127663
317,28.734,0.281,4.24,94874,0.0962
318,18.723,0.28,4.5,95173,0.07006
319,33.768,0.278,3.73,95472,0.112958
320,16.203,0.277,4.61,95771,0.070722
321,25.361,0.276,4.47,96070,0.086026
322,17.659,0.275,4.62,96369,0.067004
323,14.669,0.274,4.92,96668,0.06378
324,31.271,0.273,3.94,96967,0.104625
325,16.905,0.272,4.66,97266,0.067723
326,34.279,0.271,3.78,97565,0.115011
327,25.89,0.27,4.06,97864,0.089361
328,15.373,0.269,4.94,98163,0.075113
329,35.321,0.267,4.32,98462,0.118131
330,17.548,0.266,4.76,98761,0.0684
331,41.024,0.265,3.74,99060,0.136802
332,33.051,0.264,3.87,99359,0.110228
333,36.868,0.263,3.72,99658,0.123285
334,19.515,0.262,4.97,99957,0.071162
335,25.134,0.261,4.44,100256,0.08571
336,28.705,0.26,4.19,100555,0.09627
337,35.696,0.259,4.11,100854,0.119389
338,37.596,0.258,3.94,101153,0.125871
339,15.606,0.257,4.95,101452,0.070654
340,24.169,0.256,4.6,101751,0.081817
341,23.809,0.255,4.73,102050,0.081089
342,32.88,0.254,3.86,102349,0.109913
343,21.172,0.253,4.98,102648,0.076209
344,31.111,0.252,4.58,102947,0.105005
345,27.467,0.251,4.64,103246,0.092894
346,37.36,0.25,3.98,103545,0.124824
347,21.788,0.249,4.68,103844,0.075929
348,19.291,0.248,4.88,104143,0.068517
349,18.26,0.247,5.08,104442,0.067159
350,35.979,0.246,4.0,104741,0.120569
351,31.536,0.245,4.59,105040,0.105655
352,34.119,0.244,4.48,105339,0.114347
353,22.243,0.243,5.17,105638,0.0774
354,27.858,0.242,5.05,105937,0.093812
355,28.922,0.241,4.94,106236,0.097141
356,34.13,0.24,4.42,106535,0.113819
357,18.403,0.239,5.18,106834,0.07386
358,33.487,0.238,4.29,107133,0.112015
359,38.733,0.237,4.1,107432,0.129831
360,39.301,0.236,4.05,107731,0.131055
361,42.116,0.235,4.29,108030,0.141111
362,40.549,0.234,4.21,108329,0.135543
363,38.014,0.233,4.37,108628,0.127386
364,36.998,0.232,4.13,108926,0.124571
365,31.834,0.232,4.49,109225,0.106454
366,33.797,0.231,4.49,109524,0.113054
367,20.719,0.23,5.25,109823,0.073057
368,37.985,0.229,4.22,110122,0.126669
369,32.975,0.228,4.38,110421,0.110078
370,42.015,0.227,4.07,110720,0.140713
