Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,-41.049,0.996,0.17,300,0.191398
2,-30.747,0.992,0.1,600,0.173314
3,-33.273,0.988,0.18,900,0.175411
4,-47.971,0.984,0.31,1200,0.206944
5,-43.67,0.98,0.24,1500,0.202547
6,-26.953,0.976,0.13,1800,0.161255
7,-50.756,0.972,0.27,2100,0.213786
8,-27.178,0.968,0.16,2400,0.161477
9,-31.76,0.965,0.35,2700,0.173052
10,-44.878,0.961,0.22,3000,0.200296
11,-23.025,0.957,0.11,3300,0.155251
12,-23.357,0.953,0.16,3600,0.154917
13,-30.852,0.949,0.22,3900,0.170045
14,-54.669,0.945,0.79,4200,0.222607
15,-41.552,0.942,0.99,4500,0.19465
16,-38.962,0.938,0.42,4800,0.178705
17,-38.743,0.934,0.58,5100,0.186046
18,-43.217,0.93,1.0,5400,0.19392
19,-43.149,0.927,1.08,5699,0.194916
20,-38.223,0.923,1.24,5999,0.183978
21,-38.344,0.919,1.47,6298,0.184169
22,-48.877,0.916,1.38,6598,0.221226
23,-39.182,0.912,1.18,6898,0.189244
24,-40.727,0.908,1.03,7198,0.189729
25,-45.629,0.905,1.45,7498,0.203588
26,-35.757,0.901,1.07,7798,0.182559
27,-38.484,0.897,1.34,8098,0.183817
28,-25.805,0.894,1.08,8398,0.157778
29,-35.315,0.89,1.38,8697,0.178245
30,-38.767,0.887,1.67,8997,0.187052
31,-38.803,0.883,1.36,9297,0.18606
32,-41.746,0.88,1.51,9597,0.19244
33,-19.132,0.876,0.61,9897,0.152962
34,-36.552,0.873,1.25,10197,0.178934
35,-38.515,0.869,1.56,10497,0.179177
36,-35.497,0.866,1.06,10797,0.182045
37,-26.423,0.862,0.89,11096,0.158432
38,-42.598,0.859,1.44,11396,0.196699
39,-23.212,0.855,0.74,11696,0.149213
40,-33.534,0.852,1.55,11995,0.167207
41,-28.456,0.848,0.76,12295,0.162321
42,-30.57,0.845,1.26,12594,0.173399
43,-14.906,0.842,0.86,12894,0.132716
44,-27.804,0.838,0.91,13193,0.160412
45,-13.483,0.835,1.28,13493,0.132913
46,-24.967,0.832,0.85,13792,0.160677
47,-33.059,0.828,1.52,14092,0.173555
48,-27.042,0.825,0.93,14391,0.164249
49,-40.767,0.822,1.39,14691,0.187881
50,-30.768,0.818,1.61,14991,0.171465
51,-18.558,0.815,1.01,15291,0.147461
52,-13.393,0.812,1.52,15590,0.132971
53,-27.775,0.809,1.28,15890,0.158954
54,-22.56,0.805,1.14,16190,0.155584
55,-7.018,0.802,1.29,16490,0.1197
56,-7.29,0.799,1.36,16789,0.123199
57,-20.742,0.796,0.62,17089,0.147177
58,-21.992,0.793,0.36,17388,0.145805
59,-27.288,0.789,0.71,17688,0.16327
60,-23.988,0.786,0.41,17988,0.153643
61,-26.725,0.783,0.64,18288,0.156731
62,-36.791,0.78,0.74,18588,0.186365
63,-25.573,0.777,0.73,18887,0.15376
64,-11.221,0.774,0.35,19186,0.130333
65,-5.892,0.771,0.4,19486,0.133445
66,-14.098,0.768,0.55,19785,0.135317
67,-39.155,0.764,0.84,20084,0.183661
68,-31.767,0.761,1.86,20384,0.164352
69,-14.128,0.758,1.12,20684,0.140114
70,-13.64,0.755,1.26,20983,0.13476
71,-11.967,0.752,1.87,21283,0.12461
72,-20.283,0.749,1.66,21583,0.141385
73,-12.975,0.746,1.88,21882,0.122915
74,-3.84,0.743,1.66,22182,0.1136
75,-15.458,0.74,1.69,22481,0.125196
76,-13.181,0.737,1.4,22781,0.133401
77,-24.661,0.734,1.95,23080,0.153686
78,-10.301,0.732,1.96,23380,0.096182
79,9.675,0.729,1.1,23679,0.102981
80,-2.936,0.726,1.27,23978,0.119147
81,-20.953,0.723,2.26,24277,0.14349
82,-12.375,0.72,1.92,24577,0.123817
83,6.928,0.717,1.24,24876,0.09892
84,-16.673,0.714,1.43,25175,0.132513
85,-15.27,0.711,2.1,25474,0.127618
86,-29.569,0.708,2.42,25774,0.162516
87,-5.665,0.706,1.43,26074,0.12302
88,-9.83,0.703,1.69,26374,0.116488
89,-17.763,0.7,1.98,26673,0.13521
90,-4.38,0.697,1.5,26973,0.118299
91,6.848,0.694,1.31,27272,0.104951
92,-27.331,0.692,2.04,27571,0.156919
93,-32.336,0.689,1.55,27871,0.163652
94,-16.143,0.686,1.47,28171,0.132605
95,-12.906,0.683,2.18,28470,0.118352
96,3.361,0.681,1.43,28770,0.103147
97,-1.344,0.678,1.95,29070,0.111254
98,3.606,0.675,1.5,29369,0.09071
99,0.255,0.672,2.06,29669,0.100915
100,-3.714,0.67,2.3,29968,0.100892
101,-10.674,0.667,2.18,30268,0.121901
102,-3.938,0.664,2.22,30568,0.106906
103,-1.786,0.662,1.69,30867,0.117059
104,7.188,0.659,1.47,31166,0.101608
105,-8.121,0.656,2.14,31465,0.121288
106,-16.509,0.654,2.37,31765,0.132263
107,-21.487,0.651,2.11,32064,0.140631
108,4.167,0.649,2.02,32364,0.094663
109,-18.179,0.646,2.43,32664,0.130494
110,-2.335,0.643,1.89,32963,0.112317
111,-19.743,0.641,2.53,33262,0.136115
112,-9.669,0.638,2.4,33561,0.111121
113,5.844,0.636,1.77,33860,0.103099
114,-10.227,0.633,1.72,34159,0.112329
115,-12.889,0.631,2.42,34459,0.128366
116,-4.123,0.628,2.19,34759,0.097866
117,18.195,0.626,1.57,35058,0.079189
118,7.246,0.623,1.07,35357,0.086656
119,-8.762,0.621,0.95,35656,0.115893
120,9.965,0.618,0.7,35956,0.095459
121,-6.716,0.616,1.04,36256,0.106828
122,-12.863,0.613,0.84,36556,0.126034
123,16.089,0.611,1.45,36855,0.085377
124,6.796,0.608,2.57,37155,0.089581
125,4.479,0.606,2.29,37455,0.088981
126,6.731,0.603,1.51,37754,0.09177
127,-0.979,0.601,0.98,38054,0.113612
128,6.28,0.599,0.8,38353,0.103898
129,2.15,0.596,0.98,38652,0.095519
130,-13.429,0.594,1.14,38951,0.122594
131,15.099,0.592,0.86,39250,0.102216
132,16.047,0.589,1.01,39549,0.083401
133,2.801,0.587,0.76,39848,0.107421
134,-8.341,0.584,0.87,40147,0.119176
135,16.083,0.582,0.9,40446,0.086386
136,-13.624,0.58,1.06,40745,0.125943
137,10.333,0.577,1.12,41044,0.079593
138,-0.821,0.575,1.23,41343,0.092597
139,-1.41,0.573,1.1,41642,0.106891
140,20.62,0.571,0.94,41941,0.08562
141,7.755,0.568,0.97,42240,0.082206
142,-0.799,0.566,1.25,42539,0.089563
143,12.167,0.564,0.78,42838,0.092861
144,13.5,0.561,0.87,43137,0.084394
145,14.731,0.559,0.75,43437,0.094019
146,3.301,0.557,0.85,43737,0.094739
147,6.888,0.555,0.82,44036,0.096233
148,16.99,0.553,1.05,44335,0.087041
149,-1.054,0.55,1.25,44634,0.10137
150,4.163,0.548,1.04,44933,0.093691
151,-12.173,0.546,1.17,45233,0.116308
152,26.292,0.544,0.84,45532,0.097518
153,0.778,0.542,1.13,45832,0.100287
154,-1.728,0.539,1.14,46131,0.110056
155,-11.252,0.537,1.25,46430,0.135338
156,-5.651,0.535,1.12,46729,0.109132
157,-1.64,0.533,1.24,47028,0.096867
158,3.902,0.531,1.06,47328,0.096177
