Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
1,-35.742,0.996,0.26,300,0.183576
2,-30.919,0.992,0.44,600,0.166553
3,-42.661,0.988,0.56,900,0.200566
4,-45.306,0.984,0.68,1200,0.20318
5,-48.995,0.98,0.7,1500,0.21014
6,-42.314,0.976,0.43,1800,0.195023
7,-57.448,0.972,0.73,2100,0.235123
8,-26.438,0.968,0.39,2400,0.162601
9,-28.672,0.965,0.42,2700,0.174237
10,-40.211,0.961,0.48,3000,0.188252
11,-46.664,0.957,0.54,3300,0.203315
12,-36.667,0.953,0.66,3600,0.186053
13,-31.983,0.949,0.56,3900,0.167091
14,-59.495,0.945,0.68,4200,0.243769
15,-30.167,0.942,0.27,4500,0.168153
16,-21.111,0.938,0.3,4799,0.153101
17,-49.303,0.934,0.53,5099,0.210998
18,-23.098,0.93,0.14,5399,0.152328
19,-45.797,0.927,0.46,5699,0.207281
20,-43.673,0.923,0.48,5999,0.196255
21,-26.096,0.919,0.27,6299,0.16394
22,-42.202,0.916,0.44,6599,0.193234
23,-38.629,0.912,0.32,6899,0.186427
24,-38.674,0.908,0.36,7199,0.194256
25,-44.666,0.905,0.38,7499,0.2036
26,-27.157,0.901,0.24,7799,0.164579
27,-18.849,0.897,0.33,8099,0.143777
28,-17.938,0.894,0.35,8399,0.148759
29,-33.192,0.89,0.43,8698,0.174517
30,-38.054,0.887,0.56,8998,0.181368
31,-37.825,0.883,0.57,9297,0.18786
32,-14.995,0.88,0.23,9597,0.137656
33,-26.674,0.876,0.3,9897,0.165054
34,-24.745,0.873,0.28,10197,0.156972
35,-31.035,0.869,0.27,10496,0.171647
36,-9.114,0.866,0.22,10795,0.119912
37,-28.816,0.862,0.3,11095,0.170321
38,-45.709,0.859,0.4,11395,0.205649
39,-32.361,0.855,0.34,11695,0.183025
40,-38.336,0.852,0.28,11995,0.182216
41,-30.474,0.848,0.22,12295,0.161384
42,-34.254,0.845,0.42,12595,0.171954
43,-32.596,0.842,0.2,12895,0.173949
44,-44.4,0.838,0.37,13194,0.195419
45,-32.209,0.835,0.41,13493,0.170764
46,-13.645,0.832,0.26,13793,0.145882
47,-22.14,0.828,0.32,14093,0.152085
48,-11.563,0.825,0.27,14393,0.123236
49,-15.713,0.822,0.23,14693,0.132509
50,-27.5,0.818,0.46,14992,0.15177
51,-18.967,0.815,0.3,15292,0.150538
52,-33.143,0.812,0.5,15591,0.172683
53,-34.769,0.809,0.52,15890,0.173367
54,-29.335,0.805,0.54,16190,0.158594
55,-11.778,0.802,0.34,16490,0.128712
56,-21.306,0.799,0.54,16789,0.155758
57,-22.594,0.796,0.45,17089,0.142097
58,-32.1,0.793,0.54,17389,0.164806
59,-15.596,0.789,0.58,17688,0.133857
60,-31.075,0.786,0.56,17987,0.16917
61,-21.824,0.783,0.54,18287,0.138712
62,-27.544,0.78,0.61,18587,0.162692
63,-32.627,0.777,0.63,18886,0.168227
64,-20.317,0.774,0.42,19185,0.147525
65,-7.14,0.771,0.33,19485,0.132645
66,-29.333,0.768,0.51,19784,0.166446
67,-19.185,0.764,0.51,20084,0.145077
68,-25.227,0.761,0.58,20383,0.149423
69,-27.886,0.758,0.49,20683,0.166017
70,-27.532,0.755,0.68,20982,0.155495
71,-24.86,0.752,0.54,21282,0.14555
72,-19.904,0.749,0.47,21581,0.146934
73,-12.58,0.746,0.39,21881,0.127984
74,-11.867,0.743,0.41,22181,0.13292
75,-16.658,0.74,0.38,22481,0.138947
76,-18.903,0.737,0.49,22780,0.142756
77,-6.126,0.734,0.4,23080,0.123203
78,-10.051,0.732,0.48,23380,0.125995
79,3.774,0.729,0.41,23679,0.102996
80,-21.775,0.726,0.57,23979,0.141554
81,-26.577,0.723,0.64,24279,0.152847
82,-17.936,0.72,0.58,24578,0.140879
83,-24.318,0.717,0.39,24877,0.151641
84,-29.188,0.714,0.63,25176,0.163975
85,-19.988,0.711,0.86,25475,0.133295
86,-15.311,0.708,0.82,25774,0.128183
87,-13.409,0.706,0.6,26073,0.136543
88,-13.866,0.703,0.75,26373,0.121606
89,-20.176,0.7,0.7,26673,0.138757
90,-19.31,0.697,0.78,26972,0.133441
91,-1.126,0.694,0.46,27271,0.111722
92,-29.022,0.692,0.69,27570,0.155446
93,0.059,0.689,0.53,27869,0.111189
94,2.974,0.686,0.5,28169,0.103093
95,-10.602,0.683,0.68,28468,0.115837
